pid	date	area	location	natural_lawson_store	y
p000	201506	関東	ビジネス立地	0	2.0751
p000	201507	関東	ビジネス立地	0	1.9033
p000	201508	関東	ビジネス立地	0	1.9302
p000	201509	関東	ビジネス立地	0	1.7969
p000	201510	関東	ビジネス立地	0	1.5835
p000	201511	関東	ビジネス立地	0	1.649
p000	201512	関東	ビジネス立地	0	1.5663
p000	201601	関東	ビジネス立地	0	1.7244
p000	201602	関東	ビジネス立地	0	1.8074
p000	201603	関東	ビジネス立地	0	1.9184
p000	201604	関東	ビジネス立地	0	1.652
p000	201605	関東	ビジネス立地	0	2.0811
p000	201506	関東	ビジネス立地	1	3.7353
p000	201507	関東	ビジネス立地	1	3.6531
p000	201508	関東	ビジネス立地	1	3.5241
p000	201509	関東	ビジネス立地	1	3.2409
p000	201510	関東	ビジネス立地	1	3.248
p000	201511	関東	ビジネス立地	1	3.1812
p000	201512	関東	ビジネス立地	1	2.9443
p000	201601	関東	ビジネス立地	1	2.6898
p000	201602	関東	ビジネス立地	1	2.8634
p000	201603	関東	ビジネス立地	1	3.5881
p000	201604	関東	ビジネス立地	1	3.7661
p000	201605	関東	ビジネス立地	1	3.961
p000	201506	関東	住宅立地	0	2.1136
p000	201507	関東	住宅立地	0	1.9892
p000	201508	関東	住宅立地	0	2.0667
p000	201509	関東	住宅立地	0	1.8409
p000	201510	関東	住宅立地	0	1.6484
p000	201511	関東	住宅立地	0	1.9582
p000	201512	関東	住宅立地	0	1.7884
p000	201601	関東	住宅立地	0	1.8797
p000	201602	関東	住宅立地	0	1.6939
p000	201603	関東	住宅立地	0	1.6931
p000	201604	関東	住宅立地	0	1.7597
p000	201605	関東	住宅立地	0	1.8019
p000	201506	関東	住宅立地	1	3.2438
p000	201507	関東	住宅立地	1	3.0936
p000	201508	関東	住宅立地	1	3.5032
p000	201509	関東	住宅立地	1	3.3668
p000	201510	関東	住宅立地	1	3.3983
p000	201511	関東	住宅立地	1	3.4612
p000	201512	関東	住宅立地	1	3.1256
