date	freq
2015-06-01	33
2015-06-02	35
2015-06-03	32
2015-06-04	33
2015-06-05	39
2015-06-06	36
2015-06-07	32
2015-06-08	6
2015-06-09	14
2015-06-10	19
2015-06-11	33
2015-06-12	37
2015-06-13	75
2015-06-14	50
2015-06-15	28
2015-06-16	28
2015-06-17	26
2015-06-18	30
2015-06-19	18
2015-06-20	25
2015-06-21	38
2015-06-22	26
2015-06-23	29
2015-06-24	23
2015-06-25	24
2015-06-26	26
2015-06-27	19
2015-06-28	22
2015-06-29	18
2015-06-30	18
2015-07-01	15
2015-07-02	14
2015-07-03	7
2015-07-04	9
2015-07-05	6
2015-07-06	10
2015-07-07	22
2015-07-08	50
2015-07-09	16
2015-07-10	18
2015-07-11	10
2015-07-12	11
2015-07-13	67
2015-07-14	13
2015-07-15	9
2015-07-16	3
2015-07-17	11
2015-07-18	25
2015-07-19	13
2015-07-20	14
2015-07-21	20
2015-07-22	50
2015-07-23	17
2015-07-24	10
2015-07-25	9
2015-07-26	5
2015-07-27	8
2015-07-28	1
2015-07-29	14
2015-07-30	14
2015-07-31	11
2015-08-01	7
2015-08-02	9
2015-08-03	25
2015-08-04	15
2015-08-05	10
2015-08-06	19
2015-08-07	5
2015-08-08	59
2015-08-09	33
2015-08-10	13
2015-08-11	7
2015-08-12	7
2015-08-13	6
2015-08-14	19
2015-08-15	25
2015-08-16	35
2015-08-17	11
2015-08-18	24
2015-08-19	9
2015-08-20	6
2015-08-21	7
2015-08-22	7
2015-08-23	6
2015-08-24	4
2015-08-25	6
2015-08-26	2
2015-08-27	9
2015-08-28	6
2015-08-29	11
2015-08-30	14
2015-08-31	3
2015-09-01	10
2015-09-02	8
2015-09-03	17
2015-09-04	11
2015-09-05	10
2015-09-06	4
2015-09-07	10
2015-09-08	5
2015-09-09	7
2015-09-10	7
2015-09-11	5
2015-09-12	10
2015-09-13	35
2015-09-14	5
2015-09-15	4
2015-09-16	8
2015-09-17	9
2015-09-18	7
2015-09-19	1
2015-09-20	7
2015-09-21	13
2015-09-22	8
2015-09-23	8
2015-09-24	10
2015-09-25	33
2015-09-26	5
2015-09-27	8
2015-09-28	9
2015-09-29	4
2015-09-30	8
2015-10-01	19
2015-10-02	9
2015-10-03	3
2015-10-04	1
2015-10-05	4
2015-10-06	11
2015-10-07	7
2015-10-08	3
2015-10-09	7
2015-10-10	9
2015-10-11	5
2015-10-12	6
2015-10-13	10
2015-10-14	8
2015-10-15	5
2015-10-16	7
2015-10-17	15
2015-10-18	16
2015-10-19	4
2015-10-20	13
2015-10-21	40
2015-10-22	14
2015-10-23	7
2015-10-24	7
2015-10-25	11
2015-10-26	24
2015-10-27	76
2015-10-28	13
2015-10-29	12
2015-10-30	12
2015-10-31	8
2015-11-01	55
2015-11-02	20
2015-11-03	8
2015-11-04	9
2015-11-05	8
2015-11-06	7
2015-11-07	37
2015-11-08	6
2015-11-09	45
2015-11-10	24
2015-11-11	1
2015-11-12	5
2015-11-13	18
2015-11-14	6
2015-11-15	7
2015-11-16	7
2015-11-17	12
2015-11-18	20
2015-11-19	4
2015-11-20	38
2015-11-21	15
2015-11-22	8
2015-11-23	14
2015-11-24	4
2015-11-25	1
2015-11-26	11
2015-11-27	9
2015-11-28	8
2015-11-29	2
2015-11-30	8
2015-12-01	62
2015-12-02	16
2015-12-03	8
2015-12-04	5
2015-12-05	5
2015-12-06	4
2015-12-07	7
2015-12-08	8
2015-12-09	14
2015-12-10	8
2015-12-11	4
2015-12-12	2
2015-12-13	3
2015-12-14	39
2015-12-15	11
2015-12-16	13
2015-12-17	8
2015-12-18	14
2015-12-19	9
2015-12-20	4
2015-12-21	1
2015-12-22	21
2015-12-23	2
2015-12-24	13
2015-12-25	7
2015-12-26	4
2015-12-27	6
2015-12-28	3
2015-12-29	3
2015-12-30	2
2015-12-31	8
2016-01-01	4
2016-01-02	4
2016-01-03	12
2016-01-04	7
2016-01-05	3
2016-01-06	4
2016-01-07	1
2016-01-08	4
2016-01-09	34
2016-01-10	8
2016-01-11	4
2016-01-12	15
2016-01-13	14
2016-01-14	5
2016-01-15	2
2016-01-16	6
2016-01-17	5
2016-01-18	5
2016-01-19	20
2016-01-20	4
2016-01-21	1
2016-01-22	9
2016-01-23	8
2016-01-24	6
2016-01-25	3
2016-01-26	6
2016-01-27	8
2016-01-28	13
2016-01-29	14
2016-01-30	7
2016-01-31	6
2016-02-01	4
2016-02-02	12
2016-02-03	4
2016-02-04	18
2016-02-05	21
2016-02-06	10
2016-02-07	14
2016-02-08	16
2016-02-09	20
2016-02-10	8
2016-02-11	16
2016-02-12	22
2016-02-13	27
2016-02-14	53
2016-02-15	34
2016-02-16	23
2016-02-17	11
2016-02-18	7
2016-02-19	1
2016-02-20	7
2016-02-21	5
2016-02-22	3
2016-02-23	6
2016-02-24	2
2016-02-25	3
2016-02-26	1
2016-02-27	2
2016-02-28	13
2016-02-29	4
2016-03-01	14
2016-03-02	8
2016-03-03	4
2016-03-04	7
2016-03-05	2
2016-03-06	2
2016-03-07	5
2016-03-08	1
2016-03-09	1
2016-03-10	9
2016-03-11	3
2016-03-12	2
2016-03-13	5
2016-03-14	10
2016-03-15	8
2016-03-16	7
2016-03-17	6
2016-03-18	1
2016-03-19	3
2016-03-20	5
2016-03-21	3
2016-03-22	11
2016-03-23	7
2016-03-24	3
2016-03-25	5
2016-03-26	2
2016-03-27	7
2016-03-28	1
2016-03-29	0
2016-03-30	3
2016-03-31	2
2016-04-01	4
2016-04-02	3
2016-04-03	4
2016-04-04	4
2016-04-05	7
2016-04-06	6
2016-04-07	2
2016-04-08	8
2016-04-09	2
2016-04-10	3
2016-04-11	2
2016-04-12	2
2016-04-13	3
2016-04-14	2
2016-04-15	11
2016-04-16	2
2016-04-17	6
2016-04-18	4
2016-04-19	5
2016-04-20	3
2016-04-21	0
2016-04-22	2
2016-04-23	2
2016-04-24	6
2016-04-25	5
2016-04-26	11
2016-04-27	2
2016-04-28	3
2016-04-29	2
2016-04-30	4
2016-05-01	0
2016-05-02	5
2016-05-03	2
2016-05-04	6
2016-05-05	7
2016-05-06	5
2016-05-07	5
2016-05-08	8
2016-05-09	27
2016-05-10	14
2016-05-11	0
2016-05-12	1
2016-05-13	3
2016-05-14	3
2016-05-15	5
2016-05-16	0
2016-05-17	10
2016-05-18	5
2016-05-19	3
2016-05-20	4
2016-05-21	6
2016-05-22	4
2016-05-23	2
2016-05-24	1
2016-05-25	1
2016-05-26	5
2016-05-27	11
2016-05-28	5
2016-05-29	4
2016-05-30	3
2016-05-31	14
