date	freq
2015-06-01	55
2015-06-02	67
2015-06-03	62
2015-06-04	76
2015-06-05	59
2015-06-06	57
2015-06-07	63
2015-06-08	81
2015-06-09	64
2015-06-10	74
2015-06-11	56
2015-06-12	73
2015-06-13	54
2015-06-14	46
2015-06-15	64
2015-06-16	64
2015-06-17	62
2015-06-18	42
2015-06-19	48
2015-06-20	46
2015-06-21	54
2015-06-22	60
2015-06-23	69
2015-06-24	70
2015-06-25	60
2015-06-26	43
2015-06-27	61
2015-06-28	63
2015-06-29	60
2015-06-30	62
2015-07-01	53
2015-07-02	38
2015-07-03	79
2015-07-04	52
2015-07-05	58
2015-07-06	51
2015-07-07	66
2015-07-08	56
2015-07-09	60
2015-07-10	67
2015-07-11	46
2015-07-12	52
2015-07-13	43
2015-07-14	46
2015-07-15	60
2015-07-16	57
2015-07-17	59
2015-07-18	57
2015-07-19	51
2015-07-20	74
2015-07-21	61
2015-07-22	62
2015-07-23	42
2015-07-24	61
2015-07-25	38
2015-07-26	43
2015-07-27	49
2015-07-28	59
2015-07-29	41
2015-07-30	63
2015-07-31	39
2015-08-01	65
2015-08-02	74
2015-08-03	55
2015-08-04	76
2015-08-05	41
2015-08-06	61
2015-08-07	50
2015-08-08	51
2015-08-09	42
2015-08-10	54
2015-08-11	54
2015-08-12	50
2015-08-13	53
2015-08-14	58
2015-08-15	53
2015-08-16	69
2015-08-17	57
2015-08-18	49
2015-08-19	55
2015-08-20	61
2015-08-21	56
2015-08-22	38
2015-08-23	52
2015-08-24	59
2015-08-25	56
2015-08-26	59
2015-08-27	61
2015-08-28	60
2015-08-29	51
2015-08-30	59
2015-08-31	71
2015-09-01	55
2015-09-02	64
2015-09-03	50
2015-09-04	59
2015-09-05	62
2015-09-06	65
2015-09-07	62
2015-09-08	70
2015-09-09	57
2015-09-10	51
2015-09-11	60
2015-09-12	60
2015-09-13	58
2015-09-14	53
2015-09-15	69
2015-09-16	67
2015-09-17	66
2015-09-18	60
2015-09-19	60
2015-09-20	49
2015-09-21	49
2015-09-22	63
2015-09-23	59
2015-09-24	68
2015-09-25	49
2015-09-26	47
2015-09-27	65
2015-09-28	58
2015-09-29	58
2015-09-30	51
2015-10-01	58
2015-10-02	57
2015-10-03	57
2015-10-04	63
2015-10-05	61
2015-10-06	54
2015-10-07	52
2015-10-08	50
2015-10-09	59
2015-10-10	56
2015-10-11	48
2015-10-12	58
2015-10-13	69
2015-10-14	61
2015-10-15	69
2015-10-16	43
2015-10-17	48
2015-10-18	51
2015-10-19	51
2015-10-20	59
2015-10-21	61
2015-10-22	61
2015-10-23	57
2015-10-24	51
2015-10-25	48
2015-10-26	62
2015-10-27	58
2015-10-28	78
2015-10-29	51
2015-10-30	54
2015-10-31	47
2015-11-01	57
2015-11-02	46
2015-11-03	52
2015-11-04	57
2015-11-05	56
2015-11-06	58
2015-11-07	68
2015-11-08	62
2015-11-09	61
2015-11-10	61
2015-11-11	62
2015-11-12	60
2015-11-13	54
2015-11-14	44
2015-11-15	49
2015-11-16	71
2015-11-17	67
2015-11-18	80
2015-11-19	70
2015-11-20	64
2015-11-21	56
2015-11-22	53
2015-11-23	67
2015-11-24	63
2015-11-25	44
2015-11-26	48
2015-11-27	60
2015-11-28	49
2015-11-29	57
2015-11-30	59
2015-12-01	55
2015-12-02	73
2015-12-03	52
2015-12-04	40
2015-12-05	47
2015-12-06	48
2015-12-07	55
2015-12-08	53
2015-12-09	65
2015-12-10	52
2015-12-11	50
2015-12-12	35
2015-12-13	51
2015-12-14	47
2015-12-15	42
2015-12-16	50
2015-12-17	47
2015-12-18	49
2015-12-19	35
2015-12-20	36
2015-12-21	47
2015-12-22	37
2015-12-23	37
2015-12-24	42
2015-12-25	48
2015-12-26	40
2015-12-27	43
2015-12-28	44
2015-12-29	46
2015-12-30	49
2015-12-31	40
