date	freq
2015-06-01	96
2015-06-02	64
2015-06-03	83
2015-06-04	70
2015-06-05	64
2015-06-06	59
2015-06-07	75
2015-06-08	63
2015-06-09	63
2015-06-10	35
2015-06-11	53
2015-06-12	57
2015-06-13	73
2015-06-14	80
2015-06-15	60
2015-06-16	71
2015-06-17	62
2015-06-18	58
2015-06-19	51
2015-06-20	70
2015-06-21	61
2015-06-22	68
2015-06-23	61
2015-06-24	65
2015-06-25	48
2015-06-26	56
2015-06-27	70
2015-06-28	74
2015-06-29	68
2015-06-30	54
2015-07-01	55
2015-07-02	37
2015-07-03	57
2015-07-04	56
2015-07-05	54
2015-07-06	66
2015-07-07	47
2015-07-08	58
2015-07-09	56
2015-07-10	55
2015-07-11	72
2015-07-12	73
2015-07-13	56
2015-07-14	67
2015-07-15	61
2015-07-16	47
2015-07-17	47
2015-07-18	61
2015-07-19	75
2015-07-20	68
2015-07-21	65
2015-07-22	47
2015-07-23	57
2015-07-24	57
2015-07-25	72
2015-07-26	73
2015-07-27	71
2015-07-28	80
2015-07-29	59
2015-07-30	68
2015-07-31	62
2015-08-01	76
2015-08-02	73
2015-08-03	64
2015-08-04	45
2015-08-05	77
2015-08-06	62
2015-08-07	51
2015-08-08	60
2015-08-09	66
2015-08-10	47
2015-08-11	48
2015-08-12	57
2015-08-13	52
2015-08-14	75
2015-08-15	117
2015-08-16	86
2015-08-17	55
2015-08-18	66
2015-08-19	78
2015-08-20	59
2015-08-21	44
2015-08-22	94
2015-08-23	68
2015-08-24	47
2015-08-25	28
2015-08-26	87
2015-08-27	61
2015-08-28	56
2015-08-29	60
2015-08-30	88
2015-08-31	70
2015-09-01	67
2015-09-02	64
2015-09-03	58
2015-09-04	61
2015-09-05	63
2015-09-06	78
2015-09-07	74
2015-09-08	59
2015-09-09	64
2015-09-10	65
2015-09-11	49
2015-09-12	79
2015-09-13	67
2015-09-14	84
2015-09-15	61
2015-09-16	66
2015-09-17	58
2015-09-18	52
2015-09-19	53
2015-09-20	83
2015-09-21	64
