date	freq
2015-06-01	244
2015-06-02	257
2015-06-03	191
2015-06-04	195
2015-06-05	197
2015-06-06	205
2015-06-07	195
2015-06-08	216
2015-06-09	194
2015-06-10	178
2015-06-11	230
2015-06-12	190
2015-06-13	193
2015-06-14	191
2015-06-15	215
2015-06-16	193
2015-06-17	215
2015-06-18	203
2015-06-19	181
2015-06-20	164
2015-06-21	203
2015-06-22	196
2015-06-23	205
2015-06-24	186
2015-06-25	190
2015-06-26	184
2015-06-27	181
2015-06-28	161
2015-06-29	198
2015-06-30	187
2015-07-01	199
2015-07-02	205
2015-07-03	165
2015-07-04	183
2015-07-05	189
2015-07-06	181
2015-07-07	198
2015-07-08	176
2015-07-09	182
2015-07-10	147
2015-07-11	158
2015-07-12	171
2015-07-13	179
2015-07-14	167
2015-07-15	181
2015-07-16	170
2015-07-17	186
2015-07-18	163
2015-07-19	170
2015-07-20	154
2015-07-21	201
2015-07-22	185
2015-07-23	204
2015-07-24	184
2015-07-25	147
2015-07-26	150
2015-07-27	196
2015-07-28	166
2015-07-29	187
2015-07-30	176
2015-07-31	193
2015-08-01	197
2015-08-02	201
2015-08-03	191
2015-08-04	198
2015-08-05	199
2015-08-06	180
2015-08-07	144
2015-08-08	157
2015-08-09	159
2015-08-10	169
2015-08-11	172
2015-08-12	149
2015-08-13	205
2015-08-14	170
2015-08-15	207
2015-08-16	161
2015-08-17	162
2015-08-18	199
2015-08-19	167
2015-08-20	169
2015-08-21	170
2015-08-22	190
2015-08-23	191
2015-08-24	204
2015-08-25	181
2015-08-26	206
2015-08-27	199
2015-08-28	220
2015-08-29	177
2015-08-30	248
2015-08-31	240
2015-09-01	214
2015-09-02	212
2015-09-03	233
2015-09-04	231
2015-09-05	229
2015-09-06	203
2015-09-07	206
2015-09-08	237
2015-09-09	241
2015-09-10	231
2015-09-11	233
2015-09-12	203
2015-09-13	224
2015-09-14	235
2015-09-15	222
2015-09-16	233
2015-09-17	206
2015-09-18	190
2015-09-19	189
2015-09-20	161
2015-09-21	189
2015-09-22	290
2015-09-23	188
2015-09-24	193
2015-09-25	195
2015-09-26	211
2015-09-27	189
2015-09-28	164
2015-09-29	200
2015-09-30	209
2015-10-01	203
2015-10-02	153
2015-10-03	264
2015-10-04	396
2015-10-05	430
2015-10-06	291
2015-10-07	201
2015-10-08	208
2015-10-09	197
2015-10-10	167
2015-10-11	197
2015-10-12	201
2015-10-13	237
2015-10-14	235
2015-10-15	200
2015-10-16	169
2015-10-17	172
2015-10-18	188
2015-10-19	211
2015-10-20	202
2015-10-21	227
2015-10-22	186
2015-10-23	180
2015-10-24	187
2015-10-25	651
2015-10-26	363
2015-10-27	241
2015-10-28	251
2015-10-29	216
2015-10-30	250
2015-10-31	254
2015-11-01	262
2015-11-02	207
2015-11-03	219
2015-11-04	179
2015-11-05	208
2015-11-06	225
2015-11-07	254
2015-11-08	234
2015-11-09	217
2015-11-10	200
2015-11-11	218
2015-11-12	210
2015-11-13	203
2015-11-14	181
2015-11-15	174
2015-11-16	183
2015-11-17	181
2015-11-18	208
2015-11-19	166
2015-11-20	210
2015-11-21	195
2015-11-22	176
2015-11-23	233
2015-11-24	239
2015-11-25	249
2015-11-26	411
2015-11-27	1218
2015-11-28	576
2015-11-29	342
2015-11-30	272
