date	freq
2015-06-01	110
2015-06-02	132
2015-06-03	103
2015-06-04	113
2015-06-05	112
2015-06-06	111
2015-06-07	94
2015-06-08	104
2015-06-09	111
2015-06-10	99
2015-06-11	114
2015-06-12	104
2015-06-13	118
2015-06-14	112
2015-06-15	115
2015-06-16	96
2015-06-17	101
2015-06-18	117
2015-06-19	108
2015-06-20	94
2015-06-21	94
2015-06-22	103
2015-06-23	117
2015-06-24	122
2015-06-25	120
2015-06-26	114
2015-06-27	109
2015-06-28	105
2015-06-29	113
2015-06-30	126
2015-07-01	106
2015-07-02	114
2015-07-03	112
2015-07-04	115
2015-07-05	116
2015-07-06	112
2015-07-07	104
2015-07-08	99
2015-07-09	144
2015-07-10	132
2015-07-11	136
2015-07-12	110
2015-07-13	107
2015-07-14	105
2015-07-15	127
2015-07-16	112
2015-07-17	120
2015-07-18	100
2015-07-19	93
2015-07-20	105
2015-07-21	99
2015-07-22	112
2015-07-23	99
2015-07-24	122
2015-07-25	125
2015-07-26	111
2015-07-27	102
2015-07-28	110
2015-07-29	113
2015-07-30	118
2015-07-31	92
2015-08-01	93
2015-08-02	115
2015-08-03	108
2015-08-04	118
2015-08-05	98
2015-08-06	113
2015-08-07	123
2015-08-08	105
2015-08-09	99
2015-08-10	97
2015-08-11	139
2015-08-12	96
2015-08-13	120
2015-08-14	105
2015-08-15	110
2015-08-16	110
2015-08-17	111
2015-08-18	148
2015-08-19	125
2015-08-20	113
2015-08-21	133
2015-08-22	89
2015-08-23	113
2015-08-24	120
2015-08-25	128
2015-08-26	99
2015-08-27	108
2015-08-28	112
2015-08-29	92
2015-08-30	95
2015-08-31	117
2015-09-01	115
2015-09-02	124
2015-09-03	99
2015-09-04	114
2015-09-05	86
2015-09-06	125
2015-09-07	118
2015-09-08	122
2015-09-09	146
2015-09-10	113
2015-09-11	132
2015-09-12	105
2015-09-13	89
2015-09-14	104
2015-09-15	93
2015-09-16	93
2015-09-17	105
2015-09-18	90
2015-09-19	87
2015-09-20	85
2015-09-21	76
2015-09-22	75
2015-09-23	97
2015-09-24	81
2015-09-25	97
2015-09-26	69
2015-09-27	90
2015-09-28	109
2015-09-29	89
2015-09-30	94
2015-10-01	101
2015-10-02	82
2015-10-03	84
2015-10-04	101
2015-10-05	98
2015-10-06	95
2015-10-07	103
2015-10-08	83
2015-10-09	102
2015-10-10	81
2015-10-11	86
2015-10-12	94
2015-10-13	93
2015-10-14	88
2015-10-15	82
2015-10-16	99
2015-10-17	67
2015-10-18	57
2015-10-19	82
2015-10-20	89
2015-10-21	82
2015-10-22	87
2015-10-23	69
2015-10-24	97
2015-10-25	66
2015-10-26	79
2015-10-27	86
2015-10-28	86
