date	freq
2015-06-01	14108
2015-06-02	13216
2015-06-03	13473
2015-06-04	13151
2015-06-05	13091
2015-06-06	12846
2015-06-07	13455
2015-06-08	14158
2015-06-09	13323
2015-06-10	13255
2015-06-11	13128
2015-06-12	12907
2015-06-13	13093
2015-06-14	13844
2015-06-15	14240
2015-06-16	13263
2015-06-17	13511
2015-06-18	13050
2015-06-19	12559
2015-06-20	12477
2015-06-21	13256
2015-06-22	13543
2015-06-23	12863
2015-06-24	13066
2015-06-25	13089
2015-06-26	13128
2015-06-27	12806
2015-06-28	13288
2015-06-29	13640
2015-06-30	13352
2015-07-01	13789
2015-07-02	13281
2015-07-03	12717
2015-07-04	12589
2015-07-05	13259
2015-07-06	14097
2015-07-07	13329
2015-07-08	13374
2015-07-09	12800
2015-07-10	12756
2015-07-11	12701
2015-07-12	13291
2015-07-13	13842
2015-07-14	13179
2015-07-15	13048
2015-07-16	13243
2015-07-17	13042
2015-07-18	12908
2015-07-19	13502
2015-07-20	15230
2015-07-21	14168
2015-07-22	13427
2015-07-23	12877
2015-07-24	12959
2015-07-25	12556
2015-07-26	12965
2015-07-27	13568
2015-07-28	12719
2015-07-29	13041
2015-07-30	12852
2015-07-31	12989
2015-08-01	13415
2015-08-02	13410
2015-08-03	13954
2015-08-04	13637
2015-08-05	13580
2015-08-06	13986
2015-08-07	13187
2015-08-08	12525
2015-08-09	13186
2015-08-10	13792
2015-08-11	13072
2015-08-12	13456
2015-08-13	13369
2015-08-14	14240
2015-08-15	14772
2015-08-16	14448
2015-08-17	14329
2015-08-18	13548
2015-08-19	13273
2015-08-20	12801
2015-08-21	12353
2015-08-22	12103
2015-08-23	12678
2015-08-24	12886
2015-08-25	12863
2015-08-26	12696
2015-08-27	12800
2015-08-28	12408
2015-08-29	12545
2015-08-30	13220
2015-08-31	13992
2015-09-01	13788
2015-09-02	13073
2015-09-03	12959
2015-09-04	13008
2015-09-05	12389
2015-09-06	13142
2015-09-07	13616
2015-09-08	12897
2015-09-09	13130
2015-09-10	12691
2015-09-11	12338
2015-09-12	12253
2015-09-13	13162
2015-09-14	13103
2015-09-15	12956
2015-09-16	13172
2015-09-17	13264
2015-09-18	12764
2015-09-19	14167
2015-09-20	17297
2015-09-21	19253
2015-09-22	18070
2015-09-23	18027
2015-09-24	16359
2015-09-25	14175
2015-09-26	13257
2015-09-27	13768
2015-09-28	13566
2015-09-29	12994
2015-09-30	13242
2015-10-01	13770
2015-10-02	12705
2015-10-03	12757
2015-10-04	13198
2015-10-05	13314
2015-10-06	12785
2015-10-07	12841
2015-10-08	12903
2015-10-09	12510
2015-10-10	13166
2015-10-11	14222
2015-10-12	15848
2015-10-13	14199
2015-10-14	12531
2015-10-15	12356
2015-10-16	12303
2015-10-17	11884
2015-10-18	12923
2015-10-19	13243
2015-10-20	12752
2015-10-21	12649
2015-10-22	12381
2015-10-23	12166
2015-10-24	12224
2015-10-25	12837
2015-10-26	12796
2015-10-27	12507
2015-10-28	12426
2015-10-29	12103
2015-10-30	11760
2015-10-31	12065
2015-11-01	13158
2015-11-02	12717
2015-11-03	13504
2015-11-04	12646
2015-11-05	12669
2015-11-06	12414
2015-11-07	12375
2015-11-08	13268
2015-11-09	13017
2015-11-10	12396
2015-11-11	12063
2015-11-12	12120
2015-11-13	11913
2015-11-14	11730
2015-11-15	12625
2015-11-16	12662
2015-11-17	12806
2015-11-18	12674
2015-11-19	12315
2015-11-20	12068
2015-11-21	12487
2015-11-22	14436
2015-11-23	15425
2015-11-24	13665
2015-11-25	12391
2015-11-26	12312
2015-11-27	12173
2015-11-28	11642
2015-11-29	12415
2015-11-30	12650
2015-12-01	12669
2015-12-02	12261
2015-12-03	12184
2015-12-04	12021
2015-12-05	11807
2015-12-06	12345
2015-12-07	12660
2015-12-08	12105
2015-12-09	12015
2015-12-10	11821
2015-12-11	11688
2015-12-12	11138
2015-12-13	12111
2015-12-14	12320
2015-12-15	11720
2015-12-16	11699
2015-12-17	11610
2015-12-18	11402
2015-12-19	10843
2015-12-20	11386
2015-12-21	11557
2015-12-22	11406
2015-12-23	11630
2015-12-24	14586
2015-12-25	15952
2015-12-26	12401
2015-12-27	11824
2015-12-28	12340
2015-12-29	12129
2015-12-30	12376
2015-12-31	18130
2016-01-01	11950
2016-01-02	13230
2016-01-03	13795
2016-01-04	14029
2016-01-05	13382
2016-01-06	12940
2016-01-07	12530
2016-01-08	11978
2016-01-09	11900
2016-01-10	12810
2016-01-11	13542
2016-01-12	12251
2016-01-13	12227
2016-01-14	11699
2016-01-15	11837
2016-01-16	11115
2016-01-17	12208
2016-01-18	12021
2016-01-19	11713
2016-01-20	11976
2016-01-21	11532
2016-01-22	11043
2016-01-23	10953
2016-01-24	11908
2016-01-25	11760
2016-01-26	11281
2016-01-27	11348
2016-01-28	11337
2016-01-29	11401
2016-01-30	11029
2016-01-31	12053
2016-02-01	12258
2016-02-02	11299
2016-02-03	11756
2016-02-04	11694
2016-02-05	11842
2016-02-06	11541
2016-02-07	11983
2016-02-08	12154
2016-02-09	11571
2016-02-10	11241
2016-02-11	11866
2016-02-12	11589
2016-02-13	11706
2016-02-14	13563
2016-02-15	12381
2016-02-16	11442
2016-02-17	11696
2016-02-18	11509
2016-02-19	10723
2016-02-20	11512
2016-02-21	11710
2016-02-22	11353
2016-02-23	11519
2016-02-24	11149
2016-02-25	10679
2016-02-26	10722
2016-02-27	10785
2016-02-28	11614
2016-02-29	12410
2016-03-01	11295
2016-03-02	10672
2016-03-03	10917
2016-03-04	10701
2016-03-05	10620
2016-03-06	11170
2016-03-07	11301
2016-03-08	10913
2016-03-09	11220
2016-03-10	10559
2016-03-11	11567
2016-03-12	10325
2016-03-13	10926
2016-03-14	11408
2016-03-15	10412
2016-03-16	10476
2016-03-17	10140
2016-03-18	10409
2016-03-19	10698
2016-03-20	11295
2016-03-21	12707
2016-03-22	11452
2016-03-23	10299
2016-03-24	10428
2016-03-25	10169
2016-03-26	10091
2016-03-27	10925
2016-03-28	10840
2016-03-29	10973
2016-03-30	11238
2016-03-31	11898
2016-04-01	11698
2016-04-02	11230
2016-04-03	12009
2016-04-04	12664
2016-04-05	11953
2016-04-06	11911
2016-04-07	12950
2016-04-08	12150
2016-04-09	12200
2016-04-10	12799
2016-04-11	12800
2016-04-12	12452
2016-04-13	12537
2016-04-14	11988
2016-04-15	11675
2016-04-16	10632
2016-04-17	11533
2016-04-18	12412
2016-04-19	12047
2016-04-20	11891
2016-04-21	12197
2016-04-22	11924
2016-04-23	11829
2016-04-24	12403
2016-04-25	12603
2016-04-26	12756
2016-04-27	12394
2016-04-28	12185
2016-04-29	13399
2016-04-30	14993
2016-05-01	17024
2016-05-02	17556
2016-05-03	17908
2016-05-04	17238
2016-05-05	16614
2016-05-06	16278
2016-05-07	13917
2016-05-08	14378
2016-05-09	14347
2016-05-10	12560
2016-05-11	12587
2016-05-12	12892
2016-05-13	12539
2016-05-14	12289
2016-05-15	12559
2016-05-16	13028
2016-05-17	12346
2016-05-18	12569
2016-05-19	12673
2016-05-20	12307
2016-05-21	11611
2016-05-22	12355
2016-05-23	12444
2016-05-24	11607
2016-05-25	12188
2016-05-26	12483
2016-05-27	11624
2016-05-28	11157
2016-05-29	11622
2016-05-30	12261
2016-05-31	12205
