date	freq
2015-06-01	10908
2015-06-02	10848
2015-06-03	11252
2015-06-04	10755
2015-06-05	11111
2015-06-06	11413
2015-06-07	11796
2015-06-08	11269
2015-06-09	9986
2015-06-10	10901
2015-06-11	10834
2015-06-12	11090
2015-06-13	11651
2015-06-14	11992
2015-06-15	12796
2015-06-16	12187
2015-06-17	10763
2015-06-18	10150
2015-06-19	10414
2015-06-20	10736
2015-06-21	11183
2015-06-22	10687
2015-06-23	10588
2015-06-24	10659
2015-06-25	10688
2015-06-26	10601
2015-06-27	10991
2015-06-28	11429
2015-06-29	10587
2015-06-30	10423
2015-07-01	10528
2015-07-02	10287
2015-07-03	10337
2015-07-04	10968
2015-07-05	11070
2015-07-06	10523
2015-07-07	10579
2015-07-08	10294
2015-07-09	9969
2015-07-10	10313
2015-07-11	10609
2015-07-12	11112
2015-07-13	10573
2015-07-14	10713
2015-07-15	12150
2015-07-16	11664
2015-07-17	11884
2015-07-18	11402
2015-07-19	10972
2015-07-20	12437
2015-07-21	12452
2015-07-22	11279
2015-07-23	11617
2015-07-24	11693
2015-07-25	11757
2015-07-26	11661
2015-07-27	11718
2015-07-28	12189
2015-07-29	11871
2015-07-30	11357
2015-07-31	12234
2015-08-01	12329
2015-08-02	11912
2015-08-03	11622
2015-08-04	12026
2015-08-05	12502
2015-08-06	12432
2015-08-07	11501
2015-08-08	11274
2015-08-09	11632
2015-08-10	11577
2015-08-11	11729
2015-08-12	11603
2015-08-13	11759
2015-08-14	11912
2015-08-15	13059
2015-08-16	12096
2015-08-17	11470
2015-08-18	11449
2015-08-19	10879
2015-08-20	11298
2015-08-21	11130
2015-08-22	11140
2015-08-23	11486
2015-08-24	10877
2015-08-25	11115
2015-08-26	10708
2015-08-27	10816
2015-08-28	10802
2015-08-29	10978
2015-08-30	11638
2015-08-31	11333
2015-09-01	11168
2015-09-02	10764
2015-09-03	10025
2015-09-04	10477
2015-09-05	10922
2015-09-06	11273
2015-09-07	10722
2015-09-08	10839
2015-09-09	11604
2015-09-10	11465
2015-09-11	11068
2015-09-12	10947
2015-09-13	11664
2015-09-14	11410
2015-09-15	11144
2015-09-16	10365
2015-09-17	10663
2015-09-18	10634
2015-09-19	11411
2015-09-20	10998
2015-09-21	11187
2015-09-22	11171
2015-09-23	12021
2015-09-24	11321
2015-09-25	11275
2015-09-26	13042
2015-09-27	11687
2015-09-28	11128
2015-09-29	10429
2015-09-30	10224
2015-10-01	10745
2015-10-02	9908
2015-10-03	10920
2015-10-04	11519
2015-10-05	10166
2015-10-06	10027
2015-10-07	11040
2015-10-08	11021
2015-10-09	10521
2015-10-10	10917
2015-10-11	10839
2015-10-12	11092
2015-10-13	9722
2015-10-14	10054
2015-10-15	9883
2015-10-16	10032
2015-10-17	10398
2015-10-18	11003
2015-10-19	10062
2015-10-20	10321
2015-10-21	10570
2015-10-22	10735
2015-10-23	10613
2015-10-24	10598
2015-10-25	10750
2015-10-26	11021
2015-10-27	10699
2015-10-28	10494
2015-10-29	10215
2015-10-30	10376
2015-10-31	10583
2015-11-01	10872
2015-11-02	10073
2015-11-03	10638
2015-11-04	10630
2015-11-05	10452
2015-11-06	10522
2015-11-07	10824
2015-11-08	10975
2015-11-09	10345
2015-11-10	10145
2015-11-11	9798
2015-11-12	9536
2015-11-13	9992
2015-11-14	10204
2015-11-15	11105
2015-11-16	12570
2015-11-17	10315
2015-11-18	11016
2015-11-19	10680
2015-11-20	10487
2015-11-21	9696
2015-11-22	10971
2015-11-23	10645
2015-11-24	11246
2015-11-25	10588
2015-11-26	10267
2015-11-27	10469
2015-11-28	10624
2015-11-29	11052
2015-11-30	11024
2015-12-01	10770
2015-12-02	9920
2015-12-03	9944
2015-12-04	10556
2015-12-05	11521
2015-12-06	12777
2015-12-07	11579
2015-12-08	9763
2015-12-09	10016
2015-12-10	9362
2015-12-11	9737
2015-12-12	9560
2015-12-13	9768
2015-12-14	9637
2015-12-15	9093
2015-12-16	10931
2015-12-17	9621
2015-12-18	10367
2015-12-19	11132
2015-12-20	10690
2015-12-21	9910
2015-12-22	9713
2015-12-23	10726
2015-12-24	11184
2015-12-25	11607
2015-12-26	10095
2015-12-27	10664
2015-12-28	10552
2015-12-29	11844
2015-12-30	11304
2015-12-31	14156
2016-01-01	11221
2016-01-02	9664
2016-01-03	11010
2016-01-04	10654
2016-01-05	10546
2016-01-06	10268
2016-01-07	10799
2016-01-08	10971
2016-01-09	11096
2016-01-10	10503
2016-01-11	11120
2016-01-12	9709
2016-01-13	10144
2016-01-14	10833
2016-01-15	10618
2016-01-16	10246
2016-01-17	11451
2016-01-18	13025
2016-01-19	11751
2016-01-20	10908
2016-01-21	9933
2016-01-22	10228
2016-01-23	11062
2016-01-24	11995
2016-01-25	12194
2016-01-26	11864
2016-01-27	10616
2016-01-28	11117
2016-01-29	11612
2016-01-30	10966
2016-01-31	12600
2016-02-01	10505
2016-02-02	11124
2016-02-03	10357
2016-02-04	10164
2016-02-05	9937
