date	freq
2015-06-01	902
2015-06-02	730
2015-06-03	651
2015-06-04	668
2015-06-05	715
2015-06-06	681
2015-06-07	691
2015-06-08	704
2015-06-09	617
2015-06-10	653
2015-06-11	643
2015-06-12	614
2015-06-13	710
2015-06-14	816
2015-06-15	735
2015-06-16	658
2015-06-17	709
2015-06-18	670
2015-06-19	634
2015-06-20	668
2015-06-21	718
2015-06-22	684
2015-06-23	640
2015-06-24	640
2015-06-25	579
2015-06-26	627
2015-06-27	623
2015-06-28	770
2015-06-29	722
2015-06-30	662
2015-07-01	771
2015-07-02	655
2015-07-03	711
2015-07-04	695
2015-07-05	814
2015-07-06	724
2015-07-07	702
2015-07-08	691
2015-07-09	685
2015-07-10	672
2015-07-11	690
2015-07-12	687
2015-07-13	694
2015-07-14	666
2015-07-15	682
2015-07-16	650
2015-07-17	626
2015-07-18	612
2015-07-19	655
2015-07-20	704
2015-07-21	718
2015-07-22	739
2015-07-23	660
2015-07-24	667
2015-07-25	652
2015-07-26	686
2015-07-27	690
2015-07-28	648
2015-07-29	603
2015-07-30	562
2015-07-31	567
2015-08-01	577
2015-08-02	566
2015-08-03	592
2015-08-04	598
2015-08-05	563
2015-08-06	553
2015-08-07	599
2015-08-08	558
2015-08-09	581
2015-08-10	582
2015-08-11	592
2015-08-12	601
2015-08-13	603
2015-08-14	565
2015-08-15	522
2015-08-16	670
2015-08-17	605
2015-08-18	567
2015-08-19	576
2015-08-20	561
2015-08-21	544
2015-08-22	546
2015-08-23	663
2015-08-24	635
2015-08-25	662
2015-08-26	635
2015-08-27	594
2015-08-28	624
2015-08-29	581
2015-08-30	643
2015-08-31	671
2015-09-01	578
2015-09-02	611
2015-09-03	540
2015-09-04	590
2015-09-05	612
2015-09-06	641
2015-09-07	665
2015-09-08	569
2015-09-09	603
2015-09-10	522
2015-09-11	495
2015-09-12	516
2015-09-13	627
2015-09-14	585
2015-09-15	582
2015-09-16	551
2015-09-17	541
2015-09-18	606
2015-09-19	542
2015-09-20	611
2015-09-21	587
2015-09-22	680
2015-09-23	671
2015-09-24	611
2015-09-25	550
2015-09-26	620
2015-09-27	584
2015-09-28	591
2015-09-29	605
2015-09-30	635
2015-10-01	604
2015-10-02	585
2015-10-03	602
2015-10-04	661
2015-10-05	659
2015-10-06	642
2015-10-07	643
2015-10-08	633
2015-10-09	622
2015-10-10	652
2015-10-11	671
2015-10-12	766
2015-10-13	627
2015-10-14	633
2015-10-15	642
2015-10-16	655
2015-10-17	603
2015-10-18	663
2015-10-19	692
2015-10-20	690
2015-10-21	621
2015-10-22	628
2015-10-23	669
2015-10-24	615
2015-10-25	711
2015-10-26	700
2015-10-27	630
2015-10-28	634
2015-10-29	594
2015-10-30	568
2015-10-31	541
2015-11-01	575
2015-11-02	597
2015-11-03	607
2015-11-04	559
2015-11-05	621
2015-11-06	666
2015-11-07	575
2015-11-08	709
2015-11-09	602
2015-11-10	593
2015-11-11	578
2015-11-12	514
2015-11-13	618
2015-11-14	597
2015-11-15	602
2015-11-16	592
2015-11-17	580
2015-11-18	551
2015-11-19	577
2015-11-20	527
2015-11-21	490
2015-11-22	605
2015-11-23	620
2015-11-24	617
2015-11-25	503
2015-11-26	530
2015-11-27	497
2015-11-28	571
2015-11-29	571
2015-11-30	550
2015-12-01	579
2015-12-02	539
2015-12-03	567
2015-12-04	530
2015-12-05	509
2015-12-06	559
2015-12-07	546
2015-12-08	487
2015-12-09	549
2015-12-10	507
2015-12-11	544
2015-12-12	542
2015-12-13	614
2015-12-14	552
2015-12-15	550
2015-12-16	540
2015-12-17	576
2015-12-18	546
2015-12-19	472
2015-12-20	565
2015-12-21	528
2015-12-22	528
2015-12-23	554
2015-12-24	569
2015-12-25	538
2015-12-26	545
2015-12-27	581
2015-12-28	579
2015-12-29	559
2015-12-30	690
2015-12-31	976
2016-01-01	790
2016-01-02	626
2016-01-03	608
2016-01-04	624
2016-01-05	640
2016-01-06	576
2016-01-07	548
2016-01-08	537
2016-01-09	552
2016-01-10	638
2016-01-11	667
2016-01-12	652
2016-01-13	578
2016-01-14	516
2016-01-15	514
2016-01-16	562
2016-01-17	584
2016-01-18	625
2016-01-19	509
2016-01-20	528
2016-01-21	562
2016-01-22	564
2016-01-23	561
2016-01-24	606
2016-01-25	541
2016-01-26	572
2016-01-27	539
2016-01-28	512
2016-01-29	537
2016-01-30	544
2016-01-31	609
2016-02-01	695
2016-02-02	580
2016-02-03	711
2016-02-04	607
2016-02-05	532
2016-02-06	562
2016-02-07	615
2016-02-08	578
2016-02-09	587
2016-02-10	565
2016-02-11	571
2016-02-12	579
2016-02-13	552
2016-02-14	597
2016-02-15	610
2016-02-16	564
2016-02-17	552
2016-02-18	539
2016-02-19	538
2016-02-20	564
2016-02-21	611
2016-02-22	578
2016-02-23	554
2016-02-24	534
2016-02-25	545
2016-02-26	526
2016-02-27	568
2016-02-28	596
2016-02-29	621
2016-03-01	579
2016-03-02	600
2016-03-03	695
2016-03-04	579
2016-03-05	504
2016-03-06	649
2016-03-07	607
2016-03-08	527
2016-03-09	558
2016-03-10	534
2016-03-11	497
2016-03-12	532
2016-03-13	580
2016-03-14	652
2016-03-15	616
2016-03-16	547
2016-03-17	478
2016-03-18	489
2016-03-19	437
2016-03-20	485
2016-03-21	515
2016-03-22	520
2016-03-23	559
2016-03-24	466
2016-03-25	473
2016-03-26	466
2016-03-27	506
2016-03-28	561
2016-03-29	575
2016-03-30	572
2016-03-31	547
2016-04-01	596
2016-04-02	535
2016-04-03	621
2016-04-04	629
2016-04-05	630
2016-04-06	533
2016-04-07	550
2016-04-08	595
2016-04-09	560
2016-04-10	578
2016-04-11	573
2016-04-12	594
2016-04-13	528
2016-04-14	469
2016-04-15	611
2016-04-16	444
2016-04-17	500
2016-04-18	493
2016-04-19	517
2016-04-20	478
2016-04-21	491
2016-04-22	481
2016-04-23	579
2016-04-24	587
2016-04-25	574
2016-04-26	588
2016-04-27	596
2016-04-28	477
2016-04-29	526
2016-04-30	519
2016-05-01	523
2016-05-02	544
2016-05-03	559
2016-05-04	575
2016-05-05	632
2016-05-06	565
2016-05-07	568
2016-05-08	573
2016-05-09	593
2016-05-10	525
2016-05-11	575
2016-05-12	615
2016-05-13	615
2016-05-14	558
2016-05-15	582
2016-05-16	572
2016-05-17	574
2016-05-18	574
2016-05-19	526
2016-05-20	591
2016-05-21	616
2016-05-22	601
2016-05-23	555
2016-05-24	533
2016-05-25	566
2016-05-26	502
2016-05-27	609
2016-05-28	593
2016-05-29	662
2016-05-30	609
2016-05-31	581
