date	freq
2015-06-01	2983
2015-06-02	1933
2015-06-03	1599
2015-06-04	1525
2015-06-05	1654
2015-06-06	1462
2015-06-07	1766
2015-06-08	1295
2015-06-09	1195
2015-06-10	1257
2015-06-11	1135
2015-06-12	1305
2015-06-13	5506
2015-06-14	2949
2015-06-15	1918
2015-06-16	1670
2015-06-17	1836
2015-06-18	2291
2015-06-19	2055
2015-06-20	1742
2015-06-21	1823
2015-06-22	1805
2015-06-23	1627
2015-06-24	1821
2015-06-25	1699
2015-06-26	1848
2015-06-27	2077
2015-06-28	3381
2015-06-29	1554
2015-06-30	1525
2015-07-01	1325
2015-07-02	1124
2015-07-03	1291
2015-07-04	4060
2015-07-05	3932
2015-07-06	2135
2015-07-07	1826
2015-07-08	1605
2015-07-09	1401
2015-07-10	1789
2015-07-11	1720
2015-07-12	1887
2015-07-13	1801
2015-07-14	1716
2015-07-15	1774
2015-07-16	1605
2015-07-17	1342
2015-07-18	1458
2015-07-19	1514
2015-07-20	1462
2015-07-21	2753
2015-07-22	2085
2015-07-23	1755
2015-07-24	1563
2015-07-25	1454
2015-07-26	1522
2015-07-27	1436
2015-07-28	1325
2015-07-29	1641
2015-07-30	1252
2015-07-31	1260
2015-08-01	1720
2015-08-02	1432
2015-08-03	1391
2015-08-04	1606
2015-08-05	1373
2015-08-06	1502
2015-08-07	1055
2015-08-08	962
2015-08-09	1038
2015-08-10	1044
2015-08-11	1336
2015-08-12	1140
2015-08-13	1278
2015-08-14	1055
2015-08-15	981
2015-08-16	1981
2015-08-17	1026
2015-08-18	1008
2015-08-19	1254
2015-08-20	1199
2015-08-21	508
2015-08-22	1048
2015-08-23	1358
2015-08-24	1125
2015-08-25	2499
2015-08-26	2595
2015-08-27	2682
2015-08-28	2062
2015-08-29	2218
2015-08-30	2419
2015-08-31	1585
2015-09-01	1028
2015-09-02	1253
2015-09-03	1179
2015-09-04	1653
2015-09-05	1266
2015-09-06	1316
2015-09-07	1150
2015-09-08	1154
2015-09-09	1014
2015-09-10	1146
2015-09-11	1081
2015-09-12	1151
2015-09-13	1375
2015-09-14	1318
2015-09-15	1018
2015-09-16	1494
2015-09-17	1735
2015-09-18	1432
2015-09-19	1190
2015-09-20	1047
2015-09-21	1234
2015-09-22	1550
2015-09-23	1967
2015-09-24	1028
2015-09-25	897
2015-09-26	1038
2015-09-27	1094
2015-09-28	1233
2015-09-29	1829
2015-09-30	1336
2015-10-01	1188
2015-10-02	1033
2015-10-03	1338
2015-10-04	1352
2015-10-05	1227
2015-10-06	1547
2015-10-07	3307
2015-10-08	2411
2015-10-09	1658
2015-10-10	5365
2015-10-11	2759
2015-10-12	2598
2015-10-13	1743
2015-10-14	2168
2015-10-15	1688
2015-10-16	1453
2015-10-17	1767
2015-10-18	2347
2015-10-19	1293
2015-10-20	1831
2015-10-21	2280
2015-10-22	1430
2015-10-23	2541
2015-10-24	3077
2015-10-25	1886
2015-10-26	1309
2015-10-27	2392
2015-10-28	2879
2015-10-29	979
2015-10-30	826
2015-10-31	734
2015-11-01	971
2015-11-02	831
2015-11-03	794
2015-11-04	917
2015-11-05	822
2015-11-06	792
2015-11-07	764
2015-11-08	1083
2015-11-09	1048
2015-11-10	759
2015-11-11	668
2015-11-12	694
2015-11-13	649
2015-11-14	721
2015-11-15	1000
2015-11-16	760
2015-11-17	711
2015-11-18	610
2015-11-19	721
2015-11-20	839
2015-11-21	864
2015-11-22	886
2015-11-23	1267
2015-11-24	755
2015-11-25	879
2015-11-26	740
2015-11-27	1550
2015-11-28	889
2015-11-29	858
2015-11-30	534
2015-12-01	586
2015-12-02	789
2015-12-03	807
2015-12-04	886
2015-12-05	643
2015-12-06	643
2015-12-07	677
2015-12-08	750
2015-12-09	602
2015-12-10	686
2015-12-11	1386
2015-12-12	891
2015-12-13	745
2015-12-14	750
2015-12-15	609
2015-12-16	1721
2015-12-17	893
2015-12-18	628
2015-12-19	692
2015-12-20	755
2015-12-21	754
2015-12-22	620
2015-12-23	792
2015-12-24	714
2015-12-25	638
2015-12-26	810
2015-12-27	854
2015-12-28	1307
2015-12-29	857
2015-12-30	924
2015-12-31	1566
2016-01-01	1919
2016-01-02	821
2016-01-03	768
2016-01-04	738
2016-01-05	717
2016-01-06	628
2016-01-07	792
2016-01-08	885
2016-01-09	1048
2016-01-10	902
2016-01-11	766
2016-01-12	546
2016-01-13	790
2016-01-14	837
2016-01-15	660
2016-01-16	875
2016-01-17	828
2016-01-18	653
2016-01-19	600
2016-01-20	761
2016-01-21	593
2016-01-22	669
2016-01-23	792
2016-01-24	820
2016-01-25	647
2016-01-26	700
2016-01-27	730
2016-01-28	679
2016-01-29	814
2016-01-30	923
2016-01-31	849
2016-02-01	1309
2016-02-02	755
2016-02-03	884
2016-02-04	613
2016-02-05	658
2016-02-06	624
2016-02-07	806
2016-02-08	694
2016-02-09	604
2016-02-10	616
2016-02-11	620
2016-02-12	615
2016-02-13	659
2016-02-14	930
2016-02-15	685
2016-02-16	810
2016-02-17	688
2016-02-18	550
2016-02-19	587
2016-02-20	680
2016-02-21	752
2016-02-22	744
2016-02-23	703
2016-02-24	672
2016-02-25	584
2016-02-26	605
2016-02-27	682
2016-02-28	709
2016-02-29	637
2016-03-01	580
2016-03-02	678
2016-03-03	632
2016-03-04	673
2016-03-05	762
2016-03-06	945
2016-03-07	753
2016-03-08	605
2016-03-09	806
2016-03-10	747
2016-03-11	913
2016-03-12	971
2016-03-13	977
2016-03-14	1134
2016-03-15	1138
2016-03-16	1050
2016-03-17	791
2016-03-18	736
2016-03-19	681
2016-03-20	867
2016-03-21	1167
2016-03-22	754
2016-03-23	805
2016-03-24	756
2016-03-25	692
2016-03-26	716
2016-03-27	869
2016-03-28	926
2016-03-29	802
2016-03-30	997
2016-03-31	765
2016-04-01	708
2016-04-02	1281
2016-04-03	1002
2016-04-04	745
2016-04-05	854
2016-04-06	960
2016-04-07	687
2016-04-08	655
2016-04-09	731
2016-04-10	782
2016-04-11	635
2016-04-12	534
2016-04-13	825
2016-04-14	1067
2016-04-15	618
2016-04-16	1006
2016-04-17	1053
2016-04-18	655
2016-04-19	579
2016-04-20	582
2016-04-21	573
2016-04-22	571
2016-04-23	752
2016-04-24	980
2016-04-25	832
2016-04-26	745
2016-04-27	657
2016-04-28	643
2016-04-29	693
2016-04-30	727
2016-05-01	749
2016-05-02	727
2016-05-03	849
2016-05-04	938
2016-05-05	883
2016-05-06	727
2016-05-07	797
2016-05-08	999
2016-05-09	632
2016-05-10	706
2016-05-11	1453
2016-05-12	2133
2016-05-13	1244
2016-05-14	855
2016-05-15	838
2016-05-16	601
2016-05-17	701
2016-05-18	644
2016-05-19	581
2016-05-20	1526
2016-05-21	831
2016-05-22	909
2016-05-23	637
2016-05-24	670
2016-05-25	679
2016-05-26	731
2016-05-27	650
2016-05-28	630
2016-05-29	766
2016-05-30	593
2016-05-31	917
