date	freq
2015-06-01	9
2015-06-02	16
2015-06-03	14
2015-06-04	18
2015-06-05	12
2015-06-06	17
2015-06-07	8
2015-06-08	19
2015-06-09	21
2015-06-10	15
2015-06-11	12
2015-06-12	20
2015-06-13	10
2015-06-14	19
2015-06-15	21
2015-06-16	12
2015-06-17	17
2015-06-18	19
2015-06-19	11
2015-06-20	13
2015-06-21	19
2015-06-22	18
2015-06-23	22
2015-06-24	13
2015-06-25	17
2015-06-26	24
2015-06-27	19
2015-06-28	19
2015-06-29	12
2015-06-30	18
2015-07-01	18
2015-07-02	21
2015-07-03	16
2015-07-04	9
2015-07-05	13
2015-07-06	15
2015-07-07	18
2015-07-08	13
2015-07-09	11
2015-07-10	18
2015-07-11	20
2015-07-12	21
2015-07-13	15
2015-07-14	14
2015-07-15	16
2015-07-16	15
2015-07-17	5
2015-07-18	8
2015-07-19	14
2015-07-20	20
2015-07-21	19
2015-07-22	10
2015-07-23	15
2015-07-24	13
2015-07-25	8
2015-07-26	17
2015-07-27	17
2015-07-28	10
2015-07-29	14
2015-07-30	7
2015-07-31	21
2015-08-01	18
2015-08-02	11
2015-08-03	24
2015-08-04	20
2015-08-05	23
2015-08-06	21
2015-08-07	15
2015-08-08	14
2015-08-09	18
2015-08-10	12
2015-08-11	18
2015-08-12	19
2015-08-13	15
2015-08-14	13
2015-08-15	17
2015-08-16	12
2015-08-17	17
2015-08-18	17
2015-08-19	18
2015-08-20	28
2015-08-21	28
2015-08-22	13
2015-08-23	26
2015-08-24	16
2015-08-25	19
2015-08-26	25
2015-08-27	24
2015-08-28	14
2015-08-29	21
2015-08-30	17
2015-08-31	14
2015-09-01	22
2015-09-02	24
2015-09-03	12
2015-09-04	16
2015-09-05	17
2015-09-06	11
2015-09-07	29
2015-09-08	10
2015-09-09	11
2015-09-10	10
2015-09-11	9
2015-09-12	13
2015-09-13	14
2015-09-14	14
2015-09-15	16
2015-09-16	11
2015-09-17	10
2015-09-18	12
2015-09-19	13
2015-09-20	22
2015-09-21	22
2015-09-22	7
2015-09-23	19
2015-09-24	20
2015-09-25	14
2015-09-26	14
2015-09-27	14
2015-09-28	14
2015-09-29	18
2015-09-30	10
2015-10-01	17
2015-10-02	14
2015-10-03	17
2015-10-04	26
2015-10-05	28
2015-10-06	13
2015-10-07	12
2015-10-08	13
2015-10-09	18
2015-10-10	8
2015-10-11	23
2015-10-12	18
2015-10-13	13
2015-10-14	16
2015-10-15	16
2015-10-16	19
2015-10-17	12
2015-10-18	11
2015-10-19	18
2015-10-20	24
2015-10-21	12
2015-10-22	11
2015-10-23	24
2015-10-24	14
2015-10-25	20
2015-10-26	29
2015-10-27	25
2015-10-28	23
2015-10-29	23
2015-10-30	42
2015-10-31	56
2015-11-01	16
2015-11-02	9
2015-11-03	14
2015-11-04	10
2015-11-05	15
2015-11-06	40
2015-11-07	21
2015-11-08	12
2015-11-09	15
2015-11-10	24
2015-11-11	13
2015-11-12	23
2015-11-13	29
2015-11-14	15
2015-11-15	23
2015-11-16	27
2015-11-17	20
2015-11-18	14
2015-11-19	10
2015-11-20	12
2015-11-21	10
2015-11-22	9
2015-11-23	7
2015-11-24	6
2015-11-25	9
2015-11-26	13
2015-11-27	8
2015-11-28	4
2015-11-29	10
2015-11-30	8
2015-12-01	25
2015-12-02	21
2015-12-03	15
2015-12-04	8
2015-12-05	11
2015-12-06	5
2015-12-07	9
2015-12-08	14
