date	freq
2015-06-01	964
2015-06-02	982
2015-06-03	952
2015-06-04	939
2015-06-05	867
2015-06-06	750
2015-06-07	800
2015-06-08	999
2015-06-09	1023
2015-06-10	960
2015-06-11	993
2015-06-12	923
2015-06-13	802
2015-06-14	832
2015-06-15	983
2015-06-16	1020
2015-06-17	1039
2015-06-18	1034
2015-06-19	966
2015-06-20	794
2015-06-21	851
2015-06-22	1136
2015-06-23	1028
2015-06-24	1035
2015-06-25	1031
2015-06-26	979
2015-06-27	874
2015-06-28	912
2015-06-29	1049
2015-06-30	1072
2015-07-01	1080
2015-07-02	1102
2015-07-03	1125
2015-07-04	901
2015-07-05	914
2015-07-06	1070
2015-07-07	1219
2015-07-08	1071
2015-07-09	1145
2015-07-10	1062
2015-07-11	889
2015-07-12	924
2015-07-13	1020
2015-07-14	1154
2015-07-15	1056
2015-07-16	1062
2015-07-17	1018
2015-07-18	840
2015-07-19	884
2015-07-20	944
2015-07-21	1020
2015-07-22	1082
2015-07-23	1075
2015-07-24	1055
2015-07-25	923
2015-07-26	895
2015-07-27	1059
2015-07-28	1110
2015-07-29	1109
2015-07-30	1038
2015-07-31	1104
2015-08-01	951
2015-08-02	935
2015-08-03	1113
2015-08-04	1080
2015-08-05	1110
2015-08-06	1037
2015-08-07	1030
2015-08-08	985
2015-08-09	948
2015-08-10	1069
2015-08-11	1047
2015-08-12	1040
2015-08-13	1005
2015-08-14	977
2015-08-15	940
2015-08-16	1001
2015-08-17	1105
2015-08-18	1170
2015-08-19	1210
2015-08-20	1259
2015-08-21	1264
2015-08-22	1118
2015-08-23	1095
2015-08-24	1228
2015-08-25	1255
2015-08-26	1337
2015-08-27	1440
2015-08-28	1317
2015-08-29	1234
2015-08-30	1248
2015-08-31	1525
2015-09-01	1651
2015-09-02	1787
2015-09-03	1886
2015-09-04	1797
2015-09-05	1708
2015-09-06	1750
2015-09-07	1997
2015-09-08	2094
2015-09-09	2035
2015-09-10	1836
2015-09-11	1768
2015-09-12	1597
2015-09-13	1756
2015-09-14	1997
2015-09-15	2057
2015-09-16	2080
2015-09-17	2068
2015-09-18	1931
2015-09-19	1737
2015-09-20	1622
2015-09-21	1657
2015-09-22	1655
2015-09-23	1864
2015-09-24	2091
2015-09-25	2157
2015-09-26	1820
2015-09-27	1993
2015-09-28	2115
2015-09-29	2141
2015-09-30	2255
2015-10-01	2698
2015-10-02	2547
2015-10-03	2403
2015-10-04	2236
2015-10-05	2617
2015-10-06	2659
2015-10-07	2661
2015-10-08	2760
2015-10-09	2664
2015-10-10	2346
2015-10-11	2523
2015-10-12	2649
2015-10-13	2818
2015-10-14	2750
2015-10-15	2917
2015-10-16	2838
2015-10-17	2552
2015-10-18	2592
2015-10-19	2876
2015-10-20	3014
2015-10-21	2948
2015-10-22	3126
2015-10-23	3200
2015-10-24	2886
2015-10-25	2915
2015-10-26	3267
2015-10-27	3294
2015-10-28	3406
2015-10-29	3707
2015-10-30	4916
2015-10-31	8699
2015-11-01	4396
2015-11-02	3107
2015-11-03	2152
2015-11-04	2069
2015-11-05	2009
2015-11-06	2063
2015-11-07	1614
2015-11-08	1701
2015-11-09	1618
2015-11-10	1566
2015-11-11	1523
2015-11-12	1456
2015-11-13	1327
2015-11-14	1227
2015-11-15	1220
2015-11-16	1254
2015-11-17	1327
2015-11-18	1360
2015-11-19	1293
2015-11-20	1261
2015-11-21	1014
2015-11-22	957
2015-11-23	1079
2015-11-24	1104
2015-11-25	1147
2015-11-26	1160
2015-11-27	1139
2015-11-28	986
2015-11-29	1014
2015-11-30	1176
2015-12-01	1189
2015-12-02	1067
2015-12-03	1130
2015-12-04	1020
2015-12-05	849
2015-12-06	827
2015-12-07	1047
2015-12-08	965
2015-12-09	971
2015-12-10	1017
2015-12-11	971
2015-12-12	854
2015-12-13	819
2015-12-14	960
2015-12-15	949
2015-12-16	915
2015-12-17	911
2015-12-18	911
2015-12-19	775
2015-12-20	920
2015-12-21	1395
2015-12-22	6496
2015-12-23	3006
2015-12-24	1396
2015-12-25	1184
2015-12-26	885
2015-12-27	737
2015-12-28	783
2015-12-29	667
2015-12-30	605
2015-12-31	586
2016-01-01	328
2016-01-02	417
2016-01-03	480
2016-01-04	500
2016-01-05	564
2016-01-06	716
2016-01-07	721
2016-01-08	651
2016-01-09	617
2016-01-10	600
2016-01-11	673
2016-01-12	724
2016-01-13	777
2016-01-14	761
2016-01-15	804
2016-01-16	631
2016-01-17	632
2016-01-18	811
2016-01-19	757
2016-01-20	766
2016-01-21	788
2016-01-22	769
2016-01-23	709
2016-01-24	730
2016-01-25	816
2016-01-26	774
2016-01-27	841
2016-01-28	837
2016-01-29	811
2016-01-30	680
2016-01-31	707
2016-02-01	798
2016-02-02	812
2016-02-03	705
2016-02-04	737
2016-02-05	782
2016-02-06	691
2016-02-07	674
2016-02-08	726
2016-02-09	794
2016-02-10	759
2016-02-11	634
2016-02-12	680
2016-02-13	640
2016-02-14	692
2016-02-15	760
2016-02-16	759
2016-02-17	731
2016-02-18	744
2016-02-19	692
2016-02-20	643
2016-02-21	671
2016-02-22	722
2016-02-23	731
2016-02-24	776
2016-02-25	732
2016-02-26	657
2016-02-27	605
2016-02-28	622
2016-02-29	710
2016-03-01	768
2016-03-02	704
2016-03-03	689
2016-03-04	710
2016-03-05	552
2016-03-06	572
2016-03-07	735
2016-03-08	705
2016-03-09	699
2016-03-10	720
2016-03-11	609
2016-03-12	546
2016-03-13	562
2016-03-14	685
2016-03-15	654
2016-03-16	694
2016-03-17	636
2016-03-18	604
2016-03-19	542
2016-03-20	540
2016-03-21	573
2016-03-22	634
2016-03-23	632
2016-03-24	666
2016-03-25	691
2016-03-26	535
2016-03-27	577
2016-03-28	653
2016-03-29	674
2016-03-30	685
2016-03-31	679
2016-04-01	653
2016-04-02	614
2016-04-03	646
2016-04-04	704
2016-04-05	754
2016-04-06	747
2016-04-07	860
2016-04-08	794
2016-04-09	650
2016-04-10	727
2016-04-11	851
2016-04-12	792
2016-04-13	805
2016-04-14	860
2016-04-15	746
2016-04-16	606
2016-04-17	661
2016-04-18	729
2016-04-19	821
2016-04-20	814
2016-04-21	826
2016-04-22	786
2016-04-23	707
2016-04-24	706
2016-04-25	849
2016-04-26	826
2016-04-27	788
2016-04-28	795
2016-04-29	685
2016-04-30	658
2016-05-01	695
2016-05-02	706
2016-05-03	660
2016-05-04	638
2016-05-05	684
2016-05-06	910
2016-05-07	703
2016-05-08	747
2016-05-09	834
2016-05-10	777
2016-05-11	800
2016-05-12	855
2016-05-13	797
2016-05-14	752
2016-05-15	706
2016-05-16	844
2016-05-17	886
2016-05-18	878
2016-05-19	884
2016-05-20	827
2016-05-21	670
2016-05-22	657
2016-05-23	814
2016-05-24	865
2016-05-25	846
2016-05-26	861
2016-05-27	765
2016-05-28	669
2016-05-29	658
2016-05-30	841
2016-05-31	885
