date	freq
2015-06-01	364
2015-06-02	403
2015-06-03	398
2015-06-04	423
2015-06-05	392
2015-06-06	498
2015-06-07	415
2015-06-08	359
2015-06-09	204
2015-06-10	327
2015-06-11	361
2015-06-12	376
2015-06-13	387
2015-06-14	502
2015-06-15	371
2015-06-16	405
2015-06-17	398
2015-06-18	442
2015-06-19	340
2015-06-20	379
2015-06-21	376
2015-06-22	452
2015-06-23	484
2015-06-24	375
2015-06-25	477
2015-06-26	425
2015-06-27	417
2015-06-28	389
2015-06-29	390
2015-06-30	411
2015-07-01	354
2015-07-02	382
2015-07-03	418
2015-07-04	353
2015-07-05	406
2015-07-06	382
2015-07-07	357
2015-07-08	406
2015-07-09	388
2015-07-10	375
2015-07-11	354
2015-07-12	396
2015-07-13	304
2015-07-14	382
2015-07-15	406
2015-07-16	506
2015-07-17	455
2015-07-18	392
2015-07-19	360
2015-07-20	404
2015-07-21	540
2015-07-22	391
2015-07-23	442
2015-07-24	455
2015-07-25	465
2015-07-26	444
2015-07-27	393
2015-07-28	391
2015-07-29	608
2015-07-30	487
2015-07-31	431
2015-08-01	399
2015-08-02	516
2015-08-03	498
2015-08-04	476
2015-08-05	490
2015-08-06	440
2015-08-07	499
2015-08-08	475
2015-08-09	409
2015-08-10	494
2015-08-11	399
2015-08-12	436
2015-08-13	425
2015-08-14	426
2015-08-15	417
2015-08-16	422
2015-08-17	402
2015-08-18	478
2015-08-19	581
2015-08-20	523
2015-08-21	1271
2015-08-22	1840
2015-08-23	1951
2015-08-24	1943
2015-08-25	2301
2015-08-26	2356
2015-08-27	2110
2015-08-28	2020
2015-08-29	1728
2015-08-30	1644
2015-08-31	1752
2015-09-01	2683
2015-09-02	3071
2015-09-03	3112
2015-09-04	2917
2015-09-05	2331
2015-09-06	2535
2015-09-07	2736
2015-09-08	1857
2015-09-09	762
2015-09-10	901
2015-09-11	740
2015-09-12	734
2015-09-13	811
2015-09-14	725
2015-09-15	831
2015-09-16	847
2015-09-17	954
2015-09-18	820
2015-09-19	774
2015-09-20	876
2015-09-21	855
2015-09-22	979
2015-09-23	956
2015-09-24	1374
2015-09-25	1163
2015-09-26	975
2015-09-27	1039
2015-09-28	1047
2015-09-29	1058
2015-09-30	1071
2015-10-01	1214
2015-10-02	1041
2015-10-03	1114
2015-10-04	1309
2015-10-05	1202
2015-10-06	1331
2015-10-07	1440
2015-10-08	1243
2015-10-09	1198
2015-10-10	1492
2015-10-11	2439
2015-10-12	1881
2015-10-13	1789
2015-10-14	1814
2015-10-15	2068
2015-10-16	1686
2015-10-17	2350
2015-10-18	2095
2015-10-19	1785
2015-10-20	1875
2015-10-21	1768
2015-10-22	1973
2015-10-23	2258
2015-10-24	2056
2015-10-25	2347
2015-10-26	2175
2015-10-27	1973
2015-10-28	2317
2015-10-29	3447
2015-10-30	5036
2015-10-31	8631
2015-11-01	3549
2015-11-02	1421
2015-11-03	1173
2015-11-04	960
2015-11-05	1245
2015-11-06	2220
2015-11-07	1183
2015-11-08	868
2015-11-09	680
2015-11-10	598
2015-11-11	554
2015-11-12	575
2015-11-13	569
2015-11-14	550
2015-11-15	573
2015-11-16	576
2015-11-17	554
2015-11-18	616
2015-11-19	521
2015-11-20	484
2015-11-21	406
2015-11-22	484
2015-11-23	467
2015-11-24	537
2015-11-25	506
2015-11-26	503
2015-11-27	408
2015-11-28	572
2015-11-29	652
2015-11-30	532
2015-12-01	469
2015-12-02	403
2015-12-03	385
2015-12-04	428
2015-12-05	421
2015-12-06	433
2015-12-07	434
2015-12-08	395
2015-12-09	361
2015-12-10	371
2015-12-11	364
2015-12-12	428
2015-12-13	430
2015-12-14	414
2015-12-15	390
2015-12-16	359
2015-12-17	348
2015-12-18	412
2015-12-19	425
2015-12-20	437
2015-12-21	605
2015-12-22	3815
2015-12-23	1203
2015-12-24	545
2015-12-25	429
2015-12-26	378
2015-12-27	367
2015-12-28	340
2015-12-29	336
2015-12-30	341
2015-12-31	416
2016-01-01	380
2016-01-02	311
2016-01-03	352
2016-01-04	288
2016-01-05	367
2016-01-06	317
2016-01-07	371
2016-01-08	323
2016-01-09	348
2016-01-10	360
2016-01-11	353
2016-01-12	336
2016-01-13	330
2016-01-14	297
2016-01-15	327
2016-01-16	409
2016-01-17	361
2016-01-18	315
2016-01-19	302
2016-01-20	785
2016-01-21	484
2016-01-22	1551
2016-01-23	566
2016-01-24	470
2016-01-25	337
2016-01-26	405
2016-01-27	432
2016-01-28	378
2016-01-29	380
2016-01-30	380
2016-01-31	440
2016-02-01	404
2016-02-02	386
2016-02-03	327
2016-02-04	354
2016-02-05	477
2016-02-06	423
2016-02-07	389
2016-02-08	438
2016-02-09	355
2016-02-10	375
2016-02-11	367
2016-02-12	383
2016-02-13	370
2016-02-14	398
2016-02-15	295
2016-02-16	349
2016-02-17	380
2016-02-18	369
2016-02-19	384
2016-02-20	397
2016-02-21	363
2016-02-22	370
2016-02-23	349
2016-02-24	349
2016-02-25	373
2016-02-26	353
2016-02-27	358
2016-02-28	374
2016-02-29	305
2016-03-01	322
2016-03-02	284
2016-03-03	306
2016-03-04	338
2016-03-05	334
2016-03-06	346
2016-03-07	354
2016-03-08	401
2016-03-09	340
2016-03-10	328
2016-03-11	392
2016-03-12	338
2016-03-13	365
2016-03-14	325
2016-03-15	337
2016-03-16	354
2016-03-17	374
2016-03-18	324
2016-03-19	304
2016-03-20	327
2016-03-21	325
2016-03-22	360
2016-03-23	359
2016-03-24	333
2016-03-25	338
2016-03-26	346
2016-03-27	362
2016-03-28	329
2016-03-29	340
2016-03-30	340
2016-03-31	343
2016-04-01	344
2016-04-02	309
2016-04-03	387
2016-04-04	343
2016-04-05	356
2016-04-06	345
2016-04-07	404
2016-04-08	399
2016-04-09	321
2016-04-10	332
2016-04-11	299
