date	freq
2015-06-01	318
2015-06-02	280
2015-06-03	300
2015-06-04	309
2015-06-05	295
2015-06-06	266
2015-06-07	275
2015-06-08	282
2015-06-09	268
2015-06-10	317
2015-06-11	287
2015-06-12	273
2015-06-13	303
2015-06-14	312
2015-06-15	301
2015-06-16	295
2015-06-17	289
2015-06-18	275
2015-06-19	286
2015-06-20	274
2015-06-21	272
2015-06-22	289
2015-06-23	334
2015-06-24	328
2015-06-25	279
2015-06-26	330
2015-06-27	273
2015-06-28	324
2015-06-29	278
2015-06-30	293
2015-07-01	280
2015-07-02	276
2015-07-03	265
2015-07-04	275
2015-07-05	264
2015-07-06	280
2015-07-07	308
2015-07-08	292
2015-07-09	276
2015-07-10	235
2015-07-11	262
2015-07-12	242
2015-07-13	241
2015-07-14	230
2015-07-15	253
2015-07-16	243
2015-07-17	261
2015-07-18	231
2015-07-19	219
2015-07-20	269
2015-07-21	221
2015-07-22	224
2015-07-23	238
2015-07-24	227
2015-07-25	220
2015-07-26	252
2015-07-27	246
2015-07-28	245
2015-07-29	245
2015-07-30	246
2015-07-31	227
2015-08-01	212
2015-08-02	214
2015-08-03	242
2015-08-04	254
2015-08-05	240
2015-08-06	257
2015-08-07	252
2015-08-08	241
2015-08-09	253
2015-08-10	248
2015-08-11	248
2015-08-12	249
2015-08-13	270
2015-08-14	270
2015-08-15	260
2015-08-16	280
2015-08-17	254
2015-08-18	254
2015-08-19	253
2015-08-20	271
2015-08-21	259
2015-08-22	250
2015-08-23	257
2015-08-24	238
2015-08-25	252
2015-08-26	254
2015-08-27	242
2015-08-28	224
2015-08-29	251
2015-08-30	272
2015-08-31	271
2015-09-01	267
2015-09-02	265
2015-09-03	259
2015-09-04	248
2015-09-05	253
2015-09-06	269
2015-09-07	275
2015-09-08	260
2015-09-09	266
2015-09-10	259
2015-09-11	266
2015-09-12	256
2015-09-13	258
2015-09-14	246
2015-09-15	231
2015-09-16	287
2015-09-17	266
2015-09-18	239
2015-09-19	246
2015-09-20	286
2015-09-21	332
2015-09-22	329
2015-09-23	382
2015-09-24	272
2015-09-25	270
2015-09-26	263
2015-09-27	524
2015-09-28	430
2015-09-29	283
2015-09-30	249
