date	freq
2015-06-01	10
2015-06-02	2
2015-06-03	3
2015-06-04	6
2015-06-05	4
2015-06-06	4
2015-06-07	5
2015-06-08	5
2015-06-09	5
2015-06-10	4
2015-06-11	3
2015-06-12	4
2015-06-13	2
2015-06-14	7
2015-06-15	2
2015-06-16	4
2015-06-17	8
2015-06-18	2
2015-06-19	2
2015-06-20	6
2015-06-21	3
2015-06-22	2
2015-06-23	7
2015-06-24	1
2015-06-25	5
2015-06-26	6
2015-06-27	3
2015-06-28	2
2015-06-29	6
2015-06-30	3
2015-07-01	5
2015-07-02	7
2015-07-03	2
2015-07-04	5
2015-07-05	6
2015-07-06	6
2015-07-07	5
2015-07-08	6
2015-07-09	7
2015-07-10	3
2015-07-11	2
2015-07-12	3
2015-07-13	2
2015-07-14	5
2015-07-15	5
2015-07-16	2
2015-07-17	5
2015-07-18	4
2015-07-19	3
2015-07-20	7
2015-07-21	4
2015-07-22	4
2015-07-23	5
2015-07-24	7
2015-07-25	5
2015-07-26	2
2015-07-27	4
2015-07-28	5
2015-07-29	10
2015-07-30	4
2015-07-31	8
2015-08-01	3
2015-08-02	2
2015-08-03	5
2015-08-04	2
2015-08-05	2
2015-08-06	1
2015-08-07	4
2015-08-08	5
2015-08-09	4
2015-08-10	6
2015-08-11	3
2015-08-12	3
2015-08-13	7
2015-08-14	10
2015-08-15	5
2015-08-16	7
2015-08-17	3
2015-08-18	3
2015-08-19	6
2015-08-20	2
2015-08-21	5
2015-08-22	4
2015-08-23	1
2015-08-24	3
2015-08-25	4
2015-08-26	6
2015-08-27	6
2015-08-28	5
2015-08-29	1
2015-08-30	4
2015-08-31	3
2015-09-01	5
2015-09-02	0
2015-09-03	8
2015-09-04	1
2015-09-05	5
2015-09-06	4
2015-09-07	2
2015-09-08	1
2015-09-09	7
2015-09-10	4
2015-09-11	4
2015-09-12	2
2015-09-13	3
2015-09-14	3
2015-09-15	2
2015-09-16	2
2015-09-17	5
2015-09-18	4
2015-09-19	1
2015-09-20	2
2015-09-21	5
2015-09-22	2
2015-09-23	0
2015-09-24	3
2015-09-25	2
2015-09-26	1
2015-09-27	4
2015-09-28	1
2015-09-29	2
2015-09-30	2
2015-10-01	5
2015-10-02	3
2015-10-03	3
2015-10-04	3
2015-10-05	2
2015-10-06	6
2015-10-07	6
2015-10-08	2
2015-10-09	3
2015-10-10	5
2015-10-11	4
2015-10-12	4
2015-10-13	1
2015-10-14	7
2015-10-15	4
2015-10-16	2
2015-10-17	1
2015-10-18	6
2015-10-19	2
2015-10-20	2
2015-10-21	3
2015-10-22	3
2015-10-23	2
2015-10-24	3
2015-10-25	0
2015-10-26	1
2015-10-27	4
2015-10-28	6
2015-10-29	0
2015-10-30	10
2015-10-31	2
2015-11-01	2
2015-11-02	3
2015-11-03	5
2015-11-04	6
2015-11-05	1
2015-11-06	3
2015-11-07	4
2015-11-08	2
2015-11-09	6
2015-11-10	3
2015-11-11	4
2015-11-12	6
2015-11-13	6
2015-11-14	5
2015-11-15	6
2015-11-16	5
2015-11-17	4
2015-11-18	3
2015-11-19	2
2015-11-20	3
2015-11-21	3
2015-11-22	4
2015-11-23	2
2015-11-24	6
2015-11-25	4
2015-11-26	6
2015-11-27	5
2015-11-28	2
2015-11-29	8
2015-11-30	10
2015-12-01	9
2015-12-02	3
2015-12-03	5
2015-12-04	3
2015-12-05	7
2015-12-06	5
2015-12-07	6
2015-12-08	3
2015-12-09	10
2015-12-10	4
2015-12-11	6
2015-12-12	5
2015-12-13	2
2015-12-14	4
2015-12-15	3
2015-12-16	3
2015-12-17	10
2015-12-18	13
2015-12-19	7
2015-12-20	2
2015-12-21	12
2015-12-22	4
2015-12-23	4
2015-12-24	7
2015-12-25	3
2015-12-26	4
2015-12-27	1
2015-12-28	3
2015-12-29	0
2015-12-30	1
2015-12-31	1
2016-01-01	0
2016-01-02	1
2016-01-03	2
2016-01-04	3
2016-01-05	3
2016-01-06	1
2016-01-07	2
2016-01-08	5
2016-01-09	2
2016-01-10	3
2016-01-11	7
2016-01-12	0
2016-01-13	2
2016-01-14	3
2016-01-15	3
2016-01-16	4
2016-01-17	6
2016-01-18	3
2016-01-19	5
2016-01-20	2
2016-01-21	3
2016-01-22	1
2016-01-23	1
2016-01-24	3
2016-01-25	5
2016-01-26	2
2016-01-27	1
2016-01-28	7
2016-01-29	6
2016-01-30	2
2016-01-31	1
2016-02-01	2
2016-02-02	1
2016-02-03	2
