date	freq
2015-06-01	1048
2015-06-02	1082
2015-06-03	1101
2015-06-04	1073
2015-06-05	1050
2015-06-06	888
2015-06-07	888
2015-06-08	1077
2015-06-09	1036
2015-06-10	978
2015-06-11	989
2015-06-12	965
2015-06-13	822
2015-06-14	885
2015-06-15	997
2015-06-16	1002
2015-06-17	1000
2015-06-18	1046
2015-06-19	1072
2015-06-20	924
2015-06-21	899
2015-06-22	1031
2015-06-23	1033
2015-06-24	1010
2015-06-25	1035
2015-06-26	910
2015-06-27	864
2015-06-28	855
2015-06-29	970
2015-06-30	1013
2015-07-01	933
2015-07-02	1011
2015-07-03	974
2015-07-04	836
2015-07-05	819
2015-07-06	1020
2015-07-07	1052
2015-07-08	966
2015-07-09	907
2015-07-10	999
2015-07-11	849
2015-07-12	863
2015-07-13	1009
2015-07-14	939
2015-07-15	1011
2015-07-16	942
2015-07-17	925
2015-07-18	805
2015-07-19	760
2015-07-20	821
2015-07-21	880
2015-07-22	944
2015-07-23	869
2015-07-24	853
2015-07-25	767
2015-07-26	785
2015-07-27	869
2015-07-28	928
2015-07-29	900
2015-07-30	854
2015-07-31	861
2015-08-01	732
2015-08-02	750
2015-08-03	861
2015-08-04	832
2015-08-05	838
2015-08-06	823
2015-08-07	824
2015-08-08	727
2015-08-09	796
2015-08-10	840
2015-08-11	794
2015-08-12	790
2015-08-13	753
2015-08-14	724
2015-08-15	682
2015-08-16	769
2015-08-17	888
2015-08-18	899
2015-08-19	879
2015-08-20	872
2015-08-21	839
2015-08-22	797
2015-08-23	809
2015-08-24	883
2015-08-25	889
2015-08-26	916
2015-08-27	900
2015-08-28	873
2015-08-29	817
2015-08-30	870
2015-08-31	902
2015-09-01	915
2015-09-02	943
2015-09-03	899
2015-09-04	898
2015-09-05	790
2015-09-06	838
2015-09-07	998
2015-09-08	966
2015-09-09	871
2015-09-10	860
2015-09-11	845
2015-09-12	824
2015-09-13	810
2015-09-14	937
2015-09-15	993
2015-09-16	954
