date	freq
2015-06-01	138
2015-06-02	138
2015-06-03	160
2015-06-04	145
2015-06-05	160
2015-06-06	157
2015-06-07	135
2015-06-08	138
2015-06-09	154
2015-06-10	61
2015-06-11	165
2015-06-12	145
2015-06-13	139
2015-06-14	152
2015-06-15	150
2015-06-16	162
2015-06-17	168
2015-06-18	138
2015-06-19	125
2015-06-20	166
2015-06-21	195
2015-06-22	162
2015-06-23	156
2015-06-24	120
2015-06-25	123
2015-06-26	128
2015-06-27	152
2015-06-28	120
2015-06-29	145
2015-06-30	137
2015-07-01	137
2015-07-02	132
2015-07-03	111
2015-07-04	106
2015-07-05	130
2015-07-06	115
2015-07-07	142
2015-07-08	139
2015-07-09	127
2015-07-10	130
2015-07-11	124
2015-07-12	123
2015-07-13	151
2015-07-14	127
2015-07-15	139
2015-07-16	110
2015-07-17	124
2015-07-18	125
2015-07-19	122
2015-07-20	141
2015-07-21	127
2015-07-22	164
2015-07-23	144
2015-07-24	132
2015-07-25	140
2015-07-26	114
2015-07-27	222
2015-07-28	137
2015-07-29	159
2015-07-30	131
2015-07-31	126
2015-08-01	141
2015-08-02	119
2015-08-03	151
2015-08-04	123
2015-08-05	150
2015-08-06	164
2015-08-07	129
2015-08-08	130
2015-08-09	164
2015-08-10	136
2015-08-11	139
2015-08-12	165
2015-08-13	154
2015-08-14	159
2015-08-15	146
2015-08-16	153
2015-08-17	175
2015-08-18	151
2015-08-19	198
2015-08-20	184
2015-08-21	175
2015-08-22	157
2015-08-23	176
2015-08-24	158
2015-08-25	190
2015-08-26	203
2015-08-27	198
2015-08-28	243
2015-08-29	202
2015-08-30	207
2015-08-31	226
2015-09-01	264
2015-09-02	364
2015-09-03	283
2015-09-04	252
2015-09-05	323
2015-09-06	306
2015-09-07	351
2015-09-08	316
2015-09-09	295
2015-09-10	281
2015-09-11	259
2015-09-12	290
2015-09-13	301
2015-09-14	296
2015-09-15	300
2015-09-16	345
2015-09-17	358
2015-09-18	340
2015-09-19	280
2015-09-20	297
2015-09-21	302
2015-09-22	300
2015-09-23	358
2015-09-24	364
2015-09-25	333
2015-09-26	313
2015-09-27	398
2015-09-28	382
2015-09-29	310
2015-09-30	340
2015-10-01	334
2015-10-02	318
2015-10-03	297
2015-10-04	436
2015-10-05	356
2015-10-06	400
2015-10-07	460
2015-10-08	421
2015-10-09	362
2015-10-10	358
2015-10-11	402
2015-10-12	425
2015-10-13	910
2015-10-14	500
2015-10-15	589
2015-10-16	396
2015-10-17	356
2015-10-18	436
2015-10-19	349
2015-10-20	449
2015-10-21	535
2015-10-22	523
2015-10-23	454
2015-10-24	418
2015-10-25	425
2015-10-26	379
2015-10-27	435
2015-10-28	361
2015-10-29	425
2015-10-30	385
2015-10-31	427
2015-11-01	383
2015-11-02	313
2015-11-03	396
2015-11-04	349
2015-11-05	340
2015-11-06	355
2015-11-07	345
2015-11-08	322
2015-11-09	303
2015-11-10	314
2015-11-11	297
2015-11-12	309
2015-11-13	364
2015-11-14	275
2015-11-15	310
2015-11-16	306
2015-11-17	320
2015-11-18	274
2015-11-19	279
2015-11-20	308
2015-11-21	245
2015-11-22	261
2015-11-23	270
2015-11-24	236
2015-11-25	222
2015-11-26	207
2015-11-27	202
2015-11-28	236
2015-11-29	270
2015-11-30	238
2015-12-01	261
2015-12-02	201
2015-12-03	176
2015-12-04	206
2015-12-05	198
2015-12-06	200
2015-12-07	208
2015-12-08	162
2015-12-09	193
2015-12-10	209
2015-12-11	200
2015-12-12	204
2015-12-13	201
2015-12-14	187
2015-12-15	180
2015-12-16	171
2015-12-17	163
2015-12-18	198
2015-12-19	201
2015-12-20	185
2015-12-21	149
2015-12-22	167
2015-12-23	171
2015-12-24	161
2015-12-25	145
2015-12-26	149
2015-12-27	171
2015-12-28	159
2015-12-29	199
2015-12-30	168
2015-12-31	189
2016-01-01	150
2016-01-02	136
2016-01-03	146
2016-01-04	136
2016-01-05	153
2016-01-06	154
2016-01-07	309
2016-01-08	229
2016-01-09	227
2016-01-10	260
2016-01-11	224
2016-01-12	197
2016-01-13	229
2016-01-14	228
2016-01-15	165
2016-01-16	185
2016-01-17	173
2016-01-18	162
2016-01-19	128
2016-01-20	164
2016-01-21	164
2016-01-22	181
2016-01-23	186
2016-01-24	178
2016-01-25	193
2016-01-26	173
2016-01-27	170
2016-01-28	187
2016-01-29	166
2016-01-30	198
