date	freq
2015-06-01	509
2015-06-02	497
2015-06-03	494
2015-06-04	474
2015-06-05	495
2015-06-06	471
2015-06-07	412
2015-06-08	540
2015-06-09	533
2015-06-10	503
2015-06-11	540
2015-06-12	488
2015-06-13	464
2015-06-14	464
2015-06-15	483
2015-06-16	501
2015-06-17	500
2015-06-18	492
2015-06-19	499
2015-06-20	472
2015-06-21	453
2015-06-22	469
2015-06-23	460
2015-06-24	510
2015-06-25	493
2015-06-26	477
2015-06-27	453
2015-06-28	489
2015-06-29	520
2015-06-30	459
2015-07-01	457
2015-07-02	495
2015-07-03	526
2015-07-04	443
2015-07-05	578
2015-07-06	567
2015-07-07	489
2015-07-08	518
2015-07-09	516
2015-07-10	450
2015-07-11	452
2015-07-12	447
2015-07-13	482
2015-07-14	509
2015-07-15	438
2015-07-16	445
2015-07-17	501
2015-07-18	460
2015-07-19	404
2015-07-20	454
2015-07-21	508
2015-07-22	481
2015-07-23	448
2015-07-24	437
2015-07-25	396
2015-07-26	424
2015-07-27	439
2015-07-28	477
2015-07-29	467
2015-07-30	439
2015-07-31	397
2015-08-01	399
2015-08-02	382
2015-08-03	395
2015-08-04	439
2015-08-05	450
2015-08-06	432
2015-08-07	455
2015-08-08	372
2015-08-09	373
2015-08-10	428
2015-08-11	426
2015-08-12	426
2015-08-13	394
2015-08-14	356
2015-08-15	336
2015-08-16	410
2015-08-17	406
2015-08-18	450
2015-08-19	426
2015-08-20	439
2015-08-21	421
2015-08-22	400
2015-08-23	395
2015-08-24	408
2015-08-25	630
2015-08-26	434
2015-08-27	443
2015-08-28	453
2015-08-29	432
2015-08-30	426
2015-08-31	455
2015-09-01	456
2015-09-02	428
2015-09-03	463
2015-09-04	474
2015-09-05	422
2015-09-06	473
2015-09-07	476
2015-09-08	525
2015-09-09	511
2015-09-10	438
2015-09-11	468
2015-09-12	406
2015-09-13	464
2015-09-14	502
2015-09-15	466
2015-09-16	522
2015-09-17	503
2015-09-18	506
2015-09-19	435
2015-09-20	491
2015-09-21	487
2015-09-22	458
2015-09-23	512
2015-09-24	516
2015-09-25	516
2015-09-26	429
2015-09-27	479
2015-09-28	452
2015-09-29	503
2015-09-30	501
2015-10-01	485
2015-10-02	474
2015-10-03	413
2015-10-04	479
2015-10-05	462
2015-10-06	533
2015-10-07	447
2015-10-08	454
2015-10-09	417
2015-10-10	386
2015-10-11	435
2015-10-12	447
2015-10-13	519
2015-10-14	449
2015-10-15	505
2015-10-16	431
2015-10-17	470
2015-10-18	443
2015-10-19	507
2015-10-20	518
2015-10-21	494
2015-10-22	478
2015-10-23	429
2015-10-24	441
2015-10-25	431
2015-10-26	507
2015-10-27	520
2015-10-28	505
2015-10-29	481
2015-10-30	456
2015-10-31	439
2015-11-01	451
2015-11-02	444
2015-11-03	463
2015-11-04	444
2015-11-05	474
2015-11-06	493
2015-11-07	475
2015-11-08	482
2015-11-09	459
2015-11-10	469
2015-11-11	459
2015-11-12	474
2015-11-13	446
2015-11-14	440
2015-11-15	467
2015-11-16	439
2015-11-17	454
2015-11-18	493
2015-11-19	469
2015-11-20	449
2015-11-21	411
2015-11-22	412
2015-11-23	466
2015-11-24	525
2015-11-25	470
2015-11-26	508
2015-11-27	434
2015-11-28	385
2015-11-29	417
2015-11-30	429
2015-12-01	444
2015-12-02	430
2015-12-03	474
2015-12-04	417
2015-12-05	402
2015-12-06	427
2015-12-07	484
2015-12-08	415
2015-12-09	407
2015-12-10	385
2015-12-11	402
2015-12-12	363
2015-12-13	433
2015-12-14	425
2015-12-15	427
2015-12-16	392
2015-12-17	370
2015-12-18	391
2015-12-19	354
2015-12-20	418
2015-12-21	422
2015-12-22	404
2015-12-23	438
2015-12-24	367
2015-12-25	346
2015-12-26	374
2015-12-27	369
2015-12-28	341
2015-12-29	405
2015-12-30	395
2015-12-31	431
2016-01-01	315
2016-01-02	350
2016-01-03	388
2016-01-04	383
2016-01-05	376
2016-01-06	464
2016-01-07	394
2016-01-08	389
2016-01-09	389
2016-01-10	373
2016-01-11	427
2016-01-12	441
2016-01-13	473
2016-01-14	443
2016-01-15	412
2016-01-16	392
2016-01-17	460
2016-01-18	409
2016-01-19	434
2016-01-20	397
2016-01-21	440
2016-01-22	391
2016-01-23	408
2016-01-24	409
2016-01-25	406
2016-01-26	387
2016-01-27	453
2016-01-28	400
2016-01-29	455
2016-01-30	386
2016-01-31	418
2016-02-01	447
2016-02-02	434
2016-02-03	442
2016-02-04	511
2016-02-05	524
2016-02-06	482
2016-02-07	503
2016-02-08	552
2016-02-09	540
2016-02-10	496
2016-02-11	433
2016-02-12	430
2016-02-13	420
2016-02-14	424
2016-02-15	480
2016-02-16	434
2016-02-17	405
2016-02-18	414
2016-02-19	473
2016-02-20	364
2016-02-21	415
2016-02-22	440
2016-02-23	410
2016-02-24	409
2016-02-25	375
2016-02-26	354
2016-02-27	357
2016-02-28	347
2016-02-29	402
2016-03-01	421
2016-03-02	413
2016-03-03	366
2016-03-04	372
2016-03-05	363
2016-03-06	369
2016-03-07	357
2016-03-08	406
2016-03-09	354
2016-03-10	414
2016-03-11	320
2016-03-12	338
2016-03-13	346
2016-03-14	374
2016-03-15	314
2016-03-16	347
2016-03-17	440
2016-03-18	345
2016-03-19	368
2016-03-20	317
2016-03-21	352
2016-03-22	422
2016-03-23	477
2016-03-24	378
2016-03-25	342
2016-03-26	343
2016-03-27	351
2016-03-28	401
2016-03-29	436
2016-03-30	448
2016-03-31	334
2016-04-01	362
2016-04-02	392
2016-04-03	415
2016-04-04	456
2016-04-05	421
2016-04-06	417
2016-04-07	413
2016-04-08	398
2016-04-09	373
2016-04-10	397
2016-04-11	420
2016-04-12	434
2016-04-13	445
2016-04-14	371
2016-04-15	346
2016-04-16	303
2016-04-17	352
2016-04-18	352
2016-04-19	344
2016-04-20	406
2016-04-21	432
2016-04-22	404
2016-04-23	352
2016-04-24	392
2016-04-25	443
2016-04-26	366
2016-04-27	399
2016-04-28	406
2016-04-29	343
2016-04-30	387
2016-05-01	341
2016-05-02	412
2016-05-03	454
2016-05-04	416
2016-05-05	405
2016-05-06	388
2016-05-07	414
2016-05-08	403
2016-05-09	413
2016-05-10	487
2016-05-11	381
2016-05-12	435
2016-05-13	397
2016-05-14	344
2016-05-15	360
2016-05-16	411
2016-05-17	423
2016-05-18	430
2016-05-19	414
2016-05-20	419
2016-05-21	357
2016-05-22	361
2016-05-23	388
2016-05-24	345
2016-05-25	419
2016-05-26	402
2016-05-27	380
2016-05-28	370
2016-05-29	396
2016-05-30	402
2016-05-31	362
