date	freq
2015-06-01	621
2015-06-02	467
2015-06-03	485
2015-06-04	401
2015-06-05	418
2015-06-06	427
2015-06-07	487
2015-06-08	430
2015-06-09	227
2015-06-10	679
2015-06-11	642
2015-06-12	534
2015-06-13	518
2015-06-14	592
2015-06-15	474
2015-06-16	470
2015-06-17	482
2015-06-18	455
2015-06-19	491
2015-06-20	560
2015-06-21	521
2015-06-22	546
2015-06-23	520
2015-06-24	574
2015-06-25	524
2015-06-26	498
2015-06-27	534
2015-06-28	560
2015-06-29	546
2015-06-30	493
2015-07-01	501
2015-07-02	489
2015-07-03	475
2015-07-04	442
2015-07-05	504
2015-07-06	537
2015-07-07	471
2015-07-08	477
2015-07-09	501
2015-07-10	544
2015-07-11	591
2015-07-12	625
2015-07-13	465
2015-07-14	525
2015-07-15	476
2015-07-16	527
2015-07-17	486
2015-07-18	459
2015-07-19	463
2015-07-20	466
2015-07-21	582
2015-07-22	487
2015-07-23	526
2015-07-24	454
2015-07-25	459
2015-07-26	482
2015-07-27	487
2015-07-28	508
2015-07-29	495
2015-07-30	454
2015-07-31	550
2015-08-01	535
2015-08-02	706
2015-08-03	484
2015-08-04	546
2015-08-05	654
2015-08-06	522
2015-08-07	706
2015-08-08	492
2015-08-09	506
2015-08-10	446
2015-08-11	412
2015-08-12	434
2015-08-13	440
2015-08-14	522
2015-08-15	446
2015-08-16	560
2015-08-17	565
2015-08-18	513
2015-08-19	459
2015-08-20	475
2015-08-21	525
2015-08-22	466
2015-08-23	457
2015-08-24	475
2015-08-25	511
2015-08-26	504
2015-08-27	472
2015-08-28	449
2015-08-29	489
2015-08-30	490
2015-08-31	539
2015-09-01	577
2015-09-02	535
2015-09-03	535
2015-09-04	580
2015-09-05	569
2015-09-06	509
2015-09-07	623
2015-09-08	589
2015-09-09	644
2015-09-10	680
2015-09-11	598
2015-09-12	577
2015-09-13	583
2015-09-14	569
2015-09-15	668
2015-09-16	624
2015-09-17	723
2015-09-18	655
2015-09-19	588
2015-09-20	583
2015-09-21	587
2015-09-22	628
2015-09-23	689
2015-09-24	608
2015-09-25	600
2015-09-26	625
2015-09-27	701
2015-09-28	702
2015-09-29	604
2015-09-30	604
2015-10-01	657
2015-10-02	755
2015-10-03	587
2015-10-04	662
2015-10-05	548
2015-10-06	556
2015-10-07	529
2015-10-08	740
2015-10-09	680
2015-10-10	602
2015-10-11	658
2015-10-12	567
2015-10-13	476
2015-10-14	547
2015-10-15	824
2015-10-16	565
2015-10-17	553
2015-10-18	687
2015-10-19	618
2015-10-20	560
2015-10-21	493
2015-10-22	471
2015-10-23	526
2015-10-24	471
2015-10-25	474
2015-10-26	517
2015-10-27	1319
2015-10-28	581
2015-10-29	584
2015-10-30	432
2015-10-31	423
2015-11-01	468
2015-11-02	464
2015-11-03	495
2015-11-04	498
2015-11-05	488
2015-11-06	438
2015-11-07	500
2015-11-08	524
2015-11-09	564
2015-11-10	541
2015-11-11	445
2015-11-12	479
2015-11-13	495
2015-11-14	410
2015-11-15	533
2015-11-16	447
2015-11-17	503
2015-11-18	469
2015-11-19	391
2015-11-20	479
2015-11-21	439
2015-11-22	479
2015-11-23	546
2015-11-24	451
2015-11-25	398
2015-11-26	415
2015-11-27	432
2015-11-28	474
2015-11-29	494
2015-11-30	402
2015-12-01	474
2015-12-02	350
2015-12-03	513
2015-12-04	1085
2015-12-05	512
2015-12-06	461
2015-12-07	407
2015-12-08	402
2015-12-09	484
2015-12-10	354
2015-12-11	451
2015-12-12	463
2015-12-13	473
2015-12-14	456
2015-12-15	448
2015-12-16	594
2015-12-17	451
2015-12-18	478
2015-12-19	484
2015-12-20	405
2015-12-21	369
2015-12-22	376
2015-12-23	400
2015-12-24	436
2015-12-25	392
2015-12-26	331
2015-12-27	368
2015-12-28	369
2015-12-29	369
2015-12-30	347
2015-12-31	516
2016-01-01	335
2016-01-02	314
2016-01-03	315
2016-01-04	318
2016-01-05	363
2016-01-06	358
2016-01-07	437
2016-01-08	388
2016-01-09	395
2016-01-10	415
2016-01-11	486
2016-01-12	403
2016-01-13	433
2016-01-14	441
2016-01-15	422
2016-01-16	392
2016-01-17	366
2016-01-18	375
2016-01-19	324
2016-01-20	469
2016-01-21	556
2016-01-22	497
2016-01-23	428
2016-01-24	460
2016-01-25	552
2016-01-26	443
2016-01-27	458
2016-01-28	469
2016-01-29	475
2016-01-30	426
2016-01-31	440
2016-02-01	512
2016-02-02	416
2016-02-03	612
2016-02-04	816
2016-02-05	598
2016-02-06	548
2016-02-07	508
2016-02-08	489
2016-02-09	485
2016-02-10	438
2016-02-11	474
2016-02-12	475
2016-02-13	457
2016-02-14	442
2016-02-15	413
2016-02-16	509
2016-02-17	461
2016-02-18	405
2016-02-19	438
2016-02-20	428
2016-02-21	444
2016-02-22	566
2016-02-23	567
2016-02-24	493
2016-02-25	425
2016-02-26	403
2016-02-27	412
2016-02-28	458
2016-02-29	426
2016-03-01	427
2016-03-02	353
2016-03-03	398
2016-03-04	418
2016-03-05	430
2016-03-06	436
2016-03-07	482
2016-03-08	446
2016-03-09	456
2016-03-10	471
2016-03-11	385
2016-03-12	406
2016-03-13	460
2016-03-14	407
2016-03-15	400
2016-03-16	557
2016-03-17	2358
2016-03-18	594
2016-03-19	448
2016-03-20	425
2016-03-21	389
2016-03-22	384
2016-03-23	426
2016-03-24	388
2016-03-25	396
2016-03-26	392
2016-03-27	404
2016-03-28	512
2016-03-29	428
2016-03-30	418
2016-03-31	436
2016-04-01	797
2016-04-02	390
2016-04-03	446
2016-04-04	428
2016-04-05	476
2016-04-06	556
2016-04-07	416
2016-04-08	418
2016-04-09	446
2016-04-10	462
2016-04-11	379
2016-04-12	389
2016-04-13	375
2016-04-14	359
2016-04-15	428
2016-04-16	426
2016-04-17	397
2016-04-18	374
2016-04-19	384
2016-04-20	408
2016-04-21	328
2016-04-22	335
2016-04-23	414
2016-04-24	455
2016-04-25	373
2016-04-26	370
2016-04-27	444
2016-04-28	375
2016-04-29	432
2016-04-30	389
2016-05-01	431
2016-05-02	395
2016-05-03	401
2016-05-04	440
2016-05-05	443
2016-05-06	419
2016-05-07	462
2016-05-08	432
2016-05-09	437
2016-05-10	394
2016-05-11	404
2016-05-12	576
2016-05-13	415
2016-05-14	444
2016-05-15	469
2016-05-16	388
2016-05-17	410
2016-05-18	449
2016-05-19	549
2016-05-20	615
2016-05-21	648
2016-05-22	1420
2016-05-23	888
2016-05-24	652
2016-05-25	446
2016-05-26	671
2016-05-27	416
2016-05-28	504
2016-05-29	617
2016-05-30	534
2016-05-31	515
