date	freq
2015-06-01	19
2015-06-02	21
2015-06-03	36
2015-06-04	22
2015-06-05	12
2015-06-06	25
2015-06-07	35
2015-06-08	8
2015-06-09	10
2015-06-10	15
2015-06-11	17
2015-06-12	18
2015-06-13	13
2015-06-14	24
2015-06-15	22
2015-06-16	22
2015-06-17	31
2015-06-18	35
2015-06-19	13
2015-06-20	21
2015-06-21	14
2015-06-22	18
2015-06-23	27
2015-06-24	31
2015-06-25	25
2015-06-26	25
2015-06-27	16
2015-06-28	15
2015-06-29	13
2015-06-30	15
2015-07-01	26
2015-07-02	26
2015-07-03	20
2015-07-04	36
2015-07-05	17
2015-07-06	20
2015-07-07	21
2015-07-08	23
2015-07-09	27
2015-07-10	22
2015-07-11	24
2015-07-12	30
2015-07-13	21
2015-07-14	25
2015-07-15	24
2015-07-16	29
2015-07-17	43
2015-07-18	20
2015-07-19	32
2015-07-20	19
2015-07-21	29
2015-07-22	29
2015-07-23	28
2015-07-24	23
2015-07-25	15
2015-07-26	21
2015-07-27	33
2015-07-28	34
2015-07-29	25
2015-07-30	25
2015-07-31	31
2015-08-01	23
2015-08-02	30
2015-08-03	14
2015-08-04	21
2015-08-05	25
2015-08-06	32
2015-08-07	17
2015-08-08	55
2015-08-09	43
2015-08-10	30
2015-08-11	17
2015-08-12	20
2015-08-13	30
2015-08-14	23
2015-08-15	18
2015-08-16	12
2015-08-17	20
2015-08-18	18
2015-08-19	20
2015-08-20	35
2015-08-21	26
2015-08-22	27
2015-08-23	27
2015-08-24	27
2015-08-25	22
2015-08-26	19
2015-08-27	32
2015-08-28	18
2015-08-29	19
2015-08-30	22
2015-08-31	22
2015-09-01	24
2015-09-02	15
2015-09-03	33
2015-09-04	26
2015-09-05	28
2015-09-06	26
2015-09-07	22
2015-09-08	29
2015-09-09	27
2015-09-10	24
2015-09-11	22
2015-09-12	21
2015-09-13	18
2015-09-14	41
2015-09-15	18
2015-09-16	15
2015-09-17	22
2015-09-18	12
2015-09-19	18
2015-09-20	21
2015-09-21	18
2015-09-22	24
2015-09-23	25
2015-09-24	16
2015-09-25	18
2015-09-26	15
2015-09-27	23
2015-09-28	16
2015-09-29	21
2015-09-30	13
2015-10-01	11
2015-10-02	17
2015-10-03	38
2015-10-04	19
2015-10-05	19
2015-10-06	26
2015-10-07	24
2015-10-08	22
2015-10-09	27
2015-10-10	18
2015-10-11	19
2015-10-12	43
2015-10-13	21
2015-10-14	19
2015-10-15	22
2015-10-16	14
2015-10-17	19
2015-10-18	17
2015-10-19	14
2015-10-20	17
2015-10-21	30
2015-10-22	11
2015-10-23	18
2015-10-24	24
2015-10-25	16
2015-10-26	13
2015-10-27	17
2015-10-28	19
2015-10-29	19
2015-10-30	16
2015-10-31	12
2015-11-01	25
2015-11-02	17
2015-11-03	24
2015-11-04	13
2015-11-05	23
2015-11-06	12
2015-11-07	12
2015-11-08	16
2015-11-09	20
2015-11-10	21
2015-11-11	15
2015-11-12	21
2015-11-13	14
2015-11-14	20
2015-11-15	19
2015-11-16	16
2015-11-17	13
2015-11-18	16
2015-11-19	20
2015-11-20	20
2015-11-21	47
2015-11-22	29
2015-11-23	27
2015-11-24	23
2015-11-25	22
2015-11-26	24
2015-11-27	12
2015-11-28	20
2015-11-29	21
2015-11-30	30
2015-12-01	22
2015-12-02	14
2015-12-03	12
2015-12-04	14
2015-12-05	18
2015-12-06	16
2015-12-07	9
2015-12-08	13
2015-12-09	16
2015-12-10	21
2015-12-11	12
2015-12-12	15
2015-12-13	13
2015-12-14	16
2015-12-15	13
2015-12-16	11
2015-12-17	14
2015-12-18	12
2015-12-19	10
2015-12-20	11
2015-12-21	13
2015-12-22	22
2015-12-23	18
2015-12-24	14
2015-12-25	14
2015-12-26	17
2015-12-27	5
2015-12-28	14
2015-12-29	17
2015-12-30	11
2015-12-31	13
2016-01-01	19
2016-01-02	14
2016-01-03	15
2016-01-04	17
2016-01-05	14
2016-01-06	8
2016-01-07	13
2016-01-08	14
2016-01-09	14
2016-01-10	14
2016-01-11	11
2016-01-12	19
2016-01-13	33
2016-01-14	25
2016-01-15	14
2016-01-16	16
2016-01-17	25
2016-01-18	15
2016-01-19	16
2016-01-20	13
2016-01-21	18
2016-01-22	14
2016-01-23	12
2016-01-24	16
2016-01-25	7
2016-01-26	11
2016-01-27	10
2016-01-28	17
2016-01-29	15
2016-01-30	13
2016-01-31	6
2016-02-01	15
2016-02-02	13
2016-02-03	17
2016-02-04	8
2016-02-05	7
2016-02-06	9
2016-02-07	17
2016-02-08	13
2016-02-09	18
2016-02-10	14
2016-02-11	14
2016-02-12	18
2016-02-13	20
2016-02-14	21
2016-02-15	5
2016-02-16	9
2016-02-17	14
2016-02-18	19
2016-02-19	9
2016-02-20	18
2016-02-21	17
2016-02-22	13
2016-02-23	16
2016-02-24	20
2016-02-25	11
2016-02-26	12
2016-02-27	16
2016-02-28	13
2016-02-29	14
2016-03-01	9
2016-03-02	7
2016-03-03	15
2016-03-04	11
2016-03-05	15
2016-03-06	10
2016-03-07	14
2016-03-08	10
2016-03-09	12
2016-03-10	17
2016-03-11	15
2016-03-12	14
2016-03-13	16
2016-03-14	19
2016-03-15	17
2016-03-16	11
2016-03-17	14
2016-03-18	13
2016-03-19	10
2016-03-20	16
2016-03-21	9
2016-03-22	9
2016-03-23	7
2016-03-24	9
2016-03-25	16
2016-03-26	16
2016-03-27	15
2016-03-28	14
2016-03-29	19
2016-03-30	16
2016-03-31	16
2016-04-01	11
2016-04-02	15
2016-04-03	12
2016-04-04	13
2016-04-05	12
2016-04-06	21
2016-04-07	9
2016-04-08	3
2016-04-09	22
2016-04-10	13
2016-04-11	19
2016-04-12	16
2016-04-13	8
2016-04-14	22
2016-04-15	16
2016-04-16	19
2016-04-17	15
2016-04-18	18
2016-04-19	9
2016-04-20	13
2016-04-21	17
2016-04-22	13
2016-04-23	15
2016-04-24	6
2016-04-25	11
2016-04-26	17
2016-04-27	12
2016-04-28	13
2016-04-29	17
2016-04-30	7
2016-05-01	13
2016-05-02	14
2016-05-03	24
2016-05-04	17
2016-05-05	18
2016-05-06	18
2016-05-07	18
2016-05-08	14
2016-05-09	12
2016-05-10	14
2016-05-11	15
2016-05-12	21
2016-05-13	14
2016-05-14	4
2016-05-15	17
2016-05-16	16
2016-05-17	15
2016-05-18	17
2016-05-19	14
2016-05-20	13
2016-05-21	12
2016-05-22	13
2016-05-23	14
2016-05-24	19
2016-05-25	11
2016-05-26	15
2016-05-27	12
2016-05-28	16
2016-05-29	14
2016-05-30	20
2016-05-31	10
