date	freq
2015-06-01	28
2015-06-02	17
2015-06-03	4
2015-06-04	4
2015-06-05	9
2015-06-06	11
2015-06-07	12
2015-06-08	12
2015-06-09	3
2015-06-10	13
2015-06-11	8
2015-06-12	6
2015-06-13	13
2015-06-14	15
2015-06-15	21
2015-06-16	9
2015-06-17	4
2015-06-18	6
2015-06-19	7
2015-06-20	13
2015-06-21	9
2015-06-22	15
2015-06-23	17
2015-06-24	21
2015-06-25	12
2015-06-26	6
2015-06-27	6
2015-06-28	8
2015-06-29	15
2015-06-30	16
2015-07-01	19
2015-07-02	20
2015-07-03	11
2015-07-04	12
2015-07-05	9
2015-07-06	9
2015-07-07	10
2015-07-08	10
2015-07-09	9
2015-07-10	3
2015-07-11	8
2015-07-12	21
2015-07-13	16
2015-07-14	20
2015-07-15	11
2015-07-16	15
2015-07-17	17
2015-07-18	6
2015-07-19	10
2015-07-20	22
2015-07-21	7
2015-07-22	6
2015-07-23	20
2015-07-24	5
2015-07-25	13
2015-07-26	13
2015-07-27	9
2015-07-28	2
2015-07-29	19
2015-07-30	22
2015-07-31	13
2015-08-01	15
2015-08-02	4
2015-08-03	11
2015-08-04	10
2015-08-05	11
2015-08-06	13
2015-08-07	17
2015-08-08	7
2015-08-09	11
2015-08-10	7
2015-08-11	1
2015-08-12	0
2015-08-13	16
2015-08-14	15
2015-08-15	10
2015-08-16	9
2015-08-17	8
2015-08-18	16
2015-08-19	7
2015-08-20	9
2015-08-21	14
2015-08-22	8
2015-08-23	9
2015-08-24	6
2015-08-25	5
2015-08-26	8
2015-08-27	11
2015-08-28	7
2015-08-29	12
2015-08-30	14
2015-08-31	7
2015-09-01	5
2015-09-02	3
2015-09-03	6
2015-09-04	2
2015-09-05	12
2015-09-06	15
2015-09-07	5
2015-09-08	3
2015-09-09	5
2015-09-10	11
2015-09-11	7
2015-09-12	5
2015-09-13	14
2015-09-14	4
2015-09-15	2
2015-09-16	3
2015-09-17	2
2015-09-18	2
2015-09-19	2
2015-09-20	3
2015-09-21	1
2015-09-22	10
2015-09-23	7
2015-09-24	2
2015-09-25	3
2015-09-26	1
2015-09-27	2
2015-09-28	4
2015-09-29	4
2015-09-30	0
2015-10-01	7
2015-10-02	1
2015-10-03	1
2015-10-04	5
2015-10-05	3
2015-10-06	3
2015-10-07	0
2015-10-08	5
2015-10-09	0
2015-10-10	1
2015-10-11	5
2015-10-12	0
2015-10-13	1
2015-10-14	4
2015-10-15	1
2015-10-16	0
2015-10-17	2
2015-10-18	1
2015-10-19	5
2015-10-20	5
2015-10-21	6
2015-10-22	3
2015-10-23	3
2015-10-24	1
2015-10-25	4
2015-10-26	2
2015-10-27	1
2015-10-28	1
2015-10-29	2
2015-10-30	2
2015-10-31	1
2015-11-01	8
2015-11-02	0
2015-11-03	1
2015-11-04	1
2015-11-05	1
2015-11-06	2
2015-11-07	3
2015-11-08	2
2015-11-09	1
2015-11-10	1
2015-11-11	2
2015-11-12	3
2015-11-13	1
2015-11-14	2
2015-11-15	5
2015-11-16	2
2015-11-17	0
2015-11-18	4
2015-11-19	2
2015-11-20	4
2015-11-21	2
2015-11-22	4
2015-11-23	2
2015-11-24	3
2015-11-25	1
2015-11-26	1
2015-11-27	1
2015-11-28	3
2015-11-29	1
2015-11-30	5
2015-12-01	0
2015-12-02	3
2015-12-03	1
2015-12-04	2
2015-12-05	3
2015-12-06	3
2015-12-07	1
2015-12-08	1
2015-12-09	0
2015-12-10	2
2015-12-11	1
2015-12-12	1
2015-12-13	4
2015-12-14	2
2015-12-15	9
2015-12-16	7
2015-12-17	3
2015-12-18	0
2015-12-19	3
2015-12-20	3
2015-12-21	0
2015-12-22	3
2015-12-23	1
2015-12-24	2
2015-12-25	2
2015-12-26	0
2015-12-27	3
2015-12-28	3
2015-12-29	5
2015-12-30	1
2015-12-31	3
2016-01-01	5
2016-01-02	0
2016-01-03	1
2016-01-04	0
2016-01-05	11
2016-01-06	9
2016-01-07	1
2016-01-08	2
2016-01-09	2
2016-01-10	12
2016-01-11	3
2016-01-12	3
2016-01-13	3
2016-01-14	1
2016-01-15	4
2016-01-16	1
2016-01-17	2
2016-01-18	2
2016-01-19	0
2016-01-20	7
2016-01-21	2
2016-01-22	5
2016-01-23	5
2016-01-24	2
2016-01-25	2
2016-01-26	0
2016-01-27	0
2016-01-28	1
2016-01-29	4
2016-01-30	2
2016-01-31	2
2016-02-01	2
2016-02-02	1
2016-02-03	1
2016-02-04	0
2016-02-05	2
2016-02-06	3
2016-02-07	0
2016-02-08	3
2016-02-09	0
2016-02-10	3
2016-02-11	3
2016-02-12	2
2016-02-13	1
2016-02-14	1
2016-02-15	1
2016-02-16	1
2016-02-17	1
2016-02-18	1
2016-02-19	3
2016-02-20	1
2016-02-21	5
2016-02-22	1
2016-02-23	5
2016-02-24	2
2016-02-25	2
2016-02-26	1
2016-02-27	2
2016-02-28	1
2016-02-29	3
2016-03-01	4
2016-03-02	4
2016-03-03	5
2016-03-04	1
2016-03-05	3
2016-03-06	4
2016-03-07	8
2016-03-08	2
2016-03-09	0
2016-03-10	1
2016-03-11	0
2016-03-12	1
2016-03-13	8
2016-03-14	0
2016-03-15	5
2016-03-16	2
2016-03-17	2
2016-03-18	2
2016-03-19	4
2016-03-20	2
2016-03-21	6
2016-03-22	1
2016-03-23	4
2016-03-24	3
2016-03-25	8
2016-03-26	3
2016-03-27	3
2016-03-28	0
2016-03-29	5
2016-03-30	6
2016-03-31	6
2016-04-01	10
2016-04-02	11
2016-04-03	3
2016-04-04	7
2016-04-05	4
2016-04-06	2
2016-04-07	3
2016-04-08	4
2016-04-09	2
2016-04-10	6
2016-04-11	1
2016-04-12	2
2016-04-13	7
2016-04-14	9
2016-04-15	2
2016-04-16	0
2016-04-17	3
2016-04-18	0
2016-04-19	2
2016-04-20	1
2016-04-21	3
2016-04-22	2
2016-04-23	1
2016-04-24	4
2016-04-25	3
2016-04-26	4
2016-04-27	4
2016-04-28	2
2016-04-29	5
2016-04-30	9
2016-05-01	2
2016-05-02	1
2016-05-03	5
2016-05-04	5
2016-05-05	6
2016-05-06	3
2016-05-07	8
2016-05-08	4
2016-05-09	1
2016-05-10	2
2016-05-11	9
2016-05-12	4
2016-05-13	3
2016-05-14	5
2016-05-15	5
2016-05-16	6
2016-05-17	6
2016-05-18	2
2016-05-19	2
2016-05-20	4
2016-05-21	11
2016-05-22	3
2016-05-23	6
2016-05-24	11
2016-05-25	13
2016-05-26	2
2016-05-27	9
2016-05-28	5
2016-05-29	7
2016-05-30	8
2016-05-31	3
