date	freq
2015-06-01	5
2015-06-02	8
2015-06-03	8
2015-06-04	6
2015-06-05	5
2015-06-06	7
2015-06-07	6
2015-06-08	14
2015-06-09	8
2015-06-10	7
2015-06-11	5
2015-06-12	8
2015-06-13	4
2015-06-14	5
2015-06-15	5
2015-06-16	5
2015-06-17	13
2015-06-18	14
2015-06-19	6
2015-06-20	7
2015-06-21	2
2015-06-22	20
2015-06-23	11
2015-06-24	7
2015-06-25	10
2015-06-26	13
2015-06-27	12
2015-06-28	12
2015-06-29	16
2015-06-30	8
2015-07-01	6
2015-07-02	19
2015-07-03	13
2015-07-04	8
2015-07-05	7
2015-07-06	6
2015-07-07	5
2015-07-08	8
2015-07-09	11
2015-07-10	7
2015-07-11	10
2015-07-12	7
2015-07-13	4
2015-07-14	5
2015-07-15	9
2015-07-16	5
2015-07-17	4
2015-07-18	8
2015-07-19	5
2015-07-20	12
2015-07-21	5
2015-07-22	7
2015-07-23	7
2015-07-24	6
2015-07-25	9
2015-07-26	8
2015-07-27	8
2015-07-28	6
2015-07-29	6
2015-07-30	3
2015-07-31	10
2015-08-01	6
2015-08-02	12
2015-08-03	11
2015-08-04	6
2015-08-05	8
2015-08-06	2
2015-08-07	2
2015-08-08	8
2015-08-09	5
2015-08-10	9
2015-08-11	5
2015-08-12	4
2015-08-13	3
2015-08-14	8
2015-08-15	10
2015-08-16	7
2015-08-17	7
2015-08-18	5
2015-08-19	9
2015-08-20	13
2015-08-21	12
2015-08-22	6
2015-08-23	5
2015-08-24	7
2015-08-25	7
2015-08-26	7
2015-08-27	7
2015-08-28	7
2015-08-29	8
2015-08-30	17
2015-08-31	6
2015-09-01	16
2015-09-02	15
2015-09-03	8
2015-09-04	7
2015-09-05	14
2015-09-06	6
2015-09-07	11
2015-09-08	7
2015-09-09	7
2015-09-10	7
2015-09-11	8
2015-09-12	6
2015-09-13	8
2015-09-14	5
2015-09-15	5
2015-09-16	2
2015-09-17	4
2015-09-18	3
2015-09-19	8
2015-09-20	8
2015-09-21	6
2015-09-22	6
2015-09-23	10
2015-09-24	4
2015-09-25	7
2015-09-26	11
2015-09-27	7
2015-09-28	8
2015-09-29	3
2015-09-30	10
2015-10-01	2
2015-10-02	5
2015-10-03	4
2015-10-04	9
2015-10-05	7
2015-10-06	9
2015-10-07	7
2015-10-08	14
2015-10-09	7
2015-10-10	5
2015-10-11	5
2015-10-12	3
2015-10-13	10
2015-10-14	9
2015-10-15	11
2015-10-16	2
2015-10-17	5
2015-10-18	2
2015-10-19	7
2015-10-20	5
2015-10-21	10
2015-10-22	6
2015-10-23	2
2015-10-24	4
2015-10-25	8
2015-10-26	7
2015-10-27	3
2015-10-28	6
2015-10-29	5
2015-10-30	3
2015-10-31	5
2015-11-01	6
2015-11-02	14
2015-11-03	11
2015-11-04	9
2015-11-05	8
2015-11-06	8
2015-11-07	5
2015-11-08	10
2015-11-09	4
2015-11-10	15
2015-11-11	3
2015-11-12	10
2015-11-13	13
2015-11-14	10
2015-11-15	5
2015-11-16	12
2015-11-17	21
2015-11-18	8
2015-11-19	4
