date	freq
2015-06-01	330
2015-06-02	337
2015-06-03	368
2015-06-04	559
2015-06-05	344
2015-06-06	388
2015-06-07	375
2015-06-08	171
2015-06-09	399
2015-06-10	435
2015-06-11	427
2015-06-12	359
2015-06-13	339
2015-06-14	514
2015-06-15	375
2015-06-16	371
2015-06-17	349
2015-06-18	387
2015-06-19	330
2015-06-20	449
2015-06-21	382
2015-06-22	365
2015-06-23	476
2015-06-24	365
2015-06-25	341
2015-06-26	356
2015-06-27	364
2015-06-28	358
2015-06-29	333
2015-06-30	308
2015-07-01	313
2015-07-02	331
2015-07-03	320
2015-07-04	295
2015-07-05	321
2015-07-06	309
2015-07-07	349
2015-07-08	331
2015-07-09	313
2015-07-10	309
2015-07-11	409
2015-07-12	312
2015-07-13	316
2015-07-14	1004
2015-07-15	493
2015-07-16	372
2015-07-17	325
2015-07-18	297
2015-07-19	340
2015-07-20	315
2015-07-21	360
2015-07-22	318
2015-07-23	495
2015-07-24	537
2015-07-25	561
2015-07-26	361
2015-07-27	348
2015-07-28	336
2015-07-29	360
2015-07-30	351
2015-07-31	284
2015-08-01	315
2015-08-02	309
2015-08-03	290
2015-08-04	348
2015-08-05	369
2015-08-06	360
2015-08-07	317
2015-08-08	333
2015-08-09	431
2015-08-10	332
2015-08-11	422
2015-08-12	292
2015-08-13	359
2015-08-14	358
2015-08-15	302
2015-08-16	326
2015-08-17	291
2015-08-18	387
2015-08-19	422
2015-08-20	412
2015-08-21	390
2015-08-22	358
2015-08-23	355
2015-08-24	381
2015-08-25	347
2015-08-26	367
2015-08-27	358
2015-08-28	378
2015-08-29	333
2015-08-30	367
2015-08-31	1181
2015-09-01	434
2015-09-02	395
2015-09-03	420
2015-09-04	356
2015-09-05	348
2015-09-06	379
2015-09-07	386
2015-09-08	394
2015-09-09	472
2015-09-10	363
2015-09-11	356
2015-09-12	385
2015-09-13	385
2015-09-14	370
2015-09-15	368
2015-09-16	400
2015-09-17	344
2015-09-18	315
2015-09-19	379
2015-09-20	301
2015-09-21	355
2015-09-22	369
2015-09-23	337
2015-09-24	379
2015-09-25	325
2015-09-26	363
2015-09-27	391
2015-09-28	378
2015-09-29	476
2015-09-30	373
2015-10-01	382
2015-10-02	325
2015-10-03	370
2015-10-04	391
2015-10-05	352
2015-10-06	362
2015-10-07	348
2015-10-08	1491
2015-10-09	766
2015-10-10	359
2015-10-11	406
2015-10-12	353
2015-10-13	303
2015-10-14	367
2015-10-15	348
2015-10-16	307
2015-10-17	566
2015-10-18	442
2015-10-19	442
2015-10-20	378
2015-10-21	348
2015-10-22	344
2015-10-23	342
2015-10-24	363
2015-10-25	358
2015-10-26	354
2015-10-27	351
2015-10-28	328
2015-10-29	299
2015-10-30	323
2015-10-31	313
2015-11-01	332
2015-11-02	302
2015-11-03	387
