date	freq
2015-06-01	8
2015-06-02	9
2015-06-03	8
2015-06-04	19
2015-06-05	21
2015-06-06	5
2015-06-07	9
2015-06-08	5
2015-06-09	6
2015-06-10	3
2015-06-11	5
2015-06-12	8
2015-06-13	11
2015-06-14	11
2015-06-15	13
2015-06-16	6
2015-06-17	8
2015-06-18	12
2015-06-19	12
2015-06-20	25
2015-06-21	7
2015-06-22	11
2015-06-23	7
2015-06-24	8
2015-06-25	10
2015-06-26	12
2015-06-27	7
2015-06-28	8
2015-06-29	10
2015-06-30	10
2015-07-01	9
2015-07-02	11
2015-07-03	6
2015-07-04	4
2015-07-05	11
2015-07-06	10
2015-07-07	7
2015-07-08	10
2015-07-09	4
2015-07-10	8
2015-07-11	15
2015-07-12	4
2015-07-13	9
2015-07-14	8
2015-07-15	7
2015-07-16	3
2015-07-17	12
2015-07-18	6
2015-07-19	5
2015-07-20	8
2015-07-21	9
2015-07-22	8
2015-07-23	24
2015-07-24	9
2015-07-25	11
2015-07-26	11
2015-07-27	12
2015-07-28	5
2015-07-29	12
2015-07-30	6
2015-07-31	15
2015-08-01	2
2015-08-02	6
2015-08-03	19
2015-08-04	11
2015-08-05	9
2015-08-06	11
2015-08-07	13
2015-08-08	7
2015-08-09	15
2015-08-10	8
2015-08-11	8
2015-08-12	6
2015-08-13	4
2015-08-14	3
2015-08-15	9
2015-08-16	13
2015-08-17	2
2015-08-18	14
2015-08-19	8
2015-08-20	9
2015-08-21	12
2015-08-22	9
2015-08-23	3
2015-08-24	14
2015-08-25	10
2015-08-26	10
2015-08-27	5
2015-08-28	12
2015-08-29	9
2015-08-30	8
2015-08-31	14
2015-09-01	5
2015-09-02	15
2015-09-03	8
2015-09-04	5
2015-09-05	2
2015-09-06	17
2015-09-07	6
2015-09-08	16
2015-09-09	15
2015-09-10	14
2015-09-11	8
2015-09-12	11
2015-09-13	4
2015-09-14	13
2015-09-15	7
2015-09-16	9
2015-09-17	9
2015-09-18	10
2015-09-19	6
2015-09-20	6
2015-09-21	5
2015-09-22	10
2015-09-23	12
2015-09-24	7
2015-09-25	7
2015-09-26	6
2015-09-27	4
2015-09-28	10
2015-09-29	16
2015-09-30	7
2015-10-01	1
2015-10-02	6
2015-10-03	13
2015-10-04	8
2015-10-05	11
2015-10-06	11
2015-10-07	8
2015-10-08	8
2015-10-09	9
2015-10-10	6
2015-10-11	6
2015-10-12	15
2015-10-13	11
2015-10-14	8
2015-10-15	5
2015-10-16	5
2015-10-17	8
2015-10-18	6
2015-10-19	7
2015-10-20	6
2015-10-21	6
2015-10-22	8
2015-10-23	7
2015-10-24	14
2015-10-25	7
2015-10-26	7
2015-10-27	6
2015-10-28	6
2015-10-29	8
2015-10-30	10
2015-10-31	5
2015-11-01	3
2015-11-02	12
2015-11-03	20
2015-11-04	13
2015-11-05	9
2015-11-06	10
2015-11-07	6
2015-11-08	7
2015-11-09	14
2015-11-10	28
2015-11-11	16
2015-11-12	16
2015-11-13	12
2015-11-14	11
2015-11-15	14
2015-11-16	19
2015-11-17	17
2015-11-18	11
2015-11-19	2
2015-11-20	9
2015-11-21	11
2015-11-22	9
2015-11-23	13
2015-11-24	7
2015-11-25	8
2015-11-26	11
2015-11-27	12
2015-11-28	7
2015-11-29	10
2015-11-30	7
2015-12-01	9
2015-12-02	10
2015-12-03	12
2015-12-04	6
2015-12-05	11
2015-12-06	10
2015-12-07	7
2015-12-08	7
2015-12-09	5
2015-12-10	11
2015-12-11	12
2015-12-12	4
2015-12-13	10
2015-12-14	17
2015-12-15	9
2015-12-16	14
2015-12-17	13
2015-12-18	7
2015-12-19	13
2015-12-20	6
2015-12-21	8
2015-12-22	11
2015-12-23	7
2015-12-24	7
2015-12-25	7
2015-12-26	5
2015-12-27	3
2015-12-28	5
2015-12-29	4
2015-12-30	4
2015-12-31	7
2016-01-01	9
2016-01-02	5
2016-01-03	9
2016-01-04	9
2016-01-05	11
2016-01-06	8
2016-01-07	12
2016-01-08	6
2016-01-09	14
2016-01-10	9
2016-01-11	9
2016-01-12	11
2016-01-13	9
2016-01-14	6
2016-01-15	8
2016-01-16	9
2016-01-17	9
2016-01-18	3
2016-01-19	7
2016-01-20	12
2016-01-21	12
2016-01-22	9
2016-01-23	8
2016-01-24	11
2016-01-25	12
2016-01-26	8
2016-01-27	12
2016-01-28	14
2016-01-29	10
2016-01-30	9
2016-01-31	6
2016-02-01	9
2016-02-02	10
2016-02-03	6
2016-02-04	13
2016-02-05	6
2016-02-06	4
2016-02-07	10
2016-02-08	7
2016-02-09	13
2016-02-10	7
2016-02-11	4
2016-02-12	16
2016-02-13	15
2016-02-14	11
2016-02-15	10
2016-02-16	9
2016-02-17	11
2016-02-18	13
2016-02-19	11
2016-02-20	15
2016-02-21	18
2016-02-22	8
2016-02-23	13
2016-02-24	1
2016-02-25	10
2016-02-26	11
2016-02-27	13
2016-02-28	10
2016-02-29	7
2016-03-01	13
2016-03-02	14
2016-03-03	20
2016-03-04	7
2016-03-05	7
2016-03-06	8
2016-03-07	16
2016-03-08	8
2016-03-09	11
2016-03-10	17
2016-03-11	14
2016-03-12	6
