date	freq
2015-06-01	754
2015-06-02	699
2015-06-03	711
2015-06-04	704
2015-06-05	626
2015-06-06	537
2015-06-07	605
2015-06-08	640
2015-06-09	616
2015-06-10	618
2015-06-11	641
2015-06-12	542
2015-06-13	558
2015-06-14	575
2015-06-15	597
2015-06-16	552
2015-06-17	599
2015-06-18	591
2015-06-19	757
2015-06-20	661
2015-06-21	607
2015-06-22	673
2015-06-23	740
2015-06-24	878
2015-06-25	650
2015-06-26	610
2015-06-27	755
2015-06-28	576
2015-06-29	822
2015-06-30	566
2015-07-01	560
2015-07-02	652
2015-07-03	551
2015-07-04	621
2015-07-05	635
2015-07-06	577
2015-07-07	548
2015-07-08	588
2015-07-09	524
2015-07-10	517
2015-07-11	599
2015-07-12	553
2015-07-13	574
2015-07-14	595
2015-07-15	542
2015-07-16	572
2015-07-17	494
2015-07-18	573
2015-07-19	614
2015-07-20	611
2015-07-21	718
2015-07-22	624
2015-07-23	569
2015-07-24	534
2015-07-25	502
2015-07-26	487
2015-07-27	584
2015-07-28	630
2015-07-29	569
2015-07-30	654
2015-07-31	550
2015-08-01	615
2015-08-02	647
2015-08-03	1478
2015-08-04	698
2015-08-05	753
2015-08-06	510
2015-08-07	564
2015-08-08	582
2015-08-09	524
2015-08-10	542
2015-08-11	500
2015-08-12	535
2015-08-13	609
2015-08-14	453
2015-08-15	485
2015-08-16	476
2015-08-17	509
2015-08-18	531
2015-08-19	549
2015-08-20	626
2015-08-21	564
2015-08-22	506
2015-08-23	547
2015-08-24	594
2015-08-25	575
2015-08-26	576
2015-08-27	620
2015-08-28	558
2015-08-29	498
2015-08-30	585
2015-08-31	651
2015-09-01	628
2015-09-02	617
2015-09-03	621
2015-09-04	654
2015-09-05	634
2015-09-06	659
2015-09-07	637
2015-09-08	603
2015-09-09	688
2015-09-10	600
2015-09-11	507
2015-09-12	567
2015-09-13	504
2015-09-14	602
2015-09-15	705
2015-09-16	633
2015-09-17	737
2015-09-18	667
2015-09-19	548
2015-09-20	566
2015-09-21	650
2015-09-22	603
2015-09-23	567
2015-09-24	645
2015-09-25	620
2015-09-26	780
2015-09-27	705
2015-09-28	993
2015-09-29	636
2015-09-30	618
2015-10-01	638
2015-10-02	651
2015-10-03	594
2015-10-04	601
2015-10-05	636
2015-10-06	616
2015-10-07	730
2015-10-08	615
2015-10-09	628
2015-10-10	583
2015-10-11	587
2015-10-12	620
2015-10-13	638
2015-10-14	607
2015-10-15	613
2015-10-16	603
2015-10-17	610
2015-10-18	742
2015-10-19	624
2015-10-20	643
2015-10-21	615
2015-10-22	807
2015-10-23	575
2015-10-24	602
2015-10-25	734
2015-10-26	647
2015-10-27	683
2015-10-28	680
2015-10-29	823
2015-10-30	635
2015-10-31	601
2015-11-01	660
2015-11-02	647
2015-11-03	752
2015-11-04	706
2015-11-05	638
2015-11-06	647
2015-11-07	715
2015-11-08	676
2015-11-09	877
2015-11-10	625
2015-11-11	634
2015-11-12	689
2015-11-13	610
2015-11-14	553
2015-11-15	602
2015-11-16	674
2015-11-17	656
2015-11-18	763
2015-11-19	660
2015-11-20	642
2015-11-21	602
2015-11-22	619
2015-11-23	697
2015-11-24	747
2015-11-25	652
2015-11-26	637
2015-11-27	645
2015-11-28	598
2015-11-29	629
2015-11-30	690
2015-12-01	661
2015-12-02	657
2015-12-03	665
2015-12-04	629
2015-12-05	624
2015-12-06	617
2015-12-07	653
2015-12-08	652
2015-12-09	688
2015-12-10	700
2015-12-11	653
