date	freq
2015-06-01	536
2015-06-02	551
2015-06-03	2494
2015-06-04	734
2015-06-05	583
2015-06-06	520
2015-06-07	537
2015-06-08	315
2015-06-09	249
2015-06-10	211
2015-06-11	558
2015-06-12	531
2015-06-13	649
2015-06-14	518
2015-06-15	496
2015-06-16	550
2015-06-17	494
2015-06-18	557
2015-06-19	530
2015-06-20	541
2015-06-21	486
2015-06-22	504
2015-06-23	530
2015-06-24	628
2015-06-25	484
2015-06-26	569
2015-06-27	480
2015-06-28	526
2015-06-29	509
2015-06-30	449
2015-07-01	457
2015-07-02	506
2015-07-03	469
2015-07-04	524
2015-07-05	567
2015-07-06	468
2015-07-07	493
2015-07-08	536
2015-07-09	525
2015-07-10	567
2015-07-11	619
2015-07-12	525
2015-07-13	617
2015-07-14	551
2015-07-15	470
2015-07-16	539
2015-07-17	510
2015-07-18	544
2015-07-19	687
2015-07-20	575
2015-07-21	846
2015-07-22	658
2015-07-23	491
2015-07-24	511
2015-07-25	481
2015-07-26	556
2015-07-27	584
2015-07-28	486
2015-07-29	525
2015-07-30	629
2015-07-31	605
2015-08-01	507
2015-08-02	652
2015-08-03	4279
2015-08-04	1234
2015-08-05	696
2015-08-06	641
2015-08-07	603
2015-08-08	669
2015-08-09	703
2015-08-10	617
2015-08-11	581
2015-08-12	615
2015-08-13	554
2015-08-14	564
2015-08-15	591
2015-08-16	657
2015-08-17	550
2015-08-18	624
2015-08-19	614
2015-08-20	566
2015-08-21	702
2015-08-22	617
2015-08-23	593
2015-08-24	607
2015-08-25	626
2015-08-26	696
2015-08-27	658
2015-08-28	609
2015-08-29	536
2015-08-30	629
2015-08-31	608
2015-09-01	565
2015-09-02	592
2015-09-03	593
2015-09-04	584
2015-09-05	664
2015-09-06	585
2015-09-07	674
2015-09-08	622
2015-09-09	621
2015-09-10	599
2015-09-11	610
2015-09-12	572
2015-09-13	624
2015-09-14	591
2015-09-15	603
2015-09-16	546
2015-09-17	646
2015-09-18	700
2015-09-19	526
2015-09-20	551
2015-09-21	596
2015-09-22	589
2015-09-23	637
2015-09-24	589
2015-09-25	611
2015-09-26	662
2015-09-27	695
2015-09-28	634
2015-09-29	702
2015-09-30	650
2015-10-01	636
2015-10-02	527
2015-10-03	615
2015-10-04	654
2015-10-05	562
2015-10-06	572
2015-10-07	590
2015-10-08	582
2015-10-09	581
2015-10-10	634
2015-10-11	606
2015-10-12	667
2015-10-13	745
2015-10-14	608
2015-10-15	575
2015-10-16	616
2015-10-17	567
2015-10-18	592
2015-10-19	536
2015-10-20	534
2015-10-21	521
2015-10-22	510
2015-10-23	565
2015-10-24	664
2015-10-25	594
2015-10-26	601
2015-10-27	592
2015-10-28	582
2015-10-29	739
2015-10-30	697
2015-10-31	647
2015-11-01	581
2015-11-02	625
2015-11-03	525
2015-11-04	627
2015-11-05	562
2015-11-06	510
2015-11-07	523
2015-11-08	650
2015-11-09	572
2015-11-10	559
2015-11-11	490
2015-11-12	461
2015-11-13	466
2015-11-14	459
2015-11-15	459
2015-11-16	434
2015-11-17	433
2015-11-18	433
2015-11-19	470
2015-11-20	493
2015-11-21	471
2015-11-22	538
2015-11-23	484
2015-11-24	661
2015-11-25	530
2015-11-26	511
2015-11-27	555
2015-11-28	764
2015-11-29	666
2015-11-30	648
2015-12-01	644
2015-12-02	583
2015-12-03	541
2015-12-04	493
2015-12-05	634
2015-12-06	837
2015-12-07	620
2015-12-08	682
2015-12-09	498
2015-12-10	585
2015-12-11	597
2015-12-12	550
2015-12-13	489
2015-12-14	515
2015-12-15	457
2015-12-16	482
2015-12-17	486
2015-12-18	485
2015-12-19	472
2015-12-20	565
2015-12-21	488
2015-12-22	440
2015-12-23	535
2015-12-24	506
2015-12-25	419
2015-12-26	483
2015-12-27	453
2015-12-28	459
2015-12-29	492
2015-12-30	447
2015-12-31	436
2016-01-01	398
2016-01-02	376
2016-01-03	475
2016-01-04	449
2016-01-05	509
2016-01-06	438
2016-01-07	489
2016-01-08	496
2016-01-09	515
2016-01-10	418
2016-01-11	452
2016-01-12	450
2016-01-13	606
2016-01-14	469
2016-01-15	489
2016-01-16	599
2016-01-17	495
2016-01-18	464
2016-01-19	400
2016-01-20	417
2016-01-21	535
2016-01-22	496
2016-01-23	480
2016-01-24	583
2016-01-25	528
2016-01-26	527
2016-01-27	486
2016-01-28	581
2016-01-29	1531
2016-01-30	632
2016-01-31	545
2016-02-01	507
2016-02-02	545
2016-02-03	531
2016-02-04	484
2016-02-05	491
2016-02-06	418
2016-02-07	516
2016-02-08	484
2016-02-09	543
2016-02-10	621
2016-02-11	616
2016-02-12	497
2016-02-13	436
2016-02-14	592
2016-02-15	598
2016-02-16	1296
2016-02-17	771
2016-02-18	911
2016-02-19	669
2016-02-20	566
2016-02-21	501
2016-02-22	561
2016-02-23	2169
2016-02-24	1196
2016-02-25	1045
2016-02-26	782
2016-02-27	749
2016-02-28	869
2016-02-29	605
2016-03-01	646
2016-03-02	707
2016-03-03	1010
2016-03-04	749
2016-03-05	745
2016-03-06	657
2016-03-07	636
2016-03-08	850
2016-03-09	632
2016-03-10	569
2016-03-11	542
2016-03-12	564
2016-03-13	585
2016-03-14	545
2016-03-15	605
2016-03-16	573
2016-03-17	873
2016-03-18	660
2016-03-19	698
2016-03-20	531
2016-03-21	551
2016-03-22	685
2016-03-23	612
2016-03-24	872
2016-03-25	582
2016-03-26	559
2016-03-27	486
2016-03-28	550
2016-03-29	517
2016-03-30	569
2016-03-31	487
2016-04-01	525
2016-04-02	483
2016-04-03	490
2016-04-04	475
2016-04-05	483
2016-04-06	559
2016-04-07	681
2016-04-08	430
2016-04-09	498
2016-04-10	567
2016-04-11	424
2016-04-12	452
2016-04-13	462
2016-04-14	405
2016-04-15	368
2016-04-16	428
2016-04-17	451
2016-04-18	407
2016-04-19	454
2016-04-20	450
2016-04-21	505
2016-04-22	428
2016-04-23	513
2016-04-24	656
2016-04-25	535
2016-04-26	495
2016-04-27	591
2016-04-28	445
2016-04-29	527
2016-04-30	566
2016-05-01	555
2016-05-02	545
2016-05-03	533
2016-05-04	619
2016-05-05	563
2016-05-06	609
2016-05-07	608
2016-05-08	568
2016-05-09	839
2016-05-10	576
2016-05-11	1082
2016-05-12	698
2016-05-13	659
2016-05-14	673
2016-05-15	620
2016-05-16	510
2016-05-17	519
2016-05-18	505
2016-05-19	517
2016-05-20	742
2016-05-21	520
2016-05-22	504
2016-05-23	546
2016-05-24	503
2016-05-25	795
2016-05-26	446
2016-05-27	474
2016-05-28	501
2016-05-29	554
2016-05-30	496
2016-05-31	489
