date	freq
2015-06-01	61
2015-06-02	58
2015-06-03	51
2015-06-04	54
2015-06-05	65
2015-06-06	42
2015-06-07	37
2015-06-08	46
2015-06-09	58
2015-06-10	57
2015-06-11	58
2015-06-12	59
2015-06-13	47
2015-06-14	42
2015-06-15	58
2015-06-16	70
2015-06-17	53
2015-06-18	43
2015-06-19	52
2015-06-20	60
2015-06-21	50
2015-06-22	47
2015-06-23	43
2015-06-24	63
2015-06-25	49
2015-06-26	35
2015-06-27	56
2015-06-28	36
2015-06-29	43
2015-06-30	41
2015-07-01	43
2015-07-02	50
2015-07-03	38
2015-07-04	33
2015-07-05	24
2015-07-06	67
2015-07-07	42
2015-07-08	37
2015-07-09	49
2015-07-10	45
2015-07-11	29
2015-07-12	29
2015-07-13	43
2015-07-14	31
2015-07-15	27
2015-07-16	33
2015-07-17	36
2015-07-18	21
2015-07-19	31
2015-07-20	31
2015-07-21	43
2015-07-22	37
2015-07-23	36
2015-07-24	27
2015-07-25	23
2015-07-26	56
2015-07-27	87
2015-07-28	63
2015-07-29	35
2015-07-30	50
2015-07-31	51
2015-08-01	41
2015-08-02	32
2015-08-03	32
2015-08-04	32
2015-08-05	38
2015-08-06	31
2015-08-07	24
2015-08-08	25
2015-08-09	18
2015-08-10	19
2015-08-11	26
2015-08-12	26
2015-08-13	20
2015-08-14	23
2015-08-15	26
2015-08-16	24
2015-08-17	35
2015-08-18	31
2015-08-19	40
2015-08-20	36
2015-08-21	29
2015-08-22	27
2015-08-23	21
2015-08-24	22
2015-08-25	33
2015-08-26	43
2015-08-27	49
2015-08-28	44
2015-08-29	33
2015-08-30	32
2015-08-31	40
2015-09-01	41
2015-09-02	42
2015-09-03	51
2015-09-04	34
2015-09-05	31
2015-09-06	32
2015-09-07	40
2015-09-08	39
2015-09-09	48
2015-09-10	48
2015-09-11	43
2015-09-12	25
2015-09-13	31
2015-09-14	29
2015-09-15	38
2015-09-16	38
2015-09-17	41
2015-09-18	36
2015-09-19	28
2015-09-20	33
2015-09-21	35
2015-09-22	30
2015-09-23	39
2015-09-24	51
2015-09-25	53
2015-09-26	32
2015-09-27	36
2015-09-28	53
2015-09-29	43
2015-09-30	50
2015-10-01	46
2015-10-02	52
2015-10-03	46
2015-10-04	35
2015-10-05	51
2015-10-06	49
2015-10-07	44
2015-10-08	45
2015-10-09	43
2015-10-10	34
2015-10-11	49
2015-10-12	37
2015-10-13	38
2015-10-14	55
2015-10-15	43
2015-10-16	50
2015-10-17	40
2015-10-18	37
2015-10-19	53
2015-10-20	64
2015-10-21	64
2015-10-22	55
2015-10-23	53
2015-10-24	61
2015-10-25	43
2015-10-26	64
2015-10-27	75
2015-10-28	63
2015-10-29	71
2015-10-30	46
2015-10-31	50
2015-11-01	40
2015-11-02	44
2015-11-03	50
2015-11-04	64
2015-11-05	67
2015-11-06	49
2015-11-07	63
2015-11-08	51
2015-11-09	48
2015-11-10	64
2015-11-11	74
2015-11-12	67
2015-11-13	48
2015-11-14	68
2015-11-15	42
2015-11-16	59
2015-11-17	52
2015-11-18	60
2015-11-19	50
2015-11-20	75
2015-11-21	52
2015-11-22	51
2015-11-23	50
2015-11-24	76
2015-11-25	56
2015-11-26	77
2015-11-27	63
2015-11-28	46
2015-11-29	48
2015-11-30	65
2015-12-01	54
2015-12-02	57
2015-12-03	51
2015-12-04	52
2015-12-05	46
2015-12-06	40
2015-12-07	56
2015-12-08	48
2015-12-09	41
2015-12-10	47
2015-12-11	40
2015-12-12	41
2015-12-13	31
2015-12-14	47
2015-12-15	54
2015-12-16	43
2015-12-17	59
2015-12-18	35
2015-12-19	37
2015-12-20	28
2015-12-21	47
2015-12-22	49
2015-12-23	43
2015-12-24	42
2015-12-25	46
2015-12-26	37
2015-12-27	31
2015-12-28	30
2015-12-29	40
2015-12-30	36
2015-12-31	42
2016-01-01	20
2016-01-02	26
2016-01-03	39
2016-01-04	38
2016-01-05	36
2016-01-06	44
2016-01-07	77
2016-01-08	66
2016-01-09	38
2016-01-10	28
2016-01-11	43
2016-01-12	62
2016-01-13	60
2016-01-14	53
2016-01-15	45
2016-01-16	48
2016-01-17	37
2016-01-18	67
2016-01-19	48
2016-01-20	59
2016-01-21	61
2016-01-22	36
