date	freq
2015-06-01	498
2015-06-02	482
2015-06-03	505
2015-06-04	498
2015-06-05	442
2015-06-06	379
2015-06-07	386
2015-06-08	483
2015-06-09	531
2015-06-10	524
2015-06-11	524
2015-06-12	451
2015-06-13	412
2015-06-14	470
2015-06-15	483
2015-06-16	483
2015-06-17	525
2015-06-18	492
2015-06-19	452
2015-06-20	422
2015-06-21	398
2015-06-22	446
2015-06-23	505
2015-06-24	522
2015-06-25	460
2015-06-26	482
2015-06-27	373
2015-06-28	416
2015-06-29	488
2015-06-30	443
2015-07-01	491
2015-07-02	479
2015-07-03	502
2015-07-04	414
2015-07-05	445
2015-07-06	487
2015-07-07	453
2015-07-08	503
2015-07-09	527
2015-07-10	432
2015-07-11	407
2015-07-12	416
2015-07-13	460
2015-07-14	489
2015-07-15	487
2015-07-16	464
2015-07-17	755
2015-07-18	374
2015-07-19	387
2015-07-20	410
2015-07-21	431
2015-07-22	472
2015-07-23	470
2015-07-24	425
2015-07-25	372
2015-07-26	412
2015-07-27	417
2015-07-28	458
2015-07-29	430
2015-07-30	404
2015-07-31	422
2015-08-01	370
2015-08-02	335
2015-08-03	374
2015-08-04	412
2015-08-05	437
2015-08-06	419
2015-08-07	396
2015-08-08	355
2015-08-09	358
2015-08-10	406
2015-08-11	406
2015-08-12	406
2015-08-13	379
2015-08-14	344
2015-08-15	288
2015-08-16	367
2015-08-17	398
2015-08-18	415
2015-08-19	426
2015-08-20	433
2015-08-21	413
2015-08-22	343
2015-08-23	375
2015-08-24	405
2015-08-25	435
2015-08-26	463
2015-08-27	409
2015-08-28	465
2015-08-29	352
2015-08-30	395
2015-08-31	483
2015-09-01	465
2015-09-02	520
2015-09-03	477
2015-09-04	481
2015-09-05	381
2015-09-06	424
2015-09-07	473
2015-09-08	523
2015-09-09	492
2015-09-10	472
2015-09-11	423
2015-09-12	462
2015-09-13	441
2015-09-14	505
2015-09-15	474
2015-09-16	504
2015-09-17	500
2015-09-18	433
2015-09-19	403
2015-09-20	404
2015-09-21	358
2015-09-22	414
2015-09-23	396
2015-09-24	446
2015-09-25	487
2015-09-26	387
2015-09-27	438
2015-09-28	480
2015-09-29	495
2015-09-30	469
2015-10-01	525
2015-10-02	498
2015-10-03	412
2015-10-04	462
2015-10-05	477
2015-10-06	486
2015-10-07	504
2015-10-08	528
2015-10-09	491
2015-10-10	421
2015-10-11	447
2015-10-12	526
2015-10-13	536
2015-10-14	594
2015-10-15	527
2015-10-16	515
2015-10-17	433
2015-10-18	476
2015-10-19	497
2015-10-20	489
2015-10-21	532
2015-10-22	493
2015-10-23	424
2015-10-24	412
2015-10-25	466
2015-10-26	487
2015-10-27	517
2015-10-28	537
2015-10-29	518
2015-10-30	511
2015-10-31	388
2015-11-01	392
2015-11-02	438
2015-11-03	495
2015-11-04	566
2015-11-05	562
2015-11-06	536
2015-11-07	518
2015-11-08	464
2015-11-09	494
2015-11-10	509
2015-11-11	457
2015-11-12	467
2015-11-13	475
2015-11-14	413
2015-11-15	411
2015-11-16	456
2015-11-17	527
2015-11-18	523
2015-11-19	529
2015-11-20	471
2015-11-21	402
2015-11-22	412
2015-11-23	463
2015-11-24	510
2015-11-25	507
2015-11-26	589
2015-11-27	478
2015-11-28	405
2015-11-29	471
2015-11-30	792
2015-12-01	575
2015-12-02	519
2015-12-03	537
2015-12-04	479
2015-12-05	434
2015-12-06	461
2015-12-07	528
2015-12-08	528
2015-12-09	458
2015-12-10	480
2015-12-11	433
2015-12-12	404
2015-12-13	416
2015-12-14	432
2015-12-15	461
2015-12-16	448
2015-12-17	450
2015-12-18	441
2015-12-19	377
2015-12-20	356
2015-12-21	456
2015-12-22	440
2015-12-23	425
2015-12-24	357
2015-12-25	373
2015-12-26	381
2015-12-27	382
2015-12-28	405
2015-12-29	440
2015-12-30	481
2015-12-31	583
2016-01-01	446
2016-01-02	419
2016-01-03	414
2016-01-04	402
2016-01-05	407
2016-01-06	464
2016-01-07	460
2016-01-08	475
2016-01-09	402
2016-01-10	434
2016-01-11	445
2016-01-12	444
2016-01-13	473
2016-01-14	492
2016-01-15	458
2016-01-16	426
2016-01-17	447
2016-01-18	438
2016-01-19	461
2016-01-20	435
2016-01-21	479
2016-01-22	410
2016-01-23	370
2016-01-24	425
2016-01-25	442
2016-01-26	449
2016-01-27	459
2016-01-28	432
2016-01-29	409
2016-01-30	476
2016-01-31	440
2016-02-01	449
2016-02-02	437
2016-02-03	421
2016-02-04	449
2016-02-05	417
2016-02-06	395
2016-02-07	377
2016-02-08	451
2016-02-09	481
2016-02-10	417
2016-02-11	387
2016-02-12	391
2016-02-13	421
2016-02-14	431
2016-02-15	429
2016-02-16	389
2016-02-17	473
2016-02-18	443
2016-02-19	417
2016-02-20	406
2016-02-21	423
2016-02-22	551
2016-02-23	463
2016-02-24	507
2016-02-25	476
2016-02-26	455
2016-02-27	396
2016-02-28	420
2016-02-29	410
2016-03-01	442
2016-03-02	440
2016-03-03	408
2016-03-04	371
2016-03-05	330
2016-03-06	356
2016-03-07	426
2016-03-08	394
2016-03-09	403
2016-03-10	391
2016-03-11	362
2016-03-12	327
2016-03-13	381
2016-03-14	383
2016-03-15	343
2016-03-16	390
2016-03-17	364
2016-03-18	376
2016-03-19	339
2016-03-20	333
2016-03-21	362
2016-03-22	405
2016-03-23	419
2016-03-24	416
2016-03-25	352
2016-03-26	323
2016-03-27	377
2016-03-28	378
2016-03-29	388
2016-03-30	370
2016-03-31	426
2016-04-01	366
2016-04-02	351
2016-04-03	361
2016-04-04	425
2016-04-05	447
2016-04-06	423
2016-04-07	472
2016-04-08	441
2016-04-09	371
2016-04-10	390
2016-04-11	429
2016-04-12	496
2016-04-13	472
2016-04-14	459
2016-04-15	389
2016-04-16	344
2016-04-17	368
2016-04-18	418
2016-04-19	423
2016-04-20	434
2016-04-21	447
2016-04-22	409
2016-04-23	354
2016-04-24	396
2016-04-25	414
2016-04-26	427
2016-04-27	427
2016-04-28	445
2016-04-29	352
2016-04-30	339
2016-05-01	331
2016-05-02	403
2016-05-03	331
2016-05-04	325
2016-05-05	297
2016-05-06	424
2016-05-07	378
2016-05-08	363
2016-05-09	404
2016-05-10	429
2016-05-11	392
2016-05-12	391
2016-05-13	434
2016-05-14	341
2016-05-15	358
2016-05-16	429
2016-05-17	454
2016-05-18	416
2016-05-19	375
2016-05-20	371
2016-05-21	325
2016-05-22	335
2016-05-23	413
2016-05-24	417
2016-05-25	424
2016-05-26	394
2016-05-27	378
2016-05-28	419
2016-05-29	365
2016-05-30	409
2016-05-31	440
