date	freq
2015-06-01	474
2015-06-02	394
2015-06-03	388
2015-06-04	465
2015-06-05	414
2015-06-06	406
2015-06-07	485
2015-06-08	521
2015-06-09	403
2015-06-10	364
2015-06-11	425
2015-06-12	535
2015-06-13	517
2015-06-14	580
2015-06-15	451
2015-06-16	551
2015-06-17	462
2015-06-18	553
2015-06-19	930
2015-06-20	519
2015-06-21	883
2015-06-22	708
2015-06-23	812
2015-06-24	1392
2015-06-25	1217
2015-06-26	1407
2015-06-27	1356
2015-06-28	1433
2015-06-29	1166
2015-06-30	1213
2015-07-01	1193
2015-07-02	1246
2015-07-03	1245
2015-07-04	1287
2015-07-05	1334
2015-07-06	1128
2015-07-07	443
2015-07-08	446
2015-07-09	448
2015-07-10	562
2015-07-11	562
2015-07-12	598
2015-07-13	559
2015-07-14	525
2015-07-15	530
2015-07-16	577
2015-07-17	587
2015-07-18	632
2015-07-19	488
2015-07-20	544
2015-07-21	503
2015-07-22	433
2015-07-23	501
2015-07-24	486
2015-07-25	539
2015-07-26	487
2015-07-27	544
2015-07-28	543
2015-07-29	534
2015-07-30	563
2015-07-31	520
2015-08-01	461
2015-08-02	484
2015-08-03	423
2015-08-04	535
2015-08-05	484
2015-08-06	475
2015-08-07	697
2015-08-08	693
2015-08-09	675
2015-08-10	676
2015-08-11	549
2015-08-12	527
2015-08-13	646
2015-08-14	536
2015-08-15	3080
2015-08-16	616
2015-08-17	580
2015-08-18	557
2015-08-19	601
2015-08-20	602
2015-08-21	537
2015-08-22	638
2015-08-23	573
2015-08-24	547
2015-08-25	509
2015-08-26	490
2015-08-27	606
2015-08-28	555
2015-08-29	728
2015-08-30	606
2015-08-31	576
2015-09-01	515
2015-09-02	479
2015-09-03	560
2015-09-04	443
2015-09-05	497
2015-09-06	538
2015-09-07	463
2015-09-08	504
2015-09-09	490
2015-09-10	1286
2015-09-11	493
2015-09-12	546
2015-09-13	1014
2015-09-14	1721
2015-09-15	1809
2015-09-16	532
2015-09-17	477
2015-09-18	559
2015-09-19	3180
2015-09-20	709
2015-09-21	654
2015-09-22	563
2015-09-23	514
2015-09-24	574
2015-09-25	445
2015-09-26	505
2015-09-27	560
2015-09-28	644
2015-09-29	438
2015-09-30	471
2015-10-01	517
2015-10-02	365
2015-10-03	507
2015-10-04	471
2015-10-05	427
2015-10-06	459
2015-10-07	465
2015-10-08	433
2015-10-09	399
2015-10-10	847
2015-10-11	1183
2015-10-12	804
2015-10-13	643
2015-10-14	605
2015-10-15	510
2015-10-16	458
2015-10-17	543
2015-10-18	578
2015-10-19	488
2015-10-20	436
2015-10-21	488
2015-10-22	531
2015-10-23	408
2015-10-24	419
2015-10-25	677
2015-10-26	785
2015-10-27	534
2015-10-28	470
2015-10-29	442
2015-10-30	634
2015-10-31	429
2015-11-01	414
2015-11-02	425
2015-11-03	475
2015-11-04	399
2015-11-05	410
2015-11-06	395
2015-11-07	434
2015-11-08	497
2015-11-09	416
2015-11-10	419
2015-11-11	471
2015-11-12	381
2015-11-13	465
2015-11-14	434
2015-11-15	429
2015-11-16	401
2015-11-17	364
2015-11-18	368
2015-11-19	354
2015-11-20	402
2015-11-21	483
2015-11-22	461
2015-11-23	444
2015-11-24	437
2015-11-25	436
2015-11-26	431
2015-11-27	362
2015-11-28	474
2015-11-29	454
2015-11-30	1129
2015-12-01	445
2015-12-02	366
2015-12-03	381
2015-12-04	341
2015-12-05	401
2015-12-06	464
2015-12-07	407
2015-12-08	452
2015-12-09	409
2015-12-10	436
2015-12-11	444
2015-12-12	448
2015-12-13	442
2015-12-14	392
2015-12-15	392
2015-12-16	338
2015-12-17	343
2015-12-18	513
2015-12-19	450
2015-12-20	536
2015-12-21	408
2015-12-22	436
2015-12-23	419
2015-12-24	481
2015-12-25	501
2015-12-26	433
2015-12-27	418
2015-12-28	406
2015-12-29	506
2015-12-30	598
2015-12-31	687
2016-01-01	775
2016-01-02	490
2016-01-03	422
2016-01-04	446
2016-01-05	447
2016-01-06	486
2016-01-07	439
2016-01-08	419
2016-01-09	449
2016-01-10	745
2016-01-11	619
2016-01-12	461
2016-01-13	454
2016-01-14	439
2016-01-15	488
2016-01-16	401
2016-01-17	550
2016-01-18	500
2016-01-19	347
2016-01-20	433
2016-01-21	465
2016-01-22	418
2016-01-23	481
2016-01-24	443
2016-01-25	456
2016-01-26	464
2016-01-27	495
2016-01-28	509
2016-01-29	395
2016-01-30	475
2016-01-31	513
2016-02-01	524
2016-02-02	506
2016-02-03	422
2016-02-04	412
2016-02-05	382
2016-02-06	429
2016-02-07	606
2016-02-08	447
2016-02-09	489
2016-02-10	449
2016-02-11	514
2016-02-12	472
2016-02-13	546
2016-02-14	536
2016-02-15	465
2016-02-16	570
2016-02-17	456
2016-02-18	414
2016-02-19	442
2016-02-20	454
2016-02-21	450
2016-02-22	529
2016-02-23	512
2016-02-24	454
2016-02-25	385
2016-02-26	474
2016-02-27	466
2016-02-28	449
2016-02-29	388
2016-03-01	440
2016-03-02	386
2016-03-03	570
2016-03-04	450
2016-03-05	416
2016-03-06	434
2016-03-07	409
2016-03-08	449
2016-03-09	491
2016-03-10	440
2016-03-11	372
2016-03-12	389
2016-03-13	442
2016-03-14	427
2016-03-15	401
2016-03-16	447
2016-03-17	464
2016-03-18	374
2016-03-19	439
2016-03-20	437
2016-03-21	456
2016-03-22	443
2016-03-23	463
2016-03-24	573
2016-03-25	520
2016-03-26	422
