date	freq
2015-06-01	702
2015-06-02	679
2015-06-03	702
2015-06-04	656
2015-06-05	624
2015-06-06	627
2015-06-07	1039
2015-06-08	886
2015-06-09	775
2015-06-10	784
2015-06-11	693
2015-06-12	634
2015-06-13	786
2015-06-14	969
2015-06-15	760
2015-06-16	640
2015-06-17	651
2015-06-18	652
2015-06-19	611
2015-06-20	614
2015-06-21	790
2015-06-22	693
2015-06-23	638
2015-06-24	872
2015-06-25	698
2015-06-26	750
2015-06-27	720
2015-06-28	886
2015-06-29	766
2015-06-30	735
2015-07-01	813
2015-07-02	798
2015-07-03	683
2015-07-04	714
2015-07-05	773
2015-07-06	697
2015-07-07	731
2015-07-08	612
2015-07-09	670
2015-07-10	612
2015-07-11	648
2015-07-12	694
2015-07-13	662
2015-07-14	611
2015-07-15	682
2015-07-16	658
2015-07-17	667
2015-07-18	628
2015-07-19	682
2015-07-20	733
2015-07-21	714
2015-07-22	698
2015-07-23	735
2015-07-24	664
2015-07-25	701
2015-07-26	720
2015-07-27	775
2015-07-28	709
2015-07-29	749
2015-07-30	740
2015-07-31	720
2015-08-01	656
2015-08-02	693
2015-08-03	853
2015-08-04	827
2015-08-05	767
2015-08-06	711
2015-08-07	650
2015-08-08	632
2015-08-09	723
2015-08-10	701
2015-08-11	723
2015-08-12	655
2015-08-13	764
2015-08-14	662
2015-08-15	640
2015-08-16	672
2015-08-17	740
2015-08-18	714
2015-08-19	787
2015-08-20	820
2015-08-21	693
2015-08-22	643
2015-08-23	689
2015-08-24	649
2015-08-25	665
2015-08-26	707
2015-08-27	673
2015-08-28	758
2015-08-29	641
2015-08-30	786
2015-08-31	748
2015-09-01	757
2015-09-02	645
2015-09-03	616
2015-09-04	565
2015-09-05	656
2015-09-06	691
2015-09-07	668
2015-09-08	654
2015-09-09	617
2015-09-10	592
2015-09-11	607
2015-09-12	625
2015-09-13	705
2015-09-14	675
2015-09-15	609
2015-09-16	539
2015-09-17	596
2015-09-18	585
2015-09-19	603
2015-09-20	586
2015-09-21	660
2015-09-22	772
2015-09-23	749
2015-09-24	623
2015-09-25	688
2015-09-26	669
2015-09-27	712
2015-09-28	771
2015-09-29	875
2015-09-30	754
2015-10-01	722
2015-10-02	553
2015-10-03	634
2015-10-04	710
2015-10-05	575
2015-10-06	646
2015-10-07	605
2015-10-08	646
2015-10-09	650
2015-10-10	654
2015-10-11	757
2015-10-12	766
2015-10-13	687
2015-10-14	645
2015-10-15	811
2015-10-16	699
2015-10-17	663
2015-10-18	735
2015-10-19	642
2015-10-20	763
2015-10-21	681
2015-10-22	670
2015-10-23	672
2015-10-24	598
2015-10-25	665
2015-10-26	641
2015-10-27	573
2015-10-28	581
2015-10-29	549
2015-10-30	549
2015-10-31	555
2015-11-01	593
2015-11-02	526
2015-11-03	671
2015-11-04	679
2015-11-05	571
2015-11-06	572
2015-11-07	633
2015-11-08	736
2015-11-09	654
2015-11-10	666
2015-11-11	656
2015-11-12	582
2015-11-13	566
2015-11-14	512
2015-11-15	670
2015-11-16	626
2015-11-17	597
2015-11-18	659
2015-11-19	582
2015-11-20	553
2015-11-21	583
2015-11-22	670
2015-11-23	735
2015-11-24	709
2015-11-25	619
2015-11-26	611
2015-11-27	599
2015-11-28	726
2015-11-29	763
2015-11-30	654
2015-12-01	602
2015-12-02	600
2015-12-03	1158
2015-12-04	1747
2015-12-05	1031
2015-12-06	830
2015-12-07	754
2015-12-08	706
2015-12-09	741
2015-12-10	667
2015-12-11	616
2015-12-12	629
2015-12-13	614
2015-12-14	609
2015-12-15	595
2015-12-16	577
2015-12-17	550
2015-12-18	580
2015-12-19	616
2015-12-20	623
2015-12-21	573
2015-12-22	574
2015-12-23	692
2015-12-24	652
2015-12-25	610
2015-12-26	562
2015-12-27	645
2015-12-28	598
2015-12-29	642
2015-12-30	754
2015-12-31	762
2016-01-01	575
2016-01-02	668
2016-01-03	640
2016-01-04	1036
2016-01-05	1270
2016-01-06	880
2016-01-07	1081
2016-01-08	689
2016-01-09	650
2016-01-10	634
2016-01-11	660
2016-01-12	568
2016-01-13	573
2016-01-14	545
2016-01-15	553
2016-01-16	667
2016-01-17	681
2016-01-18	636
2016-01-19	502
2016-01-20	556
2016-01-21	620
2016-01-22	680
2016-01-23	643
2016-01-24	733
2016-01-25	652
2016-01-26	579
2016-01-27	1815
2016-01-28	984
2016-01-29	846
2016-01-30	1142
2016-01-31	928
2016-02-01	677
2016-02-02	671
2016-02-03	627
2016-02-04	629
2016-02-05	600
2016-02-06	692
2016-02-07	744
2016-02-08	683
2016-02-09	640
2016-02-10	684
2016-02-11	689
2016-02-12	683
2016-02-13	744
2016-02-14	798
2016-02-15	711
2016-02-16	687
2016-02-17	607
2016-02-18	663
2016-02-19	662
2016-02-20	737
2016-02-21	721
2016-02-22	668
2016-02-23	723
2016-02-24	652
2016-02-25	562
2016-02-26	676
2016-02-27	571
2016-02-28	686
2016-02-29	605
2016-03-01	856
2016-03-02	648
2016-03-03	614
2016-03-04	665
2016-03-05	684
2016-03-06	698
2016-03-07	702
2016-03-08	659
2016-03-09	703
2016-03-10	754
2016-03-11	3703
2016-03-12	704
2016-03-13	686
2016-03-14	763
2016-03-15	868
2016-03-16	1020
2016-03-17	755
2016-03-18	686
2016-03-19	688
2016-03-20	763
2016-03-21	718
2016-03-22	737
2016-03-23	708
2016-03-24	740
2016-03-25	723
2016-03-26	718
2016-03-27	663
2016-03-28	759
2016-03-29	722
2016-03-30	847
2016-03-31	787
2016-04-01	838
2016-04-02	744
2016-04-03	717
2016-04-04	864
2016-04-05	795
2016-04-06	733
2016-04-07	782
2016-04-08	722
2016-04-09	657
2016-04-10	731
2016-04-11	640
2016-04-12	574
2016-04-13	599
2016-04-14	545
2016-04-15	558
2016-04-16	641
2016-04-17	675
2016-04-18	636
2016-04-19	655
2016-04-20	656
2016-04-21	591
2016-04-22	606
2016-04-23	641
2016-04-24	726
2016-04-25	692
2016-04-26	705
2016-04-27	775
2016-04-28	643
2016-04-29	640
2016-04-30	693
2016-05-01	661
2016-05-02	682
2016-05-03	705
2016-05-04	748
2016-05-05	832
