date	freq
2015-06-01	26
2015-06-02	27
2015-06-03	33
2015-06-04	31
2015-06-05	37
2015-06-06	31
2015-06-07	27
2015-06-08	36
2015-06-09	34
2015-06-10	36
2015-06-11	41
2015-06-12	37
2015-06-13	38
2015-06-14	30
2015-06-15	36
2015-06-16	34
2015-06-17	43
2015-06-18	33
2015-06-19	37
2015-06-20	34
2015-06-21	29
2015-06-22	28
2015-06-23	39
2015-06-24	38
2015-06-25	41
2015-06-26	33
2015-06-27	27
2015-06-28	29
2015-06-29	40
2015-06-30	36
2015-07-01	40
2015-07-02	40
2015-07-03	52
2015-07-04	40
2015-07-05	33
2015-07-06	39
2015-07-07	26
2015-07-08	26
2015-07-09	32
2015-07-10	22
2015-07-11	35
2015-07-12	36
2015-07-13	32
2015-07-14	27
2015-07-15	29
2015-07-16	38
2015-07-17	14
2015-07-18	22
2015-07-19	22
2015-07-20	29
2015-07-21	27
2015-07-22	38
2015-07-23	27
2015-07-24	29
2015-07-25	22
2015-07-26	25
2015-07-27	53
2015-07-28	39
2015-07-29	25
2015-07-30	23
2015-07-31	26
2015-08-01	21
2015-08-02	28
2015-08-03	26
2015-08-04	27
2015-08-05	25
2015-08-06	27
2015-08-07	29
2015-08-08	27
2015-08-09	23
2015-08-10	25
2015-08-11	22
2015-08-12	29
2015-08-13	26
2015-08-14	31
2015-08-15	26
2015-08-16	27
2015-08-17	22
2015-08-18	23
2015-08-19	30
2015-08-20	31
2015-08-21	33
2015-08-22	26
2015-08-23	20
2015-08-24	30
2015-08-25	37
2015-08-26	42
2015-08-27	36
2015-08-28	30
2015-08-29	26
2015-08-30	31
2015-08-31	32
2015-09-01	38
2015-09-02	34
2015-09-03	43
2015-09-04	15
2015-09-05	21
2015-09-06	19
2015-09-07	32
2015-09-08	31
2015-09-09	32
2015-09-10	30
2015-09-11	40
2015-09-12	27
2015-09-13	30
2015-09-14	39
2015-09-15	40
2015-09-16	44
2015-09-17	42
2015-09-18	33
2015-09-19	20
2015-09-20	22
2015-09-21	25
2015-09-22	27
2015-09-23	31
2015-09-24	33
2015-09-25	32
2015-09-26	30
2015-09-27	31
2015-09-28	29
2015-09-29	27
2015-09-30	34
2015-10-01	31
2015-10-02	21
2015-10-03	29
2015-10-04	27
2015-10-05	35
2015-10-06	35
2015-10-07	32
2015-10-08	39
2015-10-09	31
2015-10-10	19
2015-10-11	33
2015-10-12	28
2015-10-13	29
2015-10-14	37
2015-10-15	43
2015-10-16	30
2015-10-17	23
2015-10-18	25
2015-10-19	29
2015-10-20	28
2015-10-21	20
2015-10-22	44
2015-10-23	26
2015-10-24	30
2015-10-25	21
2015-10-26	32
2015-10-27	31
2015-10-28	40
2015-10-29	47
2015-10-30	20
2015-10-31	22
2015-11-01	25
2015-11-02	23
2015-11-03	16
2015-11-04	29
2015-11-05	29
2015-11-06	35
2015-11-07	34
2015-11-08	28
2015-11-09	31
2015-11-10	40
2015-11-11	32
2015-11-12	32
2015-11-13	33
2015-11-14	24
2015-11-15	22
2015-11-16	25
2015-11-17	33
2015-11-18	24
2015-11-19	39
2015-11-20	19
2015-11-21	25
2015-11-22	25
2015-11-23	32
2015-11-24	23
2015-11-25	32
2015-11-26	38
2015-11-27	27
2015-11-28	22
2015-11-29	30
2015-11-30	25
2015-12-01	26
2015-12-02	29
2015-12-03	31
2015-12-04	28
2015-12-05	28
2015-12-06	20
2015-12-07	27
2015-12-08	27
2015-12-09	30
2015-12-10	32
2015-12-11	19
2015-12-12	29
2015-12-13	21
2015-12-14	34
2015-12-15	22
2015-12-16	17
2015-12-17	44
2015-12-18	21
2015-12-19	17
2015-12-20	29
2015-12-21	28
2015-12-22	23
2015-12-23	33
2015-12-24	30
2015-12-25	23
2015-12-26	17
2015-12-27	35
2015-12-28	28
2015-12-29	28
2015-12-30	25
2015-12-31	31
2016-01-01	17
2016-01-02	17
2016-01-03	35
2016-01-04	20
2016-01-05	32
2016-01-06	23
2016-01-07	25
2016-01-08	18
2016-01-09	17
2016-01-10	17
2016-01-11	31
2016-01-12	23
2016-01-13	34
2016-01-14	26
2016-01-15	21
2016-01-16	24
2016-01-17	38
2016-01-18	28
2016-01-19	22
2016-01-20	28
2016-01-21	36
2016-01-22	22
2016-01-23	19
2016-01-24	22
2016-01-25	25
2016-01-26	27
2016-01-27	30
2016-01-28	23
2016-01-29	20
2016-01-30	27
2016-01-31	30
2016-02-01	34
2016-02-02	28
2016-02-03	26
2016-02-04	35
2016-02-05	20
2016-02-06	30
2016-02-07	34
2016-02-08	31
2016-02-09	25
2016-02-10	26
2016-02-11	39
2016-02-12	29
2016-02-13	33
2016-02-14	19
2016-02-15	36
2016-02-16	37
2016-02-17	31
2016-02-18	33
2016-02-19	31
2016-02-20	33
2016-02-21	37
2016-02-22	35
2016-02-23	27
2016-02-24	27
2016-02-25	38
2016-02-26	37
2016-02-27	35
2016-02-28	44
2016-02-29	40
2016-03-01	46
2016-03-02	27
2016-03-03	36
2016-03-04	24
2016-03-05	37
2016-03-06	42
2016-03-07	27
2016-03-08	34
2016-03-09	37
2016-03-10	36
2016-03-11	25
2016-03-12	33
2016-03-13	35
2016-03-14	47
2016-03-15	35
2016-03-16	33
2016-03-17	30
2016-03-18	38
2016-03-19	25
2016-03-20	33
2016-03-21	32
2016-03-22	31
2016-03-23	35
2016-03-24	38
2016-03-25	24
2016-03-26	32
2016-03-27	43
2016-03-28	41
2016-03-29	34
2016-03-30	39
2016-03-31	44
2016-04-01	29
2016-04-02	26
2016-04-03	30
2016-04-04	36
2016-04-05	38
2016-04-06	38
2016-04-07	28
2016-04-08	33
2016-04-09	35
2016-04-10	38
2016-04-11	55
2016-04-12	43
2016-04-13	32
2016-04-14	34
2016-04-15	40
2016-04-16	33
2016-04-17	24
2016-04-18	58
2016-04-19	68
2016-04-20	62
2016-04-21	52
2016-04-22	40
2016-04-23	41
2016-04-24	43
2016-04-25	29
2016-04-26	41
2016-04-27	43
2016-04-28	27
2016-04-29	43
2016-04-30	32
2016-05-01	33
2016-05-02	45
2016-05-03	32
2016-05-04	47
2016-05-05	57
2016-05-06	36
2016-05-07	42
2016-05-08	40
2016-05-09	50
2016-05-10	48
2016-05-11	45
2016-05-12	43
2016-05-13	31
2016-05-14	36
2016-05-15	37
2016-05-16	32
2016-05-17	47
2016-05-18	26
2016-05-19	42
2016-05-20	29
2016-05-21	29
2016-05-22	69
2016-05-23	53
2016-05-24	40
2016-05-25	36
2016-05-26	49
2016-05-27	59
2016-05-28	68
2016-05-29	28
2016-05-30	48
2016-05-31	35
