date	freq
2015-06-01	6
2015-06-02	9
2015-06-03	6
2015-06-04	17
2015-06-05	9
2015-06-06	6
2015-06-07	8
2015-06-08	5
2015-06-09	11
2015-06-10	3
2015-06-11	3
2015-06-12	9
2015-06-13	10
2015-06-14	8
2015-06-15	5
2015-06-16	15
2015-06-17	8
2015-06-18	11
2015-06-19	8
2015-06-20	16
2015-06-21	8
2015-06-22	6
2015-06-23	5
2015-06-24	7
2015-06-25	5
2015-06-26	13
2015-06-27	13
2015-06-28	11
2015-06-29	4
2015-06-30	6
2015-07-01	5
2015-07-02	5
2015-07-03	11
2015-07-04	8
2015-07-05	6
2015-07-06	7
2015-07-07	6
2015-07-08	8
2015-07-09	5
2015-07-10	5
2015-07-11	8
2015-07-12	5
2015-07-13	6
2015-07-14	12
2015-07-15	9
2015-07-16	10
2015-07-17	8
2015-07-18	6
2015-07-19	4
2015-07-20	8
2015-07-21	5
2015-07-22	5
2015-07-23	9
2015-07-24	5
2015-07-25	5
2015-07-26	8
2015-07-27	7
2015-07-28	14
2015-07-29	5
2015-07-30	6
2015-07-31	9
2015-08-01	8
2015-08-02	8
2015-08-03	7
2015-08-04	11
2015-08-05	2
2015-08-06	12
2015-08-07	8
2015-08-08	9
2015-08-09	6
2015-08-10	9
2015-08-11	9
2015-08-12	7
2015-08-13	11
2015-08-14	5
2015-08-15	9
2015-08-16	6
2015-08-17	10
2015-08-18	3
2015-08-19	8
2015-08-20	6
2015-08-21	5
2015-08-22	8
2015-08-23	4
2015-08-24	9
2015-08-25	7
2015-08-26	11
2015-08-27	11
2015-08-28	7
2015-08-29	12
2015-08-30	5
2015-08-31	9
2015-09-01	7
2015-09-02	8
2015-09-03	9
2015-09-04	8
2015-09-05	7
2015-09-06	7
2015-09-07	3
2015-09-08	16
2015-09-09	13
2015-09-10	7
2015-09-11	12
2015-09-12	2
2015-09-13	9
2015-09-14	10
2015-09-15	4
2015-09-16	10
2015-09-17	7
2015-09-18	7
2015-09-19	6
2015-09-20	4
2015-09-21	7
2015-09-22	4
2015-09-23	5
2015-09-24	8
2015-09-25	5
2015-09-26	6
2015-09-27	10
2015-09-28	6
2015-09-29	13
2015-09-30	2
2015-10-01	9
2015-10-02	10
2015-10-03	11
2015-10-04	17
2015-10-05	8
2015-10-06	3
2015-10-07	4
2015-10-08	11
2015-10-09	13
2015-10-10	5
2015-10-11	7
2015-10-12	10
2015-10-13	8
2015-10-14	6
2015-10-15	5
2015-10-16	3
2015-10-17	6
2015-10-18	7
2015-10-19	12
2015-10-20	4
2015-10-21	5
2015-10-22	10
2015-10-23	6
2015-10-24	9
2015-10-25	3
2015-10-26	11
2015-10-27	16
2015-10-28	1
2015-10-29	11
2015-10-30	3
2015-10-31	6
2015-11-01	3
2015-11-02	7
2015-11-03	5
2015-11-04	9
2015-11-05	8
2015-11-06	14
2015-11-07	3
2015-11-08	9
2015-11-09	13
2015-11-10	10
2015-11-11	16
2015-11-12	6
2015-11-13	13
2015-11-14	13
2015-11-15	10
2015-11-16	2
2015-11-17	11
2015-11-18	9
2015-11-19	5
2015-11-20	5
2015-11-21	11
2015-11-22	3
2015-11-23	8
2015-11-24	9
2015-11-25	7
2015-11-26	4
2015-11-27	3
2015-11-28	10
2015-11-29	9
2015-11-30	4
2015-12-01	15
2015-12-02	5
2015-12-03	7
2015-12-04	4
2015-12-05	8
2015-12-06	14
2015-12-07	7
2015-12-08	7
2015-12-09	7
2015-12-10	7
2015-12-11	6
2015-12-12	5
2015-12-13	3
2015-12-14	13
2015-12-15	10
2015-12-16	6
2015-12-17	5
2015-12-18	8
2015-12-19	3
2015-12-20	13
2015-12-21	8
2015-12-22	5
2015-12-23	5
2015-12-24	11
2015-12-25	7
2015-12-26	6
2015-12-27	8
2015-12-28	3
2015-12-29	4
2015-12-30	5
2015-12-31	7
2016-01-01	9
2016-01-02	9
2016-01-03	2
2016-01-04	4
2016-01-05	4
2016-01-06	13
2016-01-07	5
2016-01-08	12
2016-01-09	3
2016-01-10	13
2016-01-11	8
2016-01-12	11
2016-01-13	7
2016-01-14	8
2016-01-15	7
2016-01-16	6
2016-01-17	6
2016-01-18	13
2016-01-19	9
2016-01-20	9
2016-01-21	6
2016-01-22	10
2016-01-23	28
2016-01-24	15
2016-01-25	12
2016-01-26	10
2016-01-27	4
2016-01-28	11
2016-01-29	15
2016-01-30	28
2016-01-31	36
2016-02-01	44
2016-02-02	27
2016-02-03	21
2016-02-04	24
2016-02-05	13
2016-02-06	24
2016-02-07	34
2016-02-08	33
2016-02-09	14
2016-02-10	21
2016-02-11	17
2016-02-12	23
2016-02-13	28
2016-02-14	31
2016-02-15	22
2016-02-16	16
2016-02-17	16
2016-02-18	11
2016-02-19	20
2016-02-20	30
2016-02-21	17
2016-02-22	16
2016-02-23	20
2016-02-24	16
2016-02-25	10
2016-02-26	6
2016-02-27	25
2016-02-28	11
2016-02-29	16
2016-03-01	10
2016-03-02	24
2016-03-03	15
2016-03-04	20
2016-03-05	14
2016-03-06	15
2016-03-07	13
2016-03-08	13
2016-03-09	19
2016-03-10	14
2016-03-11	7
2016-03-12	6
2016-03-13	14
2016-03-14	14
2016-03-15	10
2016-03-16	18
2016-03-17	11
2016-03-18	6
2016-03-19	6
2016-03-20	6
2016-03-21	12
2016-03-22	9
2016-03-23	7
2016-03-24	11
2016-03-25	2
2016-03-26	12
2016-03-27	8
2016-03-28	10
2016-03-29	3
2016-03-30	5
2016-03-31	8
2016-04-01	7
2016-04-02	12
2016-04-03	12
2016-04-04	10
2016-04-05	7
2016-04-06	11
2016-04-07	10
2016-04-08	6
2016-04-09	14
2016-04-10	16
2016-04-11	10
2016-04-12	13
2016-04-13	7
2016-04-14	9
2016-04-15	8
2016-04-16	6
2016-04-17	8
2016-04-18	10
2016-04-19	6
2016-04-20	13
2016-04-21	9
2016-04-22	5
2016-04-23	9
2016-04-24	7
2016-04-25	10
2016-04-26	4
2016-04-27	5
2016-04-28	6
2016-04-29	13
2016-04-30	4
2016-05-01	7
2016-05-02	5
2016-05-03	4
2016-05-04	6
2016-05-05	14
2016-05-06	11
2016-05-07	10
2016-05-08	11
2016-05-09	2
2016-05-10	8
2016-05-11	7
2016-05-12	6
2016-05-13	4
2016-05-14	7
2016-05-15	7
2016-05-16	15
2016-05-17	17
2016-05-18	10
2016-05-19	8
2016-05-20	9
2016-05-21	2
2016-05-22	11
2016-05-23	7
2016-05-24	9
2016-05-25	6
2016-05-26	11
2016-05-27	9
2016-05-28	4
2016-05-29	7
2016-05-30	19
2016-05-31	12
