date	freq
2015-06-01	316
2015-06-02	275
2015-06-03	359
2015-06-04	340
2015-06-05	385
2015-06-06	273
2015-06-07	300
2015-06-08	277
2015-06-09	158
2015-06-10	146
2015-06-11	276
2015-06-12	257
2015-06-13	294
2015-06-14	302
2015-06-15	281
2015-06-16	270
2015-06-17	279
2015-06-18	281
2015-06-19	261
2015-06-20	309
2015-06-21	346
2015-06-22	388
2015-06-23	297
2015-06-24	320
2015-06-25	294
2015-06-26	302
2015-06-27	322
2015-06-28	285
2015-06-29	272
2015-06-30	280
2015-07-01	271
2015-07-02	248
2015-07-03	256
2015-07-04	300
2015-07-05	324
2015-07-06	278
2015-07-07	252
2015-07-08	281
2015-07-09	282
2015-07-10	260
2015-07-11	267
2015-07-12	242
2015-07-13	279
2015-07-14	313
2015-07-15	289
2015-07-16	276
2015-07-17	321
2015-07-18	302
2015-07-19	357
2015-07-20	353
2015-07-21	343
2015-07-22	320
2015-07-23	316
2015-07-24	304
2015-07-25	296
2015-07-26	319
2015-07-27	312
2015-07-28	349
2015-07-29	280
2015-07-30	312
2015-07-31	263
2015-08-01	268
2015-08-02	319
2015-08-03	282
2015-08-04	236
2015-08-05	292
2015-08-06	235
2015-08-07	265
2015-08-08	250
2015-08-09	332
2015-08-10	265
2015-08-11	244
2015-08-12	287
2015-08-13	253
2015-08-14	238
2015-08-15	263
2015-08-16	368
2015-08-17	309
2015-08-18	333
2015-08-19	336
2015-08-20	323
2015-08-21	247
2015-08-22	264
2015-08-23	262
2015-08-24	263
2015-08-25	352
2015-08-26	316
2015-08-27	294
2015-08-28	300
2015-08-29	298
2015-08-30	292
2015-08-31	319
2015-09-01	327
2015-09-02	302
2015-09-03	323
2015-09-04	300
2015-09-05	305
2015-09-06	327
2015-09-07	303
2015-09-08	325
2015-09-09	293
2015-09-10	313
2015-09-11	297
2015-09-12	325
2015-09-13	344
2015-09-14	272
2015-09-15	343
2015-09-16	287
2015-09-17	271
2015-09-18	285
2015-09-19	226
2015-09-20	248
2015-09-21	297
2015-09-22	291
2015-09-23	287
2015-09-24	297
2015-09-25	298
2015-09-26	259
2015-09-27	262
2015-09-28	237
2015-09-29	1375
2015-09-30	1301
2015-10-01	718
2015-10-02	376
2015-10-03	339
2015-10-04	308
2015-10-05	355
2015-10-06	270
2015-10-07	373
2015-10-08	380
2015-10-09	292
2015-10-10	282
2015-10-11	321
2015-10-12	299
2015-10-13	259
2015-10-14	297
2015-10-15	268
2015-10-16	424
2015-10-17	355
2015-10-18	310
2015-10-19	273
2015-10-20	241
2015-10-21	277
2015-10-22	283
2015-10-23	230
2015-10-24	278
2015-10-25	245
2015-10-26	290
2015-10-27	246
2015-10-28	214
2015-10-29	299
2015-10-30	340
2015-10-31	352
2015-11-01	266
2015-11-02	255
2015-11-03	267
2015-11-04	252
2015-11-05	1602
2015-11-06	331
2015-11-07	586
2015-11-08	360
2015-11-09	393
2015-11-10	370
2015-11-11	521
2015-11-12	1260
2015-11-13	376
2015-11-14	293
2015-11-15	311
2015-11-16	393
2015-11-17	335
2015-11-18	264
2015-11-19	241
2015-11-20	438
2015-11-21	287
2015-11-22	270
2015-11-23	282
2015-11-24	230
2015-11-25	227
2015-11-26	415
2015-11-27	365
2015-11-28	286
2015-11-29	314
2015-11-30	243
2015-12-01	284
2015-12-02	250
2015-12-03	245
2015-12-04	241
2015-12-05	303
2015-12-06	243
2015-12-07	237
2015-12-08	228
2015-12-09	214
2015-12-10	228
2015-12-11	240
2015-12-12	216
2015-12-13	652
2015-12-14	363
2015-12-15	254
2015-12-16	248
2015-12-17	213
2015-12-18	344
2015-12-19	378
2015-12-20	293
2015-12-21	261
2015-12-22	270
2015-12-23	391
2015-12-24	254
2015-12-25	212
2015-12-26	211
2015-12-27	204
2015-12-28	205
2015-12-29	202
2015-12-30	237
2015-12-31	235
2016-01-01	178
2016-01-02	219
2016-01-03	220
2016-01-04	199
2016-01-05	213
2016-01-06	251
2016-01-07	386
2016-01-08	293
2016-01-09	262
2016-01-10	277
2016-01-11	260
2016-01-12	257
2016-01-13	294
2016-01-14	485
2016-01-15	265
2016-01-16	285
2016-01-17	290
2016-01-18	252
2016-01-19	353
2016-01-20	232
2016-01-21	324
2016-01-22	404
2016-01-23	496
2016-01-24	336
2016-01-25	266
2016-01-26	264
2016-01-27	337
2016-01-28	576
2016-01-29	1393
2016-01-30	1014
2016-01-31	928
2016-02-01	928
2016-02-02	812
2016-02-03	810
2016-02-04	758
2016-02-05	836
2016-02-06	680
2016-02-07	603
2016-02-08	679
2016-02-09	651
2016-02-10	674
2016-02-11	699
2016-02-12	627
2016-02-13	744
2016-02-14	818
2016-02-15	603
2016-02-16	519
2016-02-17	486
2016-02-18	397
2016-02-19	399
2016-02-20	633
2016-02-21	550
2016-02-22	972
2016-02-23	620
2016-02-24	396
2016-02-25	337
2016-02-26	327
2016-02-27	403
2016-02-28	487
2016-02-29	328
2016-03-01	954
2016-03-02	950
2016-03-03	778
2016-03-04	690
2016-03-05	532
2016-03-06	625
2016-03-07	511
2016-03-08	429
2016-03-09	456
2016-03-10	405
2016-03-11	426
2016-03-12	414
2016-03-13	437
2016-03-14	478
2016-03-15	446
2016-03-16	415
2016-03-17	452
2016-03-18	381
2016-03-19	399
2016-03-20	398
2016-03-21	359
2016-03-22	487
2016-03-23	426
2016-03-24	382
2016-03-25	313
2016-03-26	304
2016-03-27	344
2016-03-28	364
2016-03-29	310
2016-03-30	353
2016-03-31	292
2016-04-01	358
2016-04-02	308
2016-04-03	301
2016-04-04	279
2016-04-05	297
2016-04-06	319
2016-04-07	259
2016-04-08	287
2016-04-09	275
2016-04-10	303
2016-04-11	388
2016-04-12	312
2016-04-13	225
2016-04-14	235
2016-04-15	217
2016-04-16	222
2016-04-17	244
2016-04-18	276
2016-04-19	214
2016-04-20	236
2016-04-21	266
2016-04-22	390
2016-04-23	265
2016-04-24	226
2016-04-25	213
2016-04-26	248
2016-04-27	256
2016-04-28	217
2016-04-29	220
2016-04-30	240
2016-05-01	279
2016-05-02	359
2016-05-03	294
2016-05-04	331
2016-05-05	304
2016-05-06	244
2016-05-07	273
2016-05-08	247
2016-05-09	262
2016-05-10	456
2016-05-11	297
2016-05-12	265
2016-05-13	282
2016-05-14	281
2016-05-15	318
2016-05-16	266
2016-05-17	513
2016-05-18	290
2016-05-19	289
2016-05-20	297
2016-05-21	227
2016-05-22	237
2016-05-23	260
2016-05-24	389
2016-05-25	334
2016-05-26	276
2016-05-27	261
2016-05-28	239
2016-05-29	242
2016-05-30	257
2016-05-31	330
