date	freq
2015-06-01	17
2015-06-02	77
2015-06-03	67
2015-06-04	71
2015-06-05	59
2015-06-06	49
2015-06-07	53
2015-06-08	48
2015-06-09	55
2015-06-10	56
2015-06-11	41
2015-06-12	34
2015-06-13	45
2015-06-14	54
2015-06-15	84
2015-06-16	61
2015-06-17	67
2015-06-18	53
2015-06-19	57
2015-06-20	28
2015-06-21	39
2015-06-22	53
2015-06-23	37
2015-06-24	49
2015-06-25	60
2015-06-26	54
2015-06-27	56
2015-06-28	66
2015-06-29	44
2015-06-30	36
2015-07-01	34
2015-07-02	29
2015-07-03	14
2015-07-04	25
2015-07-05	31
2015-07-06	19
2015-07-07	31
2015-07-08	15
2015-07-09	11
2015-07-10	12
2015-07-11	36
2015-07-12	29
2015-07-13	23
2015-07-14	40
2015-07-15	31
2015-07-16	35
2015-07-17	14
2015-07-18	27
2015-07-19	40
2015-07-20	32
2015-07-21	19
2015-07-22	34
2015-07-23	31
2015-07-24	31
2015-07-25	27
2015-07-26	28
2015-07-27	30
2015-07-28	33
2015-07-29	49
2015-07-30	29
2015-07-31	30
2015-08-01	22
2015-08-02	37
2015-08-03	43
2015-08-04	19
2015-08-05	19
2015-08-06	21
2015-08-07	17
2015-08-08	17
2015-08-09	14
2015-08-10	11
2015-08-11	14
2015-08-12	23
2015-08-13	13
2015-08-14	6
2015-08-15	20
2015-08-16	24
2015-08-17	28
2015-08-18	26
2015-08-19	24
2015-08-20	26
2015-08-21	18
2015-08-22	34
2015-08-23	26
2015-08-24	19
2015-08-25	23
2015-08-26	10
2015-08-27	28
2015-08-28	16
2015-08-29	19
2015-08-30	12
2015-08-31	24
2015-09-01	30
2015-09-02	22
2015-09-03	20
2015-09-04	17
2015-09-05	20
2015-09-06	21
2015-09-07	23
2015-09-08	14
2015-09-09	22
2015-09-10	23
2015-09-11	26
2015-09-12	44
2015-09-13	48
2015-09-14	32
2015-09-15	19
2015-09-16	23
2015-09-17	22
2015-09-18	29
2015-09-19	21
2015-09-20	28
2015-09-21	75
2015-09-22	44
2015-09-23	38
2015-09-24	37
2015-09-25	37
2015-09-26	27
2015-09-27	30
2015-09-28	43
2015-09-29	42
2015-09-30	29
2015-10-01	25
2015-10-02	14
2015-10-03	29
2015-10-04	44
2015-10-05	20
2015-10-06	24
2015-10-07	5
2015-10-08	18
2015-10-09	32
2015-10-10	14
2015-10-11	23
2015-10-12	21
2015-10-13	31
2015-10-14	45
2015-10-15	15
2015-10-16	30
2015-10-17	24
2015-10-18	15
2015-10-19	24
2015-10-20	13
2015-10-21	20
2015-10-22	16
2015-10-23	17
2015-10-24	17
2015-10-25	30
2015-10-26	23
2015-10-27	27
2015-10-28	25
2015-10-29	21
2015-10-30	25
2015-10-31	39
2015-11-01	23
2015-11-02	21
2015-11-03	34
2015-11-04	24
2015-11-05	23
2015-11-06	36
2015-11-07	52
2015-11-08	27
2015-11-09	28
2015-11-10	26
2015-11-11	37
2015-11-12	27
2015-11-13	24
2015-11-14	24
2015-11-15	24
2015-11-16	17
2015-11-17	24
2015-11-18	27
2015-11-19	17
2015-11-20	28
2015-11-21	29
2015-11-22	37
2015-11-23	38
2015-11-24	25
2015-11-25	28
2015-11-26	14
2015-11-27	20
2015-11-28	20
2015-11-29	30
2015-11-30	21
2015-12-01	22
2015-12-02	23
2015-12-03	15
2015-12-04	15
2015-12-05	30
2015-12-06	21
2015-12-07	21
2015-12-08	23
2015-12-09	20
2015-12-10	17
2015-12-11	8
2015-12-12	26
2015-12-13	47
2015-12-14	33
2015-12-15	28
2015-12-16	31
2015-12-17	21
2015-12-18	32
2015-12-19	33
2015-12-20	35
2015-12-21	30
2015-12-22	42
2015-12-23	25
2015-12-24	44
2015-12-25	22
2015-12-26	40
2015-12-27	40
2015-12-28	53
2015-12-29	16
2015-12-30	38
2015-12-31	23
2016-01-01	29
2016-01-02	19
2016-01-03	48
2016-01-04	41
2016-01-05	45
2016-01-06	36
2016-01-07	35
2016-01-08	41
2016-01-09	83
2016-01-10	107
2016-01-11	120
2016-01-12	53
2016-01-13	71
2016-01-14	83
2016-01-15	32
2016-01-16	78
2016-01-17	96
2016-01-18	67
2016-01-19	52
2016-01-20	28
2016-01-21	44
2016-01-22	37
2016-01-23	67
2016-01-24	117
2016-01-25	56
2016-01-26	52
2016-01-27	57
2016-01-28	95
2016-01-29	81
2016-01-30	94
2016-01-31	70
2016-02-01	5
2016-02-02	2
2016-02-03	7
2016-02-04	6
2016-02-05	4
2016-02-06	5
2016-02-07	7
2016-02-08	8
2016-02-09	5
2016-02-10	2
2016-02-11	7
2016-02-12	5
2016-02-13	2
2016-02-14	4
2016-02-15	12
2016-02-16	6
2016-02-17	4
2016-02-18	5
2016-02-19	9
2016-02-20	9
2016-02-21	12
2016-02-22	9
2016-02-23	5
2016-02-24	11
2016-02-25	10
2016-02-26	11
2016-02-27	11
2016-02-28	8
2016-02-29	4
2016-03-01	6
2016-03-02	6
2016-03-03	4
2016-03-04	9
2016-03-05	6
2016-03-06	10
2016-03-07	13
2016-03-08	11
2016-03-09	8
2016-03-10	5
2016-03-11	31
2016-03-12	5
2016-03-13	2
2016-03-14	8
2016-03-15	9
2016-03-16	8
2016-03-17	6
2016-03-18	8
2016-03-19	6
2016-03-20	7
2016-03-21	5
2016-03-22	13
2016-03-23	1
2016-03-24	6
2016-03-25	4
2016-03-26	6
2016-03-27	8
2016-03-28	17
2016-03-29	8
2016-03-30	6
2016-03-31	7
2016-04-01	7
2016-04-02	2
2016-04-03	6
2016-04-04	4
2016-04-05	6
2016-04-06	1
2016-04-07	9
2016-04-08	5
2016-04-09	3
2016-04-10	4
2016-04-11	4
2016-04-12	7
2016-04-13	10
2016-04-14	7
2016-04-15	5
2016-04-16	10
2016-04-17	7
2016-04-18	10
2016-04-19	3
2016-04-20	6
2016-04-21	2
2016-04-22	5
2016-04-23	1
2016-04-24	7
2016-04-25	9
2016-04-26	6
2016-04-27	9
2016-04-28	4
2016-04-29	4
2016-04-30	5
2016-05-01	7
2016-05-02	7
2016-05-03	3
2016-05-04	11
2016-05-05	8
2016-05-06	2
2016-05-07	6
2016-05-08	1
2016-05-09	6
2016-05-10	1
2016-05-11	7
2016-05-12	5
2016-05-13	4
2016-05-14	7
2016-05-15	12
2016-05-16	14
2016-05-17	5
2016-05-18	11
2016-05-19	5
2016-05-20	3
2016-05-21	3
2016-05-22	9
2016-05-23	7
2016-05-24	10
2016-05-25	7
2016-05-26	2
2016-05-27	6
2016-05-28	11
2016-05-29	3
2016-05-30	3
2016-05-31	9
