date	freq
2015-06-01	280
2015-06-02	289
2015-06-03	273
2015-06-04	249
2015-06-05	275
2015-06-06	280
2015-06-07	233
2015-06-08	328
2015-06-09	289
2015-06-10	277
2015-06-11	289
2015-06-12	242
2015-06-13	237
2015-06-14	265
2015-06-15	255
2015-06-16	276
2015-06-17	210
2015-06-18	280
2015-06-19	248
2015-06-20	255
2015-06-21	267
2015-06-22	281
2015-06-23	336
2015-06-24	249
2015-06-25	284
2015-06-26	265
2015-06-27	277
2015-06-28	262
2015-06-29	276
2015-06-30	279
2015-07-01	259
2015-07-02	292
2015-07-03	278
2015-07-04	252
2015-07-05	262
2015-07-06	273
2015-07-07	259
2015-07-08	222
2015-07-09	294
2015-07-10	253
2015-07-11	262
2015-07-12	278
2015-07-13	288
2015-07-14	343
2015-07-15	321
2015-07-16	322
2015-07-17	278
2015-07-18	253
2015-07-19	235
2015-07-20	258
2015-07-21	259
2015-07-22	278
2015-07-23	244
2015-07-24	258
2015-07-25	255
2015-07-26	265
2015-07-27	369
2015-07-28	320
2015-07-29	292
2015-07-30	285
2015-07-31	260
2015-08-01	291
2015-08-02	249
2015-08-03	247
2015-08-04	210
2015-08-05	236
2015-08-06	248
2015-08-07	280
2015-08-08	225
2015-08-09	233
2015-08-10	227
2015-08-11	242
2015-08-12	219
2015-08-13	214
2015-08-14	223
2015-08-15	207
2015-08-16	230
2015-08-17	212
2015-08-18	276
2015-08-19	233
2015-08-20	243
2015-08-21	245
2015-08-22	211
2015-08-23	259
2015-08-24	235
2015-08-25	259
2015-08-26	253
2015-08-27	258
2015-08-28	270
2015-08-29	278
2015-08-30	281
2015-08-31	242
2015-09-01	307
2015-09-02	246
2015-09-03	245
2015-09-04	268
2015-09-05	275
2015-09-06	242
2015-09-07	256
2015-09-08	277
2015-09-09	302
2015-09-10	291
2015-09-11	294
2015-09-12	236
2015-09-13	289
2015-09-14	291
2015-09-15	261
2015-09-16	282
2015-09-17	257
2015-09-18	258
2015-09-19	238
2015-09-20	245
2015-09-21	241
2015-09-22	249
2015-09-23	236
2015-09-24	259
2015-09-25	239
2015-09-26	239
2015-09-27	271
2015-09-28	261
2015-09-29	216
2015-09-30	252
2015-10-01	273
2015-10-02	208
2015-10-03	202
2015-10-04	242
2015-10-05	220
2015-10-06	244
2015-10-07	293
2015-10-08	263
2015-10-09	249
2015-10-10	254
2015-10-11	265
2015-10-12	241
2015-10-13	274
2015-10-14	275
2015-10-15	264
2015-10-16	242
2015-10-17	250
2015-10-18	264
2015-10-19	279
2015-10-20	264
2015-10-21	229
2015-10-22	219
2015-10-23	291
2015-10-24	261
2015-10-25	253
2015-10-26	259
2015-10-27	297
2015-10-28	274
2015-10-29	239
2015-10-30	254
2015-10-31	282
2015-11-01	247
2015-11-02	294
2015-11-03	274
2015-11-04	255
2015-11-05	284
2015-11-06	293
2015-11-07	254
2015-11-08	254
2015-11-09	273
2015-11-10	260
2015-11-11	248
2015-11-12	229
2015-11-13	229
2015-11-14	248
2015-11-15	259
2015-11-16	245
2015-11-17	259
2015-11-18	254
2015-11-19	221
2015-11-20	266
2015-11-21	210
2015-11-22	233
2015-11-23	250
2015-11-24	251
2015-11-25	256
2015-11-26	252
2015-11-27	229
2015-11-28	260
2015-11-29	255
2015-11-30	251
2015-12-01	289
2015-12-02	237
2015-12-03	252
2015-12-04	272
2015-12-05	251
2015-12-06	250
2015-12-07	237
2015-12-08	277
2015-12-09	249
2015-12-10	276
2015-12-11	237
2015-12-12	269
2015-12-13	259
2015-12-14	255
2015-12-15	278
2015-12-16	230
2015-12-17	254
2015-12-18	225
2015-12-19	262
2015-12-20	219
2015-12-21	271
2015-12-22	248
2015-12-23	215
2015-12-24	234
2015-12-25	206
2015-12-26	205
2015-12-27	194
2015-12-28	212
2015-12-29	200
2015-12-30	186
2015-12-31	227
2016-01-01	145
2016-01-02	152
2016-01-03	185
2016-01-04	218
2016-01-05	224
2016-01-06	279
2016-01-07	242
2016-01-08	234
2016-01-09	217
2016-01-10	221
2016-01-11	298
2016-01-12	219
2016-01-13	219
2016-01-14	248
2016-01-15	245
2016-01-16	228
2016-01-17	247
2016-01-18	302
2016-01-19	253
2016-01-20	230
2016-01-21	211
2016-01-22	227
2016-01-23	220
2016-01-24	239
2016-01-25	285
2016-01-26	264
2016-01-27	239
2016-01-28	245
2016-01-29	284
2016-01-30	269
2016-01-31	249
2016-02-01	249
2016-02-02	241
2016-02-03	274
2016-02-04	234
2016-02-05	252
2016-02-06	247
2016-02-07	274
2016-02-08	248
2016-02-09	269
2016-02-10	213
2016-02-11	240
2016-02-12	216
2016-02-13	234
2016-02-14	250
2016-02-15	233
2016-02-16	243
2016-02-17	252
2016-02-18	245
2016-02-19	237
2016-02-20	263
2016-02-21	251
2016-02-22	263
2016-02-23	219
2016-02-24	212
2016-02-25	228
2016-02-26	227
2016-02-27	196
