date	freq
2015-06-01	111
2015-06-02	74
2015-06-03	146
2015-06-04	161
2015-06-05	146
2015-06-06	140
2015-06-07	129
2015-06-08	129
2015-06-09	57
2015-06-10	70
2015-06-11	118
2015-06-12	109
2015-06-13	125
2015-06-14	100
2015-06-15	108
2015-06-16	104
2015-06-17	83
2015-06-18	109
2015-06-19	114
2015-06-20	159
2015-06-21	122
2015-06-22	113
2015-06-23	90
2015-06-24	117
2015-06-25	123
2015-06-26	123
2015-06-27	134
2015-06-28	100
2015-06-29	114
2015-06-30	102
2015-07-01	110
2015-07-02	111
2015-07-03	141
2015-07-04	120
2015-07-05	123
2015-07-06	94
2015-07-07	101
2015-07-08	93
2015-07-09	101
2015-07-10	84
2015-07-11	113
2015-07-12	122
2015-07-13	102
2015-07-14	114
2015-07-15	88
2015-07-16	112
2015-07-17	85
2015-07-18	100
2015-07-19	121
2015-07-20	125
2015-07-21	138
2015-07-22	139
2015-07-23	133
2015-07-24	225
2015-07-25	120
2015-07-26	127
2015-07-27	127
2015-07-28	107
2015-07-29	143
2015-07-30	116
2015-07-31	151
2015-08-01	97
2015-08-02	123
2015-08-03	152
2015-08-04	103
2015-08-05	136
2015-08-06	102
2015-08-07	123
2015-08-08	137
2015-08-09	117
2015-08-10	120
2015-08-11	116
2015-08-12	91
2015-08-13	112
2015-08-14	90
2015-08-15	108
2015-08-16	77
2015-08-17	98
2015-08-18	118
2015-08-19	121
2015-08-20	114
2015-08-21	102
2015-08-22	117
2015-08-23	134
2015-08-24	96
2015-08-25	86
2015-08-26	1001
2015-08-27	1803
2015-08-28	1475
2015-08-29	1283
2015-08-30	1301
2015-08-31	1245
2015-09-01	928
2015-09-02	77
2015-09-03	136
2015-09-04	130
2015-09-05	117
2015-09-06	108
2015-09-07	76
2015-09-08	85
2015-09-09	112
2015-09-10	90
2015-09-11	106
2015-09-12	118
2015-09-13	145
2015-09-14	125
2015-09-15	92
2015-09-16	77
2015-09-17	101
2015-09-18	95
2015-09-19	133
2015-09-20	110
2015-09-21	122
