date	freq
2015-06-01	55
2015-06-02	50
2015-06-03	41
2015-06-04	31
2015-06-05	44
2015-06-06	51
2015-06-07	69
2015-06-08	67
2015-06-09	48
2015-06-10	42
2015-06-11	57
2015-06-12	38
2015-06-13	56
2015-06-14	80
2015-06-15	57
2015-06-16	57
2015-06-17	52
2015-06-18	41
2015-06-19	38
2015-06-20	47
2015-06-21	72
2015-06-22	80
2015-06-23	44
2015-06-24	48
2015-06-25	42
2015-06-26	29
2015-06-27	46
2015-06-28	67
2015-06-29	73
2015-06-30	50
2015-07-01	33
2015-07-02	29
2015-07-03	40
2015-07-04	56
2015-07-05	82
2015-07-06	65
2015-07-07	38
2015-07-08	32
2015-07-09	25
2015-07-10	27
2015-07-11	52
2015-07-12	77
2015-07-13	48
2015-07-14	32
2015-07-15	40
2015-07-16	32
2015-07-17	27
2015-07-18	28
2015-07-19	44
2015-07-20	70
2015-07-21	56
2015-07-22	35
2015-07-23	36
2015-07-24	35
2015-07-25	40
2015-07-26	77
2015-07-27	46
2015-07-28	47
2015-07-29	51
2015-07-30	50
2015-07-31	35
2015-08-01	60
2015-08-02	86
2015-08-03	60
2015-08-04	46
2015-08-05	44
2015-08-06	53
2015-08-07	44
2015-08-08	42
2015-08-09	56
2015-08-10	53
2015-08-11	56
2015-08-12	42
2015-08-13	56
2015-08-14	53
2015-08-15	58
2015-08-16	57
2015-08-17	60
2015-08-18	39
2015-08-19	48
2015-08-20	36
2015-08-21	42
2015-08-22	69
2015-08-23	75
2015-08-24	52
2015-08-25	31
2015-08-26	28
2015-08-27	39
2015-08-28	40
2015-08-29	91
2015-08-30	117
2015-08-31	63
2015-09-01	48
2015-09-02	32
2015-09-03	37
2015-09-04	45
2015-09-05	63
2015-09-06	95
2015-09-07	48
2015-09-08	50
2015-09-09	46
2015-09-10	31
2015-09-11	43
2015-09-12	47
2015-09-13	67
2015-09-14	64
2015-09-15	58
2015-09-16	65
2015-09-17	40
2015-09-18	44
2015-09-19	55
2015-09-20	73
2015-09-21	97
2015-09-22	100
2015-09-23	85
2015-09-24	67
2015-09-25	62
2015-09-26	46
2015-09-27	83
2015-09-28	66
2015-09-29	41
2015-09-30	49
2015-10-01	39
2015-10-02	39
2015-10-03	55
2015-10-04	86
2015-10-05	55
2015-10-06	52
2015-10-07	40
2015-10-08	38
2015-10-09	42
2015-10-10	67
2015-10-11	79
2015-10-12	87
2015-10-13	72
2015-10-14	47
2015-10-15	51
2015-10-16	51
2015-10-17	67
2015-10-18	81
2015-10-19	90
2015-10-20	45
2015-10-21	65
2015-10-22	47
2015-10-23	44
2015-10-24	65
2015-10-25	73
2015-10-26	52
2015-10-27	51
2015-10-28	42
2015-10-29	55
2015-10-30	41
2015-10-31	63
2015-11-01	81
2015-11-02	73
2015-11-03	59
2015-11-04	65
2015-11-05	40
2015-11-06	55
2015-11-07	71
2015-11-08	52
2015-11-09	62
2015-11-10	37
2015-11-11	57
2015-11-12	47
2015-11-13	42
2015-11-14	46
2015-11-15	65
2015-11-16	56
2015-11-17	61
2015-11-18	46
2015-11-19	41
2015-11-20	50
2015-11-21	69
2015-11-22	84
2015-11-23	101
2015-11-24	53
2015-11-25	48
2015-11-26	41
2015-11-27	45
2015-11-28	54
