date	freq
2015-06-01	310
2015-06-02	282
2015-06-03	302
2015-06-04	312
2015-06-05	280
2015-06-06	271
2015-06-07	286
2015-06-08	300
2015-06-09	255
2015-06-10	287
2015-06-11	308
2015-06-12	291
2015-06-13	254
2015-06-14	330
2015-06-15	325
2015-06-16	301
2015-06-17	313
2015-06-18	313
2015-06-19	264
2015-06-20	305
2015-06-21	283
2015-06-22	274
2015-06-23	284
2015-06-24	269
2015-06-25	263
2015-06-26	268
2015-06-27	269
2015-06-28	287
2015-06-29	260
2015-06-30	250
2015-07-01	269
2015-07-02	257
2015-07-03	279
2015-07-04	281
2015-07-05	245
2015-07-06	271
2015-07-07	239
2015-07-08	299
2015-07-09	250
2015-07-10	262
2015-07-11	240
2015-07-12	258
2015-07-13	230
2015-07-14	225
2015-07-15	214
2015-07-16	235
2015-07-17	255
2015-07-18	219
2015-07-19	224
2015-07-20	246
2015-07-21	228
2015-07-22	232
2015-07-23	213
2015-07-24	208
2015-07-25	220
2015-07-26	210
2015-07-27	212
2015-07-28	230
2015-07-29	225
2015-07-30	232
2015-07-31	223
2015-08-01	192
2015-08-02	234
2015-08-03	230
2015-08-04	235
2015-08-05	243
2015-08-06	203
2015-08-07	191
2015-08-08	209
2015-08-09	233
2015-08-10	210
2015-08-11	253
2015-08-12	200
2015-08-13	232
2015-08-14	216
2015-08-15	183
2015-08-16	215
2015-08-17	222
2015-08-18	249
2015-08-19	262
2015-08-20	234
2015-08-21	225
2015-08-22	206
2015-08-23	263
2015-08-24	259
2015-08-25	205
2015-08-26	219
2015-08-27	280
2015-08-28	229
2015-08-29	245
2015-08-30	246
2015-08-31	242
2015-09-01	229
2015-09-02	266
2015-09-03	269
2015-09-04	250
2015-09-05	240
2015-09-06	255
2015-09-07	297
2015-09-08	263
2015-09-09	249
2015-09-10	233
2015-09-11	245
2015-09-12	232
2015-09-13	221
2015-09-14	250
2015-09-15	240
2015-09-16	246
2015-09-17	275
2015-09-18	256
2015-09-19	222
2015-09-20	235
2015-09-21	243
2015-09-22	228
2015-09-23	254
2015-09-24	224
2015-09-25	282
2015-09-26	247
2015-09-27	256
2015-09-28	238
2015-09-29	196
2015-09-30	253
2015-10-01	228
2015-10-02	212
2015-10-03	226
2015-10-04	250
2015-10-05	244
2015-10-06	244
2015-10-07	237
2015-10-08	213
2015-10-09	212
2015-10-10	252
2015-10-11	239
2015-10-12	264
2015-10-13	279
2015-10-14	233
2015-10-15	252
2015-10-16	267
2015-10-17	226
2015-10-18	260
2015-10-19	253
2015-10-20	246
2015-10-21	254
2015-10-22	241
2015-10-23	202
2015-10-24	244
2015-10-25	236
2015-10-26	222
2015-10-27	271
2015-10-28	272
2015-10-29	265
2015-10-30	285
2015-10-31	216
2015-11-01	238
2015-11-02	250
2015-11-03	238
2015-11-04	230
2015-11-05	244
2015-11-06	258
2015-11-07	240
2015-11-08	285
2015-11-09	239
2015-11-10	224
2015-11-11	223
2015-11-12	221
2015-11-13	260
2015-11-14	253
2015-11-15	257
2015-11-16	264
2015-11-17	246
2015-11-18	271
2015-11-19	231
2015-11-20	219
2015-11-21	233
2015-11-22	224
2015-11-23	260
2015-11-24	293
2015-11-25	242
2015-11-26	224
2015-11-27	224
2015-11-28	219
2015-11-29	217
2015-11-30	242
2015-12-01	208
2015-12-02	220
2015-12-03	211
2015-12-04	218
2015-12-05	209
2015-12-06	209
2015-12-07	222
2015-12-08	225
2015-12-09	229
2015-12-10	205
2015-12-11	236
2015-12-12	212
2015-12-13	213
2015-12-14	195
2015-12-15	220
2015-12-16	228
2015-12-17	212
2015-12-18	175
2015-12-19	161
2015-12-20	220
2015-12-21	202
2015-12-22	183
2015-12-23	246
2015-12-24	274
2015-12-25	300
2015-12-26	260
2015-12-27	226
2015-12-28	198
2015-12-29	206
2015-12-30	192
2015-12-31	176
2016-01-01	87
2016-01-02	124
2016-01-03	159
2016-01-04	160
2016-01-05	190
2016-01-06	193
2016-01-07	204
2016-01-08	182
2016-01-09	198
2016-01-10	213
2016-01-11	224
2016-01-12	162
2016-01-13	177
2016-01-14	231
2016-01-15	208
2016-01-16	194
2016-01-17	216
2016-01-18	231
2016-01-19	209
2016-01-20	185
2016-01-21	206
2016-01-22	211
2016-01-23	199
2016-01-24	188
2016-01-25	228
2016-01-26	259
2016-01-27	238
2016-01-28	239
2016-01-29	260
2016-01-30	238
2016-01-31	250
2016-02-01	228
2016-02-02	271
2016-02-03	258
2016-02-04	271
2016-02-05	264
2016-02-06	271
2016-02-07	286
2016-02-08	272
2016-02-09	279
2016-02-10	240
2016-02-11	260
2016-02-12	248
2016-02-13	251
2016-02-14	291
2016-02-15	237
2016-02-16	240
2016-02-17	236
2016-02-18	207
2016-02-19	241
2016-02-20	261
2016-02-21	263
2016-02-22	327
2016-02-23	298
2016-02-24	262
2016-02-25	246
2016-02-26	242
2016-02-27	210
2016-02-28	240
2016-02-29	210
2016-03-01	202
2016-03-02	212
2016-03-03	180
2016-03-04	184
2016-03-05	195
2016-03-06	224
2016-03-07	194
2016-03-08	200
2016-03-09	181
2016-03-10	204
2016-03-11	168
2016-03-12	171
2016-03-13	228
2016-03-14	194
2016-03-15	228
2016-03-16	204
2016-03-17	176
2016-03-18	181
2016-03-19	150
2016-03-20	200
2016-03-21	206
2016-03-22	202
2016-03-23	201
2016-03-24	162
2016-03-25	174
2016-03-26	183
2016-03-27	192
2016-03-28	194
2016-03-29	210
2016-03-30	202
2016-03-31	187
2016-04-01	185
2016-04-02	175
2016-04-03	210
2016-04-04	196
2016-04-05	209
2016-04-06	204
2016-04-07	228
2016-04-08	209
2016-04-09	238
2016-04-10	264
2016-04-11	246
2016-04-12	223
2016-04-13	234
2016-04-14	201
2016-04-15	182
2016-04-16	163
2016-04-17	184
2016-04-18	201
2016-04-19	205
2016-04-20	198
2016-04-21	241
2016-04-22	214
2016-04-23	210
2016-04-24	233
2016-04-25	230
2016-04-26	229
2016-04-27	247
2016-04-28	224
2016-04-29	210
2016-04-30	227
2016-05-01	216
2016-05-02	252
