date	freq
2015-06-01	122
2015-06-02	83
2015-06-03	101
2015-06-04	97
2015-06-05	124
2015-06-06	115
2015-06-07	144
2015-06-08	114
2015-06-09	114
2015-06-10	97
2015-06-11	107
2015-06-12	81
2015-06-13	97
2015-06-14	114
2015-06-15	120
2015-06-16	86
2015-06-17	114
2015-06-18	114
2015-06-19	101
2015-06-20	137
2015-06-21	139
2015-06-22	128
2015-06-23	122
2015-06-24	109
2015-06-25	75
2015-06-26	97
2015-06-27	114
2015-06-28	103
2015-06-29	117
2015-06-30	99
2015-07-01	104
2015-07-02	86
2015-07-03	90
2015-07-04	139
2015-07-05	107
2015-07-06	92
2015-07-07	89
2015-07-08	84
2015-07-09	115
2015-07-10	104
2015-07-11	88
2015-07-12	119
2015-07-13	92
2015-07-14	98
2015-07-15	69
2015-07-16	81
2015-07-17	110
2015-07-18	103
2015-07-19	101
2015-07-20	122
2015-07-21	93
2015-07-22	145
2015-07-23	101
2015-07-24	90
2015-07-25	104
2015-07-26	146
2015-07-27	109
2015-07-28	75
2015-07-29	115
2015-07-30	94
2015-07-31	114
2015-08-01	95
2015-08-02	121
2015-08-03	102
2015-08-04	89
2015-08-05	79
2015-08-06	85
2015-08-07	106
2015-08-08	101
2015-08-09	84
2015-08-10	93
2015-08-11	132
2015-08-12	87
2015-08-13	90
2015-08-14	80
2015-08-15	92
2015-08-16	115
2015-08-17	158
2015-08-18	133
2015-08-19	123
2015-08-20	97
2015-08-21	121
2015-08-22	147
2015-08-23	108
2015-08-24	112
2015-08-25	89
2015-08-26	127
2015-08-27	110
2015-08-28	107
2015-08-29	107
2015-08-30	104
2015-08-31	110
2015-09-01	105
2015-09-02	74
2015-09-03	104
2015-09-04	103
2015-09-05	133
2015-09-06	118
2015-09-07	93
2015-09-08	94
2015-09-09	93
2015-09-10	87
2015-09-11	93
2015-09-12	82
2015-09-13	96
2015-09-14	99
2015-09-15	102
2015-09-16	96
2015-09-17	84
2015-09-18	92
2015-09-19	89
2015-09-20	103
2015-09-21	88
2015-09-22	106
2015-09-23	100
2015-09-24	117
2015-09-25	106
2015-09-26	114
2015-09-27	118
2015-09-28	95
2015-09-29	111
2015-09-30	130
2015-10-01	122
2015-10-02	122
2015-10-03	114
2015-10-04	137
2015-10-05	122
