date	freq
2015-06-01	231
2015-06-02	283
2015-06-03	243
2015-06-04	240
2015-06-05	235
2015-06-06	170
2015-06-07	181
2015-06-08	216
2015-06-09	171
2015-06-10	179
2015-06-11	116
2015-06-12	162
2015-06-13	145
2015-06-14	216
2015-06-15	173
2015-06-16	184
2015-06-17	132
2015-06-18	117
2015-06-19	116
2015-06-20	118
2015-06-21	120
2015-06-22	128
2015-06-23	110
2015-06-24	127
2015-06-25	140
2015-06-26	173
2015-06-27	146
2015-06-28	178
2015-06-29	128
2015-06-30	90
2015-07-01	124
2015-07-02	111
2015-07-03	131
2015-07-04	190
2015-07-05	170
2015-07-06	158
2015-07-07	138
2015-07-08	148
2015-07-09	141
2015-07-10	135
2015-07-11	132
2015-07-12	128
2015-07-13	111
2015-07-14	100
2015-07-15	127
2015-07-16	177
2015-07-17	111
2015-07-18	86
2015-07-19	106
2015-07-20	88
2015-07-21	126
2015-07-22	127
2015-07-23	208
2015-07-24	128
2015-07-25	101
2015-07-26	113
2015-07-27	98
2015-07-28	109
2015-07-29	233
2015-07-30	102
2015-07-31	103
2015-08-01	120
2015-08-02	89
2015-08-03	86
2015-08-04	105
2015-08-05	136
2015-08-06	105
2015-08-07	117
2015-08-08	117
2015-08-09	111
2015-08-10	130
2015-08-11	115
2015-08-12	89
2015-08-13	97
2015-08-14	98
2015-08-15	125
2015-08-16	95
2015-08-17	113
2015-08-18	108
2015-08-19	138
2015-08-20	108
2015-08-21	115
2015-08-22	105
2015-08-23	129
2015-08-24	96
2015-08-25	187
2015-08-26	146
2015-08-27	97
2015-08-28	109
2015-08-29	84
2015-08-30	103
2015-08-31	99
2015-09-01	127
2015-09-02	137
2015-09-03	124
2015-09-04	144
2015-09-05	124
2015-09-06	116
2015-09-07	142
2015-09-08	116
2015-09-09	132
2015-09-10	113
2015-09-11	117
2015-09-12	135
2015-09-13	94
2015-09-14	119
2015-09-15	138
2015-09-16	136
2015-09-17	106
2015-09-18	109
2015-09-19	99
2015-09-20	117
2015-09-21	102
2015-09-22	112
2015-09-23	136
2015-09-24	116
2015-09-25	100
2015-09-26	121
2015-09-27	119
2015-09-28	136
2015-09-29	107
2015-09-30	120
2015-10-01	118
2015-10-02	105
2015-10-03	118
2015-10-04	103
2015-10-05	118
2015-10-06	121
2015-10-07	142
2015-10-08	122
2015-10-09	130
2015-10-10	124
2015-10-11	126
2015-10-12	129
2015-10-13	135
2015-10-14	112
2015-10-15	146
2015-10-16	156
2015-10-17	117
2015-10-18	160
2015-10-19	228
2015-10-20	228
2015-10-21	216
2015-10-22	246
2015-10-23	232
2015-10-24	112
2015-10-25	194
2015-10-26	222
2015-10-27	223
2015-10-28	232
2015-10-29	206
2015-10-30	193
2015-10-31	183
2015-11-01	176
2015-11-02	170
2015-11-03	125
2015-11-04	182
2015-11-05	131
2015-11-06	141
2015-11-07	127
2015-11-08	141
2015-11-09	161
2015-11-10	136
2015-11-11	147
2015-11-12	130
2015-11-13	136
2015-11-14	134
2015-11-15	133
2015-11-16	118
2015-11-17	139
2015-11-18	161
2015-11-19	162
2015-11-20	148
2015-11-21	147
2015-11-22	127
2015-11-23	135
2015-11-24	144
2015-11-25	126
2015-11-26	133
2015-11-27	141
2015-11-28	107
2015-11-29	109
2015-11-30	137
2015-12-01	148
2015-12-02	145
2015-12-03	158
2015-12-04	143
2015-12-05	169
2015-12-06	138
2015-12-07	142
2015-12-08	101
2015-12-09	135
2015-12-10	144
2015-12-11	131
2015-12-12	127
2015-12-13	162
2015-12-14	147
2015-12-15	105
2015-12-16	115
2015-12-17	119
2015-12-18	120
2015-12-19	114
2015-12-20	111
2015-12-21	153
2015-12-22	141
2015-12-23	130
2015-12-24	118
2015-12-25	127
2015-12-26	94
2015-12-27	141
2015-12-28	112
2015-12-29	103
2015-12-30	121
2015-12-31	116
2016-01-01	99
2016-01-02	105
2016-01-03	115
2016-01-04	106
2016-01-05	128
2016-01-06	129
2016-01-07	133
2016-01-08	243
2016-01-09	241
2016-01-10	226
2016-01-11	243
2016-01-12	289
2016-01-13	265
2016-01-14	244
