date	freq
2015-06-01	99
2015-06-02	72
2015-06-03	67
2015-06-04	62
2015-06-05	53
2015-06-06	65
2015-06-07	68
2015-06-08	52
2015-06-09	53
2015-06-10	41
2015-06-11	43
2015-06-12	62
2015-06-13	70
2015-06-14	59
2015-06-15	63
2015-06-16	69
2015-06-17	64
2015-06-18	50
2015-06-19	65
2015-06-20	75
2015-06-21	83
2015-06-22	64
2015-06-23	60
2015-06-24	64
2015-06-25	58
2015-06-26	64
2015-06-27	61
2015-06-28	68
2015-06-29	334
2015-06-30	111
2015-07-01	83
2015-07-02	285
2015-07-03	790
2015-07-04	199
2015-07-05	176
2015-07-06	133
2015-07-07	116
2015-07-08	108
2015-07-09	103
2015-07-10	91
2015-07-11	78
2015-07-12	98
2015-07-13	71
2015-07-14	74
2015-07-15	87
2015-07-16	84
2015-07-17	107
2015-07-18	67
2015-07-19	88
2015-07-20	84
2015-07-21	76
2015-07-22	68
2015-07-23	84
2015-07-24	85
2015-07-25	77
2015-07-26	63
2015-07-27	64
2015-07-28	78
2015-07-29	96
2015-07-30	83
2015-07-31	80
2015-08-01	61
2015-08-02	89
2015-08-03	78
2015-08-04	73
2015-08-05	73
2015-08-06	94
2015-08-07	100
2015-08-08	86
2015-08-09	75
2015-08-10	81
2015-08-11	94
2015-08-12	97
2015-08-13	103
2015-08-14	74
2015-08-15	80
2015-08-16	94
2015-08-17	71
2015-08-18	81
2015-08-19	77
2015-08-20	94
2015-08-21	87
2015-08-22	84
2015-08-23	115
2015-08-24	63
2015-08-25	90
2015-08-26	94
2015-08-27	83
2015-08-28	83
2015-08-29	84
2015-08-30	88
2015-08-31	70
2015-09-01	67
2015-09-02	64
2015-09-03	61
2015-09-04	81
2015-09-05	86
2015-09-06	78
2015-09-07	65
2015-09-08	70
2015-09-09	100
2015-09-10	75
2015-09-11	95
2015-09-12	72
2015-09-13	78
2015-09-14	75
2015-09-15	86
2015-09-16	68
2015-09-17	69
2015-09-18	64
2015-09-19	92
2015-09-20	67
2015-09-21	67
2015-09-22	84
2015-09-23	87
2015-09-24	81
2015-09-25	66
2015-09-26	89
2015-09-27	86
2015-09-28	72
2015-09-29	82
2015-09-30	62
2015-10-01	57
2015-10-02	55
2015-10-03	59
2015-10-04	71
2015-10-05	77
2015-10-06	75
2015-10-07	73
2015-10-08	70
2015-10-09	82
2015-10-10	103
2015-10-11	90
2015-10-12	85
2015-10-13	84
2015-10-14	88
2015-10-15	62
2015-10-16	71
2015-10-17	76
2015-10-18	82
2015-10-19	71
2015-10-20	104
2015-10-21	84
2015-10-22	101
2015-10-23	79
2015-10-24	101
2015-10-25	100
2015-10-26	85
2015-10-27	89
2015-10-28	112
2015-10-29	89
2015-10-30	72
2015-10-31	83
2015-11-01	101
2015-11-02	78
2015-11-03	66
2015-11-04	75
2015-11-05	79
2015-11-06	89
2015-11-07	59
2015-11-08	85
2015-11-09	79
2015-11-10	66
2015-11-11	57
2015-11-12	56
2015-11-13	55
2015-11-14	61
2015-11-15	63
2015-11-16	83
2015-11-17	71
2015-11-18	59
2015-11-19	74
2015-11-20	64
2015-11-21	75
2015-11-22	93
2015-11-23	59
2015-11-24	72
2015-11-25	63
2015-11-26	56
2015-11-27	64
2015-11-28	71
2015-11-29	87
2015-11-30	77
2015-12-01	98
2015-12-02	63
2015-12-03	56
2015-12-04	77
2015-12-05	66
2015-12-06	90
2015-12-07	79
2015-12-08	59
2015-12-09	92
2015-12-10	69
2015-12-11	76
2015-12-12	67
2015-12-13	88
2015-12-14	66
2015-12-15	50
2015-12-16	66
2015-12-17	52
2015-12-18	73
2015-12-19	79
2015-12-20	88
2015-12-21	68
2015-12-22	73
2015-12-23	90
2015-12-24	81
2015-12-25	74
2015-12-26	72
2015-12-27	73
2015-12-28	78
2015-12-29	79
2015-12-30	105
2015-12-31	105
2016-01-01	84
2016-01-02	67
2016-01-03	66
2016-01-04	56
2016-01-05	76
2016-01-06	62
2016-01-07	93
2016-01-08	62
2016-01-09	60
2016-01-10	67
2016-01-11	84
2016-01-12	60
2016-01-13	75
2016-01-14	59
2016-01-15	71
2016-01-16	117
2016-01-17	118
2016-01-18	75
2016-01-19	51
2016-01-20	57
2016-01-21	61
2016-01-22	61
2016-01-23	78
2016-01-24	85
2016-01-25	66
2016-01-26	83
2016-01-27	63
2016-01-28	68
2016-01-29	93
2016-01-30	71
2016-01-31	90
2016-02-01	68
2016-02-02	67
2016-02-03	60
2016-02-04	66
2016-02-05	46
2016-02-06	61
2016-02-07	64
2016-02-08	66
2016-02-09	91
2016-02-10	46
2016-02-11	79
2016-02-12	59
2016-02-13	69
2016-02-14	124
2016-02-15	77
2016-02-16	62
2016-02-17	53
2016-02-18	63
2016-02-19	59
2016-02-20	63
2016-02-21	103
2016-02-22	76
2016-02-23	73
2016-02-24	74
2016-02-25	56
2016-02-26	59
2016-02-27	61
2016-02-28	82
2016-02-29	79
2016-03-01	58
2016-03-02	74
2016-03-03	77
2016-03-04	61
2016-03-05	64
2016-03-06	65
2016-03-07	63
2016-03-08	64
2016-03-09	77
2016-03-10	99
2016-03-11	61
2016-03-12	80
2016-03-13	77
2016-03-14	74
2016-03-15	68
2016-03-16	62
2016-03-17	87
2016-03-18	66
2016-03-19	62
2016-03-20	60
2016-03-21	65
2016-03-22	71
2016-03-23	66
2016-03-24	82
2016-03-25	66
2016-03-26	69
2016-03-27	72
2016-03-28	75
2016-03-29	77
2016-03-30	76
2016-03-31	80
2016-04-01	86
2016-04-02	65
2016-04-03	65
2016-04-04	85
2016-04-05	66
2016-04-06	86
2016-04-07	70
2016-04-08	64
2016-04-09	57
2016-04-10	66
2016-04-11	58
2016-04-12	42
2016-04-13	54
2016-04-14	53
2016-04-15	56
2016-04-16	36
2016-04-17	398
2016-04-18	159
2016-04-19	97
2016-04-20	87
2016-04-21	74
2016-04-22	83
2016-04-23	69
2016-04-24	87
2016-04-25	64
2016-04-26	137
2016-04-27	147
2016-04-28	82
2016-04-29	64
2016-04-30	90
2016-05-01	85
2016-05-02	86
2016-05-03	86
2016-05-04	80
2016-05-05	65
2016-05-06	71
2016-05-07	74
2016-05-08	79
2016-05-09	56
2016-05-10	66
2016-05-11	62
2016-05-12	61
2016-05-13	61
2016-05-14	66
2016-05-15	90
2016-05-16	74
2016-05-17	58
2016-05-18	66
2016-05-19	63
2016-05-20	86
2016-05-21	62
2016-05-22	74
2016-05-23	111
2016-05-24	76
2016-05-25	81
2016-05-26	68
2016-05-27	68
2016-05-28	74
2016-05-29	75
2016-05-30	100
2016-05-31	71
