date	freq
2015-06-01	5
2015-06-02	21
2015-06-03	19
2015-06-04	31
2015-06-05	19
2015-06-06	19
2015-06-07	15
2015-06-08	11
2015-06-09	20
2015-06-10	8
2015-06-11	12
2015-06-12	13
2015-06-13	16
2015-06-14	17
2015-06-15	8
2015-06-16	6
2015-06-17	14
2015-06-18	14
2015-06-19	18
2015-06-20	11
2015-06-21	7
2015-06-22	11
2015-06-23	7
2015-06-24	6
2015-06-25	13
2015-06-26	27
2015-06-27	9
2015-06-28	11
2015-06-29	11
2015-06-30	9
2015-07-01	18
2015-07-02	19
2015-07-03	12
2015-07-04	20
2015-07-05	12
2015-07-06	13
2015-07-07	6
2015-07-08	8
2015-07-09	8
2015-07-10	13
2015-07-11	22
2015-07-12	19
2015-07-13	17
2015-07-14	14
2015-07-15	19
2015-07-16	13
2015-07-17	12
2015-07-18	8
2015-07-19	18
2015-07-20	8
2015-07-21	15
2015-07-22	17
2015-07-23	10
2015-07-24	9
2015-07-25	13
2015-07-26	11
2015-07-27	12
2015-07-28	18
2015-07-29	11
2015-07-30	9
2015-07-31	6
2015-08-01	6
2015-08-02	11
2015-08-03	7
2015-08-04	5
2015-08-05	4
2015-08-06	9
2015-08-07	8
2015-08-08	6
2015-08-09	14
2015-08-10	22
2015-08-11	18
2015-08-12	10
2015-08-13	9
2015-08-14	5
2015-08-15	11
2015-08-16	5
2015-08-17	11
2015-08-18	6
2015-08-19	13
2015-08-20	18
2015-08-21	15
2015-08-22	11
2015-08-23	4
2015-08-24	12
2015-08-25	9
2015-08-26	14
2015-08-27	12
2015-08-28	6
2015-08-29	9
2015-08-30	6
2015-08-31	7
2015-09-01	10
2015-09-02	12
2015-09-03	10
2015-09-04	12
2015-09-05	11
2015-09-06	22
2015-09-07	15
2015-09-08	15
2015-09-09	17
2015-09-10	7
2015-09-11	20
2015-09-12	18
2015-09-13	14
2015-09-14	13
2015-09-15	8
2015-09-16	14
2015-09-17	12
2015-09-18	8
2015-09-19	5
2015-09-20	9
2015-09-21	4
2015-09-22	12
2015-09-23	9
2015-09-24	5
2015-09-25	12
2015-09-26	10
2015-09-27	4
2015-09-28	8
2015-09-29	6
2015-09-30	9
2015-10-01	10
2015-10-02	7
2015-10-03	6
2015-10-04	1
2015-10-05	5
2015-10-06	6
2015-10-07	7
2015-10-08	10
2015-10-09	6
2015-10-10	5
2015-10-11	11
2015-10-12	13
2015-10-13	12
2015-10-14	9
2015-10-15	15
2015-10-16	5
2015-10-17	4
2015-10-18	6
2015-10-19	12
2015-10-20	6
2015-10-21	10
2015-10-22	4
2015-10-23	6
2015-10-24	8
2015-10-25	7
2015-10-26	5
2015-10-27	8
2015-10-28	14
2015-10-29	13
2015-10-30	10
2015-10-31	11
2015-11-01	10
2015-11-02	16
2015-11-03	11
2015-11-04	6
2015-11-05	13
2015-11-06	11
2015-11-07	13
2015-11-08	6
2015-11-09	7
2015-11-10	20
2015-11-11	24
2015-11-12	17
2015-11-13	21
2015-11-14	14
2015-11-15	13
2015-11-16	24
2015-11-17	17
2015-11-18	22
2015-11-19	18
2015-11-20	8
