date	freq
2015-06-01	66
2015-06-02	87
2015-06-03	96
2015-06-04	68
2015-06-05	95
2015-06-06	81
2015-06-07	64
2015-06-08	83
2015-06-09	67
2015-06-10	97
2015-06-11	87
2015-06-12	84
2015-06-13	85
2015-06-14	63
2015-06-15	74
2015-06-16	84
2015-06-17	105
2015-06-18	86
2015-06-19	78
2015-06-20	83
2015-06-21	88
2015-06-22	86
2015-06-23	107
2015-06-24	86
2015-06-25	88
2015-06-26	62
2015-06-27	58
2015-06-28	74
2015-06-29	92
2015-06-30	78
2015-07-01	91
2015-07-02	95
2015-07-03	86
2015-07-04	77
2015-07-05	65
2015-07-06	80
2015-07-07	73
2015-07-08	96
2015-07-09	102
2015-07-10	82
2015-07-11	72
2015-07-12	71
2015-07-13	74
2015-07-14	74
2015-07-15	81
2015-07-16	80
2015-07-17	82
2015-07-18	77
2015-07-19	56
2015-07-20	67
2015-07-21	60
2015-07-22	81
2015-07-23	85
2015-07-24	90
2015-07-25	58
2015-07-26	52
2015-07-27	58
2015-07-28	66
2015-07-29	66
2015-07-30	54
2015-07-31	71
2015-08-01	55
2015-08-02	70
2015-08-03	70
2015-08-04	80
2015-08-05	64
2015-08-06	67
2015-08-07	74
2015-08-08	56
2015-08-09	56
2015-08-10	75
2015-08-11	63
2015-08-12	71
2015-08-13	69
2015-08-14	59
2015-08-15	50
2015-08-16	55
2015-08-17	64
2015-08-18	63
2015-08-19	67
2015-08-20	88
2015-08-21	63
2015-08-22	58
2015-08-23	59
2015-08-24	62
2015-08-25	70
2015-08-26	59
2015-08-27	75
2015-08-28	62
2015-08-29	55
2015-08-30	76
2015-08-31	71
2015-09-01	74
2015-09-02	60
2015-09-03	78
2015-09-04	75
2015-09-05	64
2015-09-06	78
2015-09-07	79
2015-09-08	82
2015-09-09	85
2015-09-10	96
2015-09-11	84
2015-09-12	68
2015-09-13	74
2015-09-14	80
2015-09-15	80
2015-09-16	95
2015-09-17	96
2015-09-18	86
2015-09-19	48
2015-09-20	71
2015-09-21	70
2015-09-22	76
2015-09-23	70
2015-09-24	59
2015-09-25	65
2015-09-26	45
2015-09-27	48
2015-09-28	64
2015-09-29	76
2015-09-30	77
2015-10-01	77
2015-10-02	66
2015-10-03	75
2015-10-04	69
2015-10-05	84
2015-10-06	88
2015-10-07	63
2015-10-08	95
2015-10-09	85
2015-10-10	55
2015-10-11	66
2015-10-12	76
2015-10-13	64
2015-10-14	65
2015-10-15	72
2015-10-16	75
2015-10-17	75
2015-10-18	66
2015-10-19	73
2015-10-20	65
2015-10-21	70
2015-10-22	82
2015-10-23	85
2015-10-24	70
2015-10-25	66
2015-10-26	61
2015-10-27	69
2015-10-28	94
2015-10-29	98
2015-10-30	79
2015-10-31	83
2015-11-01	61
2015-11-02	87
2015-11-03	72
2015-11-04	68
2015-11-05	110
2015-11-06	84
2015-11-07	76
2015-11-08	73
2015-11-09	67
2015-11-10	74
2015-11-11	75
2015-11-12	84
2015-11-13	65
2015-11-14	70
2015-11-15	69
2015-11-16	80
2015-11-17	87
2015-11-18	67
2015-11-19	76
2015-11-20	73
2015-11-21	70
2015-11-22	55
2015-11-23	90
2015-11-24	71
2015-11-25	72
2015-11-26	76
2015-11-27	79
2015-11-28	79
2015-11-29	54
2015-11-30	67
2015-12-01	76
2015-12-02	64
2015-12-03	72
2015-12-04	56
2015-12-05	50
2015-12-06	68
2015-12-07	83
2015-12-08	63
2015-12-09	75
2015-12-10	70
2015-12-11	66
2015-12-12	68
2015-12-13	72
2015-12-14	83
2015-12-15	73
2015-12-16	62
2015-12-17	67
2015-12-18	59
2015-12-19	46
2015-12-20	46
2015-12-21	53
2015-12-22	78
2015-12-23	60
2015-12-24	53
2015-12-25	44
2015-12-26	52
2015-12-27	53
2015-12-28	50
2015-12-29	48
2015-12-30	55
2015-12-31	83
2016-01-01	35
2016-01-02	37
2016-01-03	66
2016-01-04	56
2016-01-05	63
2016-01-06	55
2016-01-07	69
2016-01-08	77
2016-01-09	71
2016-01-10	70
2016-01-11	64
2016-01-12	64
2016-01-13	66
2016-01-14	76
2016-01-15	70
2016-01-16	63
2016-01-17	83
2016-01-18	64
2016-01-19	91
2016-01-20	71
2016-01-21	78
2016-01-22	70
2016-01-23	66
2016-01-24	65
2016-01-25	68
2016-01-26	83
2016-01-27	97
2016-01-28	78
2016-01-29	59
2016-01-30	54
2016-01-31	62
2016-02-01	77
2016-02-02	61
2016-02-03	79
2016-02-04	59
2016-02-05	66
2016-02-06	56
2016-02-07	52
2016-02-08	69
2016-02-09	77
2016-02-10	69
2016-02-11	89
2016-02-12	81
2016-02-13	66
2016-02-14	76
2016-02-15	72
2016-02-16	66
2016-02-17	68
2016-02-18	67
2016-02-19	83
2016-02-20	77
2016-02-21	56
2016-02-22	71
2016-02-23	71
2016-02-24	75
2016-02-25	74
2016-02-26	61
2016-02-27	73
2016-02-28	72
2016-02-29	71
2016-03-01	58
2016-03-02	78
2016-03-03	67
2016-03-04	74
2016-03-05	80
2016-03-06	66
2016-03-07	69
2016-03-08	62
2016-03-09	91
2016-03-10	70
2016-03-11	69
2016-03-12	52
2016-03-13	51
2016-03-14	56
2016-03-15	58
2016-03-16	60
2016-03-17	61
2016-03-18	44
2016-03-19	46
2016-03-20	46
2016-03-21	55
2016-03-22	58
2016-03-23	75
2016-03-24	78
2016-03-25	52
2016-03-26	51
2016-03-27	62
2016-03-28	63
2016-03-29	67
2016-03-30	73
2016-03-31	68
2016-04-01	69
2016-04-02	83
2016-04-03	69
2016-04-04	86
2016-04-05	56
2016-04-06	65
2016-04-07	83
2016-04-08	68
2016-04-09	75
2016-04-10	69
2016-04-11	71
2016-04-12	59
2016-04-13	76
2016-04-14	74
2016-04-15	77
2016-04-16	63
2016-04-17	65
2016-04-18	79
2016-04-19	71
2016-04-20	67
2016-04-21	83
2016-04-22	83
2016-04-23	82
2016-04-24	75
2016-04-25	70
2016-04-26	71
2016-04-27	64
2016-04-28	67
2016-04-29	71
2016-04-30	65
2016-05-01	57
2016-05-02	65
2016-05-03	61
2016-05-04	65
2016-05-05	72
2016-05-06	69
2016-05-07	74
2016-05-08	93
2016-05-09	94
2016-05-10	82
2016-05-11	88
2016-05-12	102
2016-05-13	85
2016-05-14	81
2016-05-15	75
2016-05-16	67
2016-05-17	98
2016-05-18	111
2016-05-19	115
2016-05-20	111
2016-05-21	130
2016-05-22	134
2016-05-23	98
2016-05-24	94
2016-05-25	98
2016-05-26	84
2016-05-27	99
2016-05-28	76
2016-05-29	96
2016-05-30	107
2016-05-31	93
