date	freq
2015-06-01	76
2015-06-02	97
2015-06-03	87
2015-06-04	75
2015-06-05	90
2015-06-06	77
2015-06-07	70
2015-06-08	85
2015-06-09	78
2015-06-10	92
2015-06-11	92
2015-06-12	79
2015-06-13	64
2015-06-14	70
2015-06-15	87
2015-06-16	87
2015-06-17	83
2015-06-18	75
2015-06-19	70
2015-06-20	97
2015-06-21	75
2015-06-22	84
2015-06-23	66
2015-06-24	84
2015-06-25	74
2015-06-26	61
2015-06-27	73
2015-06-28	64
2015-06-29	80
2015-06-30	70
2015-07-01	61
2015-07-02	80
2015-07-03	66
2015-07-04	83
2015-07-05	79
2015-07-06	74
2015-07-07	77
2015-07-08	76
2015-07-09	83
2015-07-10	63
2015-07-11	71
2015-07-12	86
2015-07-13	61
2015-07-14	85
2015-07-15	72
2015-07-16	62
2015-07-17	59
2015-07-18	69
2015-07-19	49
2015-07-20	65
2015-07-21	80
2015-07-22	75
2015-07-23	91
2015-07-24	66
2015-07-25	66
2015-07-26	71
2015-07-27	59
2015-07-28	64
2015-07-29	67
2015-07-30	80
2015-07-31	62
2015-08-01	56
2015-08-02	68
2015-08-03	55
2015-08-04	66
2015-08-05	64
2015-08-06	70
2015-08-07	63
2015-08-08	65
2015-08-09	67
2015-08-10	57
2015-08-11	66
2015-08-12	72
2015-08-13	65
2015-08-14	64
2015-08-15	55
2015-08-16	69
2015-08-17	70
2015-08-18	57
2015-08-19	60
2015-08-20	58
2015-08-21	71
2015-08-22	49
2015-08-23	58
2015-08-24	58
2015-08-25	66
2015-08-26	77
2015-08-27	54
2015-08-28	54
2015-08-29	56
2015-08-30	67
2015-08-31	73
2015-09-01	69
2015-09-02	54
2015-09-03	89
2015-09-04	68
2015-09-05	66
2015-09-06	66
2015-09-07	83
2015-09-08	71
2015-09-09	80
2015-09-10	63
2015-09-11	50
2015-09-12	68
2015-09-13	79
2015-09-14	83
2015-09-15	69
2015-09-16	60
2015-09-17	62
2015-09-18	82
2015-09-19	72
2015-09-20	61
2015-09-21	59
2015-09-22	54
2015-09-23	81
2015-09-24	59
2015-09-25	74
2015-09-26	64
2015-09-27	71
2015-09-28	66
2015-09-29	70
2015-09-30	106
2015-10-01	76
2015-10-02	76
2015-10-03	65
2015-10-04	71
2015-10-05	77
2015-10-06	79
2015-10-07	82
2015-10-08	69
2015-10-09	62
2015-10-10	80
2015-10-11	77
2015-10-12	84
2015-10-13	71
2015-10-14	68
2015-10-15	62
2015-10-16	82
2015-10-17	55
2015-10-18	61
2015-10-19	81
2015-10-20	70
2015-10-21	79
2015-10-22	70
2015-10-23	63
2015-10-24	67
2015-10-25	60
2015-10-26	78
2015-10-27	87
2015-10-28	69
2015-10-29	81
2015-10-30	71
2015-10-31	74
2015-11-01	73
2015-11-02	88
2015-11-03	67
2015-11-04	77
2015-11-05	62
2015-11-06	71
2015-11-07	66
2015-11-08	81
2015-11-09	69
2015-11-10	66
2015-11-11	84
2015-11-12	56
2015-11-13	71
2015-11-14	79
2015-11-15	76
2015-11-16	80
2015-11-17	78
2015-11-18	68
2015-11-19	65
2015-11-20	55
2015-11-21	69
2015-11-22	73
2015-11-23	66
2015-11-24	66
2015-11-25	70
2015-11-26	68
2015-11-27	61
2015-11-28	73
2015-11-29	78
2015-11-30	60
2015-12-01	57
2015-12-02	72
2015-12-03	93
2015-12-04	86
2015-12-05	64
2015-12-06	72
2015-12-07	68
2015-12-08	67
2015-12-09	69
2015-12-10	67
2015-12-11	64
2015-12-12	50
2015-12-13	82
2015-12-14	65
2015-12-15	67
2015-12-16	63
2015-12-17	78
2015-12-18	62
2015-12-19	54
2015-12-20	71
2015-12-21	63
2015-12-22	61
2015-12-23	72
2015-12-24	63
2015-12-25	74
2015-12-26	70
2015-12-27	57
2015-12-28	62
2015-12-29	58
2015-12-30	50
2015-12-31	54
2016-01-01	31
2016-01-02	37
2016-01-03	40
2016-01-04	48
2016-01-05	61
2016-01-06	60
2016-01-07	60
2016-01-08	71
2016-01-09	70
2016-01-10	57
2016-01-11	73
2016-01-12	67
2016-01-13	50
2016-01-14	57
2016-01-15	63
2016-01-16	68
2016-01-17	70
2016-01-18	83
2016-01-19	72
2016-01-20	52
2016-01-21	67
2016-01-22	75
2016-01-23	69
2016-01-24	61
2016-01-25	68
2016-01-26	50
2016-01-27	69
2016-01-28	68
2016-01-29	69
2016-01-30	70
2016-01-31	75
2016-02-01	76
2016-02-02	93
2016-02-03	81
2016-02-04	78
2016-02-05	84
2016-02-06	60
2016-02-07	68
2016-02-08	82
2016-02-09	74
2016-02-10	69
2016-02-11	80
2016-02-12	76
2016-02-13	90
2016-02-14	113
2016-02-15	97
2016-02-16	75
2016-02-17	85
2016-02-18	77
2016-02-19	57
2016-02-20	57
2016-02-21	66
2016-02-22	51
2016-02-23	54
2016-02-24	68
2016-02-25	83
2016-02-26	65
2016-02-27	51
2016-02-28	84
2016-02-29	82
2016-03-01	72
2016-03-02	77
2016-03-03	78
2016-03-04	78
2016-03-05	74
2016-03-06	73
2016-03-07	76
2016-03-08	97
2016-03-09	108
2016-03-10	55
2016-03-11	75
2016-03-12	63
2016-03-13	65
2016-03-14	61
2016-03-15	72
2016-03-16	66
2016-03-17	75
2016-03-18	46
2016-03-19	51
2016-03-20	54
2016-03-21	89
2016-03-22	61
2016-03-23	53
2016-03-24	61
