date	freq
2015-06-01	28
2015-06-02	31
2015-06-03	21
2015-06-04	27
2015-06-05	27
2015-06-06	29
2015-06-07	17
2015-06-08	27
2015-06-09	21
2015-06-10	25
2015-06-11	31
2015-06-12	25
2015-06-13	24
2015-06-14	19
2015-06-15	30
2015-06-16	18
2015-06-17	27
2015-06-18	35
2015-06-19	44
2015-06-20	34
2015-06-21	35
2015-06-22	40
2015-06-23	21
2015-06-24	36
2015-06-25	42
2015-06-26	20
2015-06-27	24
2015-06-28	33
2015-06-29	18
2015-06-30	18
2015-07-01	21
2015-07-02	27
2015-07-03	33
2015-07-04	30
2015-07-05	24
2015-07-06	16
2015-07-07	17
2015-07-08	22
2015-07-09	22
2015-07-10	15
2015-07-11	29
2015-07-12	31
2015-07-13	37
2015-07-14	24
2015-07-15	23
2015-07-16	27
2015-07-17	17
2015-07-18	19
2015-07-19	24
2015-07-20	11
2015-07-21	16
2015-07-22	27
2015-07-23	20
2015-07-24	18
2015-07-25	24
2015-07-26	12
2015-07-27	23
2015-07-28	15
2015-07-29	17
2015-07-30	15
2015-07-31	18
2015-08-01	23
2015-08-02	20
2015-08-03	27
2015-08-04	22
2015-08-05	19
2015-08-06	18
2015-08-07	22
2015-08-08	22
2015-08-09	22
2015-08-10	23
2015-08-11	24
2015-08-12	32
2015-08-13	25
2015-08-14	18
2015-08-15	22
2015-08-16	23
2015-08-17	50
2015-08-18	29
2015-08-19	34
2015-08-20	51
2015-08-21	43
2015-08-22	41
2015-08-23	27
2015-08-24	31
2015-08-25	24
2015-08-26	24
2015-08-27	37
2015-08-28	28
2015-08-29	21
2015-08-30	36
2015-08-31	28
2015-09-01	39
2015-09-02	42
2015-09-03	42
2015-09-04	40
2015-09-05	30
2015-09-06	58
2015-09-07	44
2015-09-08	39
2015-09-09	41
2015-09-10	44
2015-09-11	41
2015-09-12	49
2015-09-13	43
2015-09-14	47
2015-09-15	42
2015-09-16	52
2015-09-17	33
2015-09-18	53
2015-09-19	41
2015-09-20	46
2015-09-21	35
2015-09-22	50
2015-09-23	29
2015-09-24	36
2015-09-25	51
2015-09-26	36
2015-09-27	32
2015-09-28	38
2015-09-29	53
2015-09-30	38
2015-10-01	28
2015-10-02	34
2015-10-03	36
2015-10-04	43
2015-10-05	39
2015-10-06	44
2015-10-07	35
2015-10-08	50
2015-10-09	37
2015-10-10	35
2015-10-11	46
2015-10-12	44
2015-10-13	57
2015-10-14	50
2015-10-15	27
2015-10-16	38
2015-10-17	48
2015-10-18	47
2015-10-19	46
2015-10-20	49
2015-10-21	49
2015-10-22	33
2015-10-23	43
2015-10-24	41
2015-10-25	48
2015-10-26	40
2015-10-27	33
2015-10-28	34
2015-10-29	38
2015-10-30	47
2015-10-31	44
2015-11-01	44
2015-11-02	32
2015-11-03	44
2015-11-04	24
2015-11-05	69
2015-11-06	26
2015-11-07	30
2015-11-08	46
2015-11-09	46
2015-11-10	29
2015-11-11	24
2015-11-12	30
2015-11-13	27
2015-11-14	24
2015-11-15	29
2015-11-16	38
2015-11-17	32
2015-11-18	34
2015-11-19	29
2015-11-20	31
2015-11-21	28
2015-11-22	26
2015-11-23	23
2015-11-24	30
2015-11-25	21
2015-11-26	29
2015-11-27	21
2015-11-28	32
2015-11-29	23
2015-11-30	20
