date	freq
2015-06-01	154
2015-06-02	186
2015-06-03	132
2015-06-04	169
2015-06-05	162
2015-06-06	134
2015-06-07	115
2015-06-08	54
2015-06-09	137
2015-06-10	109
2015-06-11	105
2015-06-12	147
2015-06-13	303
2015-06-14	168
2015-06-15	133
2015-06-16	136
2015-06-17	163
2015-06-18	156
2015-06-19	133
2015-06-20	196
2015-06-21	208
2015-06-22	160
2015-06-23	131
2015-06-24	349
2015-06-25	123
2015-06-26	142
2015-06-27	147
2015-06-28	179
2015-06-29	138
2015-06-30	118
2015-07-01	153
2015-07-02	132
2015-07-03	140
2015-07-04	127
2015-07-05	210
2015-07-06	201
2015-07-07	123
2015-07-08	128
2015-07-09	106
2015-07-10	117
2015-07-11	170
2015-07-12	95
2015-07-13	82
2015-07-14	131
2015-07-15	106
2015-07-16	108
2015-07-17	410
2015-07-18	351
2015-07-19	106
2015-07-20	121
2015-07-21	128
2015-07-22	193
2015-07-23	172
2015-07-24	108
2015-07-25	121
2015-07-26	103
2015-07-27	108
2015-07-28	97
2015-07-29	106
2015-07-30	109
2015-07-31	108
2015-08-01	95
2015-08-02	94
2015-08-03	196
2015-08-04	102
2015-08-05	99
2015-08-06	75
2015-08-07	121
2015-08-08	109
2015-08-09	96
2015-08-10	121
2015-08-11	125
2015-08-12	93
2015-08-13	98
2015-08-14	95
2015-08-15	121
2015-08-16	110
2015-08-17	114
2015-08-18	165
2015-08-19	100
2015-08-20	122
2015-08-21	94
2015-08-22	122
2015-08-23	115
2015-08-24	116
2015-08-25	109
2015-08-26	204
2015-08-27	128
2015-08-28	143
2015-08-29	124
2015-08-30	117
2015-08-31	110
2015-09-01	119
2015-09-02	118
2015-09-03	109
2015-09-04	208
2015-09-05	145
2015-09-06	145
2015-09-07	116
2015-09-08	171
2015-09-09	108
2015-09-10	114
2015-09-11	150
2015-09-12	157
2015-09-13	123
2015-09-14	87
2015-09-15	90
2015-09-16	110
2015-09-17	92
2015-09-18	103
2015-09-19	112
2015-09-20	125
2015-09-21	132
2015-09-22	150
2015-09-23	146
2015-09-24	98
2015-09-25	197
2015-09-26	142
2015-09-27	114
2015-09-28	115
2015-09-29	127
2015-09-30	229
2015-10-01	135
2015-10-02	109
2015-10-03	104
2015-10-04	119
2015-10-05	112
2015-10-06	125
2015-10-07	137
2015-10-08	105
2015-10-09	115
2015-10-10	126
2015-10-11	153
2015-10-12	118
2015-10-13	110
2015-10-14	111
2015-10-15	111
2015-10-16	117
2015-10-17	138
2015-10-18	116
2015-10-19	126
2015-10-20	113
2015-10-21	98
2015-10-22	109
2015-10-23	117
2015-10-24	156
2015-10-25	140
2015-10-26	95
2015-10-27	114
2015-10-28	109
2015-10-29	101
2015-10-30	137
2015-10-31	115
2015-11-01	106
2015-11-02	115
2015-11-03	132
2015-11-04	128
2015-11-05	96
2015-11-06	153
2015-11-07	122
2015-11-08	117
2015-11-09	106
2015-11-10	96
2015-11-11	80
2015-11-12	95
2015-11-13	449
2015-11-14	154
2015-11-15	102
2015-11-16	101
2015-11-17	95
2015-11-18	100
2015-11-19	107
2015-11-20	116
2015-11-21	112
2015-11-22	115
2015-11-23	111
2015-11-24	103
2015-11-25	85
2015-11-26	104
2015-11-27	95
2015-11-28	145
2015-11-29	123
2015-11-30	109
2015-12-01	105
2015-12-02	131
2015-12-03	89
2015-12-04	85
2015-12-05	131
2015-12-06	120
2015-12-07	335
2015-12-08	169
2015-12-09	186
2015-12-10	152
2015-12-11	148
2015-12-12	155
2015-12-13	117
2015-12-14	152
2015-12-15	106
2015-12-16	131
2015-12-17	165
2015-12-18	126
2015-12-19	131
2015-12-20	125
2015-12-21	141
2015-12-22	113
2015-12-23	141
2015-12-24	145
2015-12-25	132
2015-12-26	133
2015-12-27	100
2015-12-28	86
2015-12-29	115
2015-12-30	119
2015-12-31	169
2016-01-01	116
2016-01-02	100
2016-01-03	105
2016-01-04	138
2016-01-05	125
2016-01-06	99
2016-01-07	122
2016-01-08	92
2016-01-09	120
2016-01-10	90
2016-01-11	123
2016-01-12	113
2016-01-13	109
2016-01-14	104
2016-01-15	113
2016-01-16	103
2016-01-17	252
2016-01-18	145
2016-01-19	86
2016-01-20	115
2016-01-21	86
2016-01-22	107
2016-01-23	138
2016-01-24	164
2016-01-25	133
2016-01-26	157
2016-01-27	135
2016-01-28	165
2016-01-29	164
2016-01-30	167
2016-01-31	166
2016-02-01	119
2016-02-02	116
2016-02-03	134
2016-02-04	137
2016-02-05	161
2016-02-06	118
2016-02-07	133
2016-02-08	131
2016-02-09	176
2016-02-10	128
2016-02-11	154
2016-02-12	113
2016-02-13	143
2016-02-14	215
2016-02-15	143
2016-02-16	110
2016-02-17	122
2016-02-18	94
2016-02-19	119
2016-02-20	140
2016-02-21	129
2016-02-22	155
2016-02-23	119
2016-02-24	106
2016-02-25	102
2016-02-26	101
2016-02-27	107
2016-02-28	126
2016-02-29	143
2016-03-01	117
2016-03-02	133
2016-03-03	81
2016-03-04	113
2016-03-05	103
2016-03-06	101
2016-03-07	109
2016-03-08	119
2016-03-09	94
2016-03-10	88
2016-03-11	91
2016-03-12	109
2016-03-13	156
2016-03-14	101
2016-03-15	128
2016-03-16	122
2016-03-17	142
2016-03-18	116
2016-03-19	147
2016-03-20	117
2016-03-21	162
2016-03-22	133
2016-03-23	130
2016-03-24	99
2016-03-25	92
2016-03-26	113
2016-03-27	118
2016-03-28	115
2016-03-29	118
2016-03-30	126
2016-03-31	111
2016-04-01	112
2016-04-02	101
2016-04-03	109
2016-04-04	106
2016-04-05	98
2016-04-06	104
2016-04-07	114
2016-04-08	122
2016-04-09	89
2016-04-10	114
2016-04-11	173
2016-04-12	129
2016-04-13	111
2016-04-14	122
2016-04-15	91
2016-04-16	95
2016-04-17	112
2016-04-18	304
2016-04-19	172
2016-04-20	128
2016-04-21	147
2016-04-22	142
2016-04-23	155
2016-04-24	158
2016-04-25	137
2016-04-26	117
2016-04-27	126
2016-04-28	103
2016-04-29	119
2016-04-30	142
2016-05-01	123
2016-05-02	122
2016-05-03	107
2016-05-04	91
2016-05-05	189
2016-05-06	184
2016-05-07	118
2016-05-08	113
2016-05-09	131
2016-05-10	124
2016-05-11	134
2016-05-12	83
2016-05-13	109
2016-05-14	116
2016-05-15	96
2016-05-16	75
2016-05-17	111
2016-05-18	107
2016-05-19	119
2016-05-20	118
2016-05-21	127
2016-05-22	108
2016-05-23	116
2016-05-24	87
2016-05-25	118
2016-05-26	386
2016-05-27	919
2016-05-28	284
2016-05-29	216
2016-05-30	133
2016-05-31	143
