date	freq
2015-06-01	70
2015-06-02	109
2015-06-03	82
2015-06-04	90
2015-06-05	98
2015-06-06	95
2015-06-07	117
2015-06-08	116
2015-06-09	94
2015-06-10	102
2015-06-11	95
2015-06-12	91
2015-06-13	90
2015-06-14	103
2015-06-15	98
2015-06-16	87
2015-06-17	98
2015-06-18	98
2015-06-19	106
2015-06-20	80
2015-06-21	118
2015-06-22	92
2015-06-23	114
2015-06-24	91
2015-06-25	99
2015-06-26	94
2015-06-27	88
2015-06-28	80
2015-06-29	122
2015-06-30	105
2015-07-01	96
2015-07-02	78
2015-07-03	86
2015-07-04	91
2015-07-05	89
2015-07-06	75
2015-07-07	88
2015-07-08	70
2015-07-09	78
2015-07-10	73
2015-07-11	79
2015-07-12	87
2015-07-13	80
2015-07-14	95
2015-07-15	70
2015-07-16	69
2015-07-17	63
2015-07-18	74
2015-07-19	71
2015-07-20	68
2015-07-21	92
2015-07-22	66
2015-07-23	79
2015-07-24	60
2015-07-25	75
2015-07-26	69
2015-07-27	61
2015-07-28	83
2015-07-29	82
2015-07-30	67
2015-07-31	70
2015-08-01	48
2015-08-02	72
2015-08-03	69
2015-08-04	66
2015-08-05	56
2015-08-06	65
2015-08-07	70
2015-08-08	70
2015-08-09	61
2015-08-10	73
2015-08-11	60
2015-08-12	71
2015-08-13	83
2015-08-14	51
2015-08-15	74
2015-08-16	57
2015-08-17	72
2015-08-18	53
2015-08-19	60
2015-08-20	90
2015-08-21	84
2015-08-22	64
2015-08-23	71
2015-08-24	69
2015-08-25	69
2015-08-26	78
2015-08-27	65
2015-08-28	71
2015-08-29	71
2015-08-30	75
2015-08-31	74
2015-09-01	82
2015-09-02	77
2015-09-03	82
2015-09-04	72
2015-09-05	75
2015-09-06	103
2015-09-07	70
2015-09-08	66
2015-09-09	88
2015-09-10	66
2015-09-11	67
2015-09-12	68
2015-09-13	82
2015-09-14	73
2015-09-15	81
2015-09-16	95
2015-09-17	103
2015-09-18	99
2015-09-19	101
2015-09-20	88
2015-09-21	88
2015-09-22	84
2015-09-23	81
2015-09-24	81
2015-09-25	79
2015-09-26	68
2015-09-27	72
2015-09-28	62
2015-09-29	88
2015-09-30	74
2015-10-01	75
2015-10-02	67
2015-10-03	67
2015-10-04	77
2015-10-05	81
2015-10-06	83
2015-10-07	114
2015-10-08	92
2015-10-09	124
2015-10-10	63
2015-10-11	101
2015-10-12	89
2015-10-13	77
2015-10-14	81
2015-10-15	77
2015-10-16	76
2015-10-17	99
2015-10-18	84
2015-10-19	75
2015-10-20	85
2015-10-21	93
2015-10-22	93
2015-10-23	79
2015-10-24	74
2015-10-25	81
2015-10-26	82
2015-10-27	95
2015-10-28	84
2015-10-29	86
2015-10-30	91
2015-10-31	79
2015-11-01	89
2015-11-02	96
2015-11-03	84
2015-11-04	88
2015-11-05	82
2015-11-06	96
2015-11-07	92
2015-11-08	85
2015-11-09	115
2015-11-10	108
2015-11-11	84
2015-11-12	76
2015-11-13	79
2015-11-14	84
2015-11-15	86
2015-11-16	91
2015-11-17	82
2015-11-18	86
2015-11-19	89
2015-11-20	63
2015-11-21	92
2015-11-22	67
2015-11-23	100
2015-11-24	92
2015-11-25	77
2015-11-26	69
2015-11-27	78
2015-11-28	69
2015-11-29	91
2015-11-30	93
2015-12-01	74
2015-12-02	78
2015-12-03	89
2015-12-04	78
2015-12-05	86
2015-12-06	87
2015-12-07	99
2015-12-08	80
2015-12-09	82
2015-12-10	85
2015-12-11	63
2015-12-12	79
2015-12-13	84
2015-12-14	99
2015-12-15	90
2015-12-16	72
2015-12-17	92
2015-12-18	74
2015-12-19	91
2015-12-20	88
2015-12-21	94
2015-12-22	72
2015-12-23	110
2015-12-24	120
2015-12-25	91
2015-12-26	88
2015-12-27	81
2015-12-28	64
2015-12-29	72
2015-12-30	55
2015-12-31	49
2016-01-01	35
2016-01-02	35
2016-01-03	57
2016-01-04	44
2016-01-05	69
2016-01-06	75
2016-01-07	82
2016-01-08	61
2016-01-09	84
2016-01-10	63
2016-01-11	73
2016-01-12	91
2016-01-13	74
2016-01-14	81
2016-01-15	67
2016-01-16	54
2016-01-17	92
2016-01-18	78
2016-01-19	95
2016-01-20	102
2016-01-21	75
2016-01-22	87
2016-01-23	77
2016-01-24	92
2016-01-25	100
2016-01-26	103
2016-01-27	77
2016-01-28	102
2016-01-29	112
2016-01-30	69
2016-01-31	93
2016-02-01	93
2016-02-02	81
2016-02-03	84
2016-02-04	66
2016-02-05	89
2016-02-06	89
2016-02-07	83
2016-02-08	99
2016-02-09	101
2016-02-10	98
2016-02-11	110
2016-02-12	101
2016-02-13	132
2016-02-14	163
2016-02-15	149
2016-02-16	83
2016-02-17	88
2016-02-18	104
2016-02-19	81
2016-02-20	102
2016-02-21	86
2016-02-22	72
