date	freq
2015-06-01	20
2015-06-02	15
2015-06-03	33
2015-06-04	16
2015-06-05	14
2015-06-06	24
2015-06-07	20
2015-06-08	20
2015-06-09	11
2015-06-10	15
2015-06-11	16
2015-06-12	15
2015-06-13	19
2015-06-14	32
2015-06-15	27
2015-06-16	25
2015-06-17	34
2015-06-18	32
2015-06-19	24
2015-06-20	13
2015-06-21	28
2015-06-22	21
2015-06-23	22
2015-06-24	27
2015-06-25	33
2015-06-26	15
2015-06-27	24
2015-06-28	29
2015-06-29	23
2015-06-30	14
2015-07-01	30
2015-07-02	25
2015-07-03	20
2015-07-04	22
2015-07-05	51
2015-07-06	209
2015-07-07	101
2015-07-08	29
2015-07-09	30
2015-07-10	46
2015-07-11	21
2015-07-12	32
2015-07-13	26
2015-07-14	19
2015-07-15	34
2015-07-16	22
2015-07-17	32
2015-07-18	20
2015-07-19	22
2015-07-20	55
2015-07-21	26
2015-07-22	37
2015-07-23	31
2015-07-24	16
2015-07-25	39
2015-07-26	33
2015-07-27	31
2015-07-28	24
2015-07-29	23
2015-07-30	27
2015-07-31	21
2015-08-01	13
2015-08-02	15
2015-08-03	39
2015-08-04	26
2015-08-05	26
2015-08-06	34
2015-08-07	27
2015-08-08	46
2015-08-09	53
2015-08-10	27
2015-08-11	35
2015-08-12	33
2015-08-13	24
2015-08-14	22
2015-08-15	27
2015-08-16	34
2015-08-17	40
2015-08-18	22
2015-08-19	21
2015-08-20	35
2015-08-21	32
2015-08-22	17
2015-08-23	46
2015-08-24	26
2015-08-25	18
2015-08-26	26
2015-08-27	32
2015-08-28	31
2015-08-29	21
2015-08-30	18
2015-08-31	18
2015-09-01	21
2015-09-02	73
2015-09-03	58
2015-09-04	16
2015-09-05	24
2015-09-06	28
2015-09-07	29
2015-09-08	34
2015-09-09	37
2015-09-10	35
2015-09-11	28
2015-09-12	25
2015-09-13	23
2015-09-14	20
2015-09-15	30
2015-09-16	27
2015-09-17	34
2015-09-18	27
2015-09-19	25
2015-09-20	31
2015-09-21	27
2015-09-22	24
2015-09-23	26
2015-09-24	31
2015-09-25	17
2015-09-26	26
2015-09-27	28
2015-09-28	21
2015-09-29	25
2015-09-30	16
2015-10-01	14
2015-10-02	21
2015-10-03	21
2015-10-04	22
2015-10-05	122
2015-10-06	31
2015-10-07	28
2015-10-08	21
2015-10-09	18
2015-10-10	25
2015-10-11	20
2015-10-12	29
2015-10-13	19
2015-10-14	26
2015-10-15	25
2015-10-16	20
2015-10-17	27
2015-10-18	26
2015-10-19	28
2015-10-20	25
2015-10-21	25
2015-10-22	25
2015-10-23	22
2015-10-24	27
2015-10-25	20
2015-10-26	21
2015-10-27	16
2015-10-28	26
2015-10-29	22
2015-10-30	13
2015-10-31	20
2015-11-01	32
2015-11-02	47
2015-11-03	54
2015-11-04	62
2015-11-05	648
2015-11-06	112
2015-11-07	65
2015-11-08	74
2015-11-09	25
2015-11-10	22
2015-11-11	23
2015-11-12	24
2015-11-13	15
2015-11-14	25
2015-11-15	30
2015-11-16	27
2015-11-17	25
2015-11-18	20
2015-11-19	14
2015-11-20	16
2015-11-21	23
2015-11-22	24
2015-11-23	30
2015-11-24	17
2015-11-25	20
2015-11-26	24
2015-11-27	19
2015-11-28	28
2015-11-29	29
2015-11-30	35
2015-12-01	18
2015-12-02	31
2015-12-03	25
2015-12-04	20
2015-12-05	33
2015-12-06	21
2015-12-07	24
2015-12-08	24
2015-12-09	17
2015-12-10	17
2015-12-11	22
2015-12-12	35
2015-12-13	20
2015-12-14	21
2015-12-15	20
2015-12-16	18
2015-12-17	16
2015-12-18	22
2015-12-19	41
2015-12-20	38
2015-12-21	18
2015-12-22	28
2015-12-23	28
2015-12-24	25
2015-12-25	29
2015-12-26	34
2015-12-27	20
2015-12-28	18
2015-12-29	25
2015-12-30	18
2015-12-31	79
2016-01-01	21
2016-01-02	34
2016-01-03	16
2016-01-04	23
2016-01-05	22
2016-01-06	28
2016-01-07	28
2016-01-08	20
2016-01-09	32
2016-01-10	25
2016-01-11	27
2016-01-12	12
2016-01-13	26
2016-01-14	19
2016-01-15	14
2016-01-16	43
2016-01-17	24
2016-01-18	20
2016-01-19	14
2016-01-20	16
2016-01-21	24
2016-01-22	27
2016-01-23	38
2016-01-24	49
2016-01-25	19
2016-01-26	26
2016-01-27	24
2016-01-28	30
2016-01-29	24
2016-01-30	37
2016-01-31	31
2016-02-01	22
2016-02-02	25
2016-02-03	39
2016-02-04	21
2016-02-05	42
2016-02-06	26
2016-02-07	28
2016-02-08	25
2016-02-09	70
2016-02-10	22
2016-02-11	44
2016-02-12	37
2016-02-13	49
2016-02-14	65
2016-02-15	42
2016-02-16	32
2016-02-17	21
2016-02-18	30
2016-02-19	25
2016-02-20	15
2016-02-21	23
2016-02-22	29
2016-02-23	34
2016-02-24	26
2016-02-25	58
2016-02-26	28
2016-02-27	28
2016-02-28	28
2016-02-29	40
2016-03-01	20
2016-03-02	23
2016-03-03	28
2016-03-04	23
2016-03-05	46
2016-03-06	29
2016-03-07	39
2016-03-08	38
2016-03-09	28
2016-03-10	49
2016-03-11	61
2016-03-12	47
2016-03-13	27
2016-03-14	51
2016-03-15	96
2016-03-16	44
2016-03-17	46
2016-03-18	33
2016-03-19	19
2016-03-20	46
2016-03-21	31
2016-03-22	34
2016-03-23	19
2016-03-24	53
2016-03-25	40
2016-03-26	19
2016-03-27	16
2016-03-28	21
2016-03-29	20
2016-03-30	12
2016-03-31	21
2016-04-01	25
2016-04-02	24
2016-04-03	54
2016-04-04	20
2016-04-05	30
2016-04-06	25
2016-04-07	43
2016-04-08	29
2016-04-09	13
2016-04-10	15
2016-04-11	20
2016-04-12	17
2016-04-13	17
2016-04-14	21
2016-04-15	20
2016-04-16	20
2016-04-17	13
2016-04-18	19
2016-04-19	23
2016-04-20	19
2016-04-21	21
2016-04-22	22
2016-04-23	18
2016-04-24	23
2016-04-25	21
2016-04-26	16
2016-04-27	27
2016-04-28	23
2016-04-29	21
2016-04-30	24
2016-05-01	23
2016-05-02	12
2016-05-03	18
2016-05-04	23
2016-05-05	30
2016-05-06	18
2016-05-07	22
2016-05-08	26
2016-05-09	13
2016-05-10	21
2016-05-11	21
2016-05-12	11
2016-05-13	19
2016-05-14	19
2016-05-15	13
2016-05-16	17
2016-05-17	18
2016-05-18	25
2016-05-19	24
2016-05-20	13
2016-05-21	14
2016-05-22	23
2016-05-23	19
2016-05-24	35
2016-05-25	20
2016-05-26	20
2016-05-27	20
2016-05-28	24
2016-05-29	24
2016-05-30	12
2016-05-31	12
