date	freq
2015-06-01	6
2015-06-02	8
2015-06-03	3
2015-06-04	6
2015-06-05	7
2015-06-06	7
2015-06-07	2
2015-06-08	2
2015-06-09	3
2015-06-10	4
2015-06-11	5
2015-06-12	1
2015-06-13	6
2015-06-14	6
2015-06-15	2
2015-06-16	3
2015-06-17	2
2015-06-18	3
2015-06-19	7
2015-06-20	2
2015-06-21	6
2015-06-22	4
2015-06-23	4
2015-06-24	9
2015-06-25	4
2015-06-26	8
2015-06-27	3
2015-06-28	1
2015-06-29	7
2015-06-30	3
2015-07-01	4
2015-07-02	8
2015-07-03	7
2015-07-04	4
2015-07-05	7
2015-07-06	10
2015-07-07	4
2015-07-08	4
2015-07-09	2
2015-07-10	4
2015-07-11	3
2015-07-12	0
2015-07-13	3
2015-07-14	6
2015-07-15	6
2015-07-16	4
2015-07-17	4
2015-07-18	7
2015-07-19	5
2015-07-20	6
2015-07-21	6
2015-07-22	1
2015-07-23	7
2015-07-24	7
2015-07-25	8
2015-07-26	4
2015-07-27	5
2015-07-28	2
2015-07-29	3
2015-07-30	3
2015-07-31	4
2015-08-01	3
2015-08-02	2
2015-08-03	2
2015-08-04	2
2015-08-05	0
2015-08-06	3
2015-08-07	5
2015-08-08	3
2015-08-09	2
2015-08-10	1
2015-08-11	1
2015-08-12	1
2015-08-13	6
2015-08-14	4
2015-08-15	5
2015-08-16	3
2015-08-17	1
2015-08-18	4
2015-08-19	5
2015-08-20	6
2015-08-21	3
2015-08-22	3
2015-08-23	1
2015-08-24	5
2015-08-25	2
2015-08-26	2
2015-08-27	6
2015-08-28	7
2015-08-29	3
2015-08-30	3
2015-08-31	5
2015-09-01	1
2015-09-02	1
2015-09-03	2
2015-09-04	1
2015-09-05	3
2015-09-06	1
2015-09-07	6
2015-09-08	8
2015-09-09	4
2015-09-10	3
2015-09-11	1
2015-09-12	4
2015-09-13	5
2015-09-14	2
2015-09-15	6
2015-09-16	6
2015-09-17	4
2015-09-18	7
2015-09-19	5
2015-09-20	3
2015-09-21	3
2015-09-22	3
2015-09-23	5
2015-09-24	1
2015-09-25	2
2015-09-26	3
2015-09-27	0
2015-09-28	3
2015-09-29	7
2015-09-30	6
2015-10-01	3
2015-10-02	6
2015-10-03	5
2015-10-04	7
2015-10-05	5
2015-10-06	7
2015-10-07	1
2015-10-08	2
2015-10-09	6
2015-10-10	8
2015-10-11	4
2015-10-12	5
2015-10-13	7
2015-10-14	3
2015-10-15	3
2015-10-16	6
2015-10-17	7
2015-10-18	4
2015-10-19	7
2015-10-20	2
2015-10-21	4
2015-10-22	4
2015-10-23	6
2015-10-24	5
2015-10-25	2
2015-10-26	5
2015-10-27	3
2015-10-28	3
2015-10-29	3
2015-10-30	7
2015-10-31	2
2015-11-01	3
2015-11-02	2
2015-11-03	1
2015-11-04	4
2015-11-05	1
2015-11-06	5
2015-11-07	3
2015-11-08	5
2015-11-09	7
2015-11-10	6
2015-11-11	2
2015-11-12	7
2015-11-13	4
2015-11-14	7
2015-11-15	2
2015-11-16	5
2015-11-17	5
2015-11-18	3
2015-11-19	2
2015-11-20	2
2015-11-21	4
2015-11-22	7
2015-11-23	4
2015-11-24	5
2015-11-25	2
2015-11-26	4
2015-11-27	3
2015-11-28	4
2015-11-29	5
2015-11-30	2
2015-12-01	2
2015-12-02	4
2015-12-03	2
2015-12-04	2
2015-12-05	2
2015-12-06	6
2015-12-07	2
2015-12-08	4
2015-12-09	4
2015-12-10	7
2015-12-11	2
2015-12-12	1
2015-12-13	3
2015-12-14	3
2015-12-15	3
2015-12-16	2
2015-12-17	1
2015-12-18	2
2015-12-19	2
2015-12-20	3
2015-12-21	1
2015-12-22	0
2015-12-23	2
2015-12-24	1
2015-12-25	1
2015-12-26	4
2015-12-27	4
2015-12-28	3
2015-12-29	4
2015-12-30	6
2015-12-31	3
2016-01-01	3
2016-01-02	4
2016-01-03	21
2016-01-04	1
2016-01-05	3
2016-01-06	4
2016-01-07	2
2016-01-08	2
2016-01-09	1
2016-01-10	3
2016-01-11	1
2016-01-12	1
2016-01-13	3
2016-01-14	7
2016-01-15	8
2016-01-16	7
2016-01-17	4
2016-01-18	41
2016-01-19	9
2016-01-20	5
2016-01-21	2
2016-01-22	6
2016-01-23	3
2016-01-24	3
2016-01-25	5
2016-01-26	3
2016-01-27	7
2016-01-28	17
2016-01-29	4
2016-01-30	3
2016-01-31	3
2016-02-01	6
2016-02-02	2
2016-02-03	1
2016-02-04	1
2016-02-05	4
2016-02-06	5
2016-02-07	4
2016-02-08	1
2016-02-09	4
2016-02-10	4
2016-02-11	7
2016-02-12	5
2016-02-13	7
2016-02-14	6
2016-02-15	3
2016-02-16	7
