date	freq
2015-06-01	322
2015-06-02	228
2015-06-03	228
2015-06-04	192
2015-06-05	196
2015-06-06	243
2015-06-07	206
2015-06-08	161
2015-06-09	184
2015-06-10	166
2015-06-11	176
2015-06-12	183
2015-06-13	170
2015-06-14	145
2015-06-15	158
2015-06-16	159
2015-06-17	163
2015-06-18	216
2015-06-19	310
2015-06-20	292
2015-06-21	231
2015-06-22	479
2015-06-23	494
2015-06-24	402
2015-06-25	365
2015-06-26	198
2015-06-27	423
2015-06-28	447
2015-06-29	443
2015-06-30	228
2015-07-01	301
2015-07-02	241
2015-07-03	162
2015-07-04	253
2015-07-05	257
2015-07-06	282
2015-07-07	208
2015-07-08	173
2015-07-09	173
2015-07-10	195
2015-07-11	229
2015-07-12	163
2015-07-13	180
2015-07-14	169
2015-07-15	153
2015-07-16	209
2015-07-17	152
2015-07-18	160
2015-07-19	181
2015-07-20	166
2015-07-21	149
2015-07-22	234
2015-07-23	218
2015-07-24	217
2015-07-25	214
2015-07-26	150
2015-07-27	154
2015-07-28	164
2015-07-29	111
2015-07-30	120
2015-07-31	130
2015-08-01	118
2015-08-02	128
2015-08-03	250
2015-08-04	133
2015-08-05	289
2015-08-06	129
2015-08-07	241
2015-08-08	118
2015-08-09	129
2015-08-10	136
2015-08-11	171
2015-08-12	222
2015-08-13	213
2015-08-14	148
2015-08-15	157
2015-08-16	143
2015-08-17	182
2015-08-18	154
2015-08-19	147
2015-08-20	170
2015-08-21	149
2015-08-22	143
2015-08-23	154
2015-08-24	132
2015-08-25	167
2015-08-26	162
2015-08-27	270
2015-08-28	133
2015-08-29	139
2015-08-30	182
2015-08-31	223
2015-09-01	201
2015-09-02	137
2015-09-03	166
2015-09-04	173
2015-09-05	140
2015-09-06	296
2015-09-07	212
2015-09-08	158
2015-09-09	150
2015-09-10	127
2015-09-11	158
2015-09-12	131
2015-09-13	137
2015-09-14	217
2015-09-15	422
2015-09-16	200
2015-09-17	177
2015-09-18	202
2015-09-19	172
2015-09-20	186
2015-09-21	217
2015-09-22	172
2015-09-23	197
2015-09-24	161
2015-09-25	181
2015-09-26	368
2015-09-27	310
2015-09-28	211
2015-09-29	232
2015-09-30	192
2015-10-01	172
2015-10-02	168
2015-10-03	137
2015-10-04	165
2015-10-05	166
2015-10-06	167
2015-10-07	163
2015-10-08	153
2015-10-09	158
2015-10-10	142
2015-10-11	156
2015-10-12	164
2015-10-13	342
2015-10-14	176
2015-10-15	357
2015-10-16	319
2015-10-17	305
2015-10-18	274
2015-10-19	173
2015-10-20	300
2015-10-21	297
2015-10-22	432
2015-10-23	129
2015-10-24	132
2015-10-25	160
2015-10-26	154
2015-10-27	176
2015-10-28	169
2015-10-29	297
2015-10-30	158
2015-10-31	258
2015-11-01	179
2015-11-02	158
2015-11-03	257
2015-11-04	260
2015-11-05	144
2015-11-06	178
2015-11-07	281
2015-11-08	185
2015-11-09	360
2015-11-10	287
2015-11-11	241
2015-11-12	212
2015-11-13	196
2015-11-14	196
2015-11-15	191
2015-11-16	206
2015-11-17	186
2015-11-18	212
2015-11-19	175
2015-11-20	184
2015-11-21	194
2015-11-22	172
2015-11-23	151
2015-11-24	164
2015-11-25	166
2015-11-26	177
2015-11-27	197
2015-11-28	196
2015-11-29	160
2015-11-30	155
2015-12-01	161
2015-12-02	178
2015-12-03	193
2015-12-04	161
2015-12-05	190
2015-12-06	122
2015-12-07	145
2015-12-08	158
2015-12-09	154
2015-12-10	164
2015-12-11	170
2015-12-12	183
2015-12-13	233
2015-12-14	230
2015-12-15	172
2015-12-16	170
2015-12-17	182
2015-12-18	168
2015-12-19	132
2015-12-20	124
2015-12-21	171
2015-12-22	157
2015-12-23	143
2015-12-24	134
2015-12-25	143
2015-12-26	157
2015-12-27	139
2015-12-28	140
2015-12-29	141
2015-12-30	146
2015-12-31	137
2016-01-01	133
2016-01-02	129
2016-01-03	132
2016-01-04	135
2016-01-05	144
2016-01-06	147
2016-01-07	158
2016-01-08	142
2016-01-09	156
2016-01-10	170
2016-01-11	127
2016-01-12	140
2016-01-13	122
2016-01-14	157
2016-01-15	144
2016-01-16	126
2016-01-17	132
2016-01-18	166
2016-01-19	143
2016-01-20	170
2016-01-21	142
2016-01-22	144
2016-01-23	164
2016-01-24	160
2016-01-25	145
2016-01-26	175
2016-01-27	187
2016-01-28	217
2016-01-29	158
2016-01-30	146
2016-01-31	163
2016-02-01	164
2016-02-02	197
2016-02-03	147
2016-02-04	167
2016-02-05	219
2016-02-06	139
2016-02-07	165
2016-02-08	171
2016-02-09	153
2016-02-10	148
2016-02-11	187
2016-02-12	141
2016-02-13	203
2016-02-14	164
2016-02-15	189
2016-02-16	163
2016-02-17	141
2016-02-18	170
2016-02-19	126
2016-02-20	160
2016-02-21	174
2016-02-22	150
2016-02-23	181
2016-02-24	166
2016-02-25	142
2016-02-26	186
2016-02-27	167
2016-02-28	168
2016-02-29	168
2016-03-01	175
2016-03-02	162
2016-03-03	167
2016-03-04	179
2016-03-05	129
2016-03-06	175
2016-03-07	160
2016-03-08	162
2016-03-09	175
2016-03-10	151
2016-03-11	158
2016-03-12	139
2016-03-13	235
2016-03-14	170
2016-03-15	179
2016-03-16	182
2016-03-17	160
2016-03-18	147
2016-03-19	131
2016-03-20	183
2016-03-21	248
2016-03-22	190
2016-03-23	160
2016-03-24	172
2016-03-25	170
2016-03-26	191
2016-03-27	208
2016-03-28	182
2016-03-29	150
2016-03-30	193
2016-03-31	138
2016-04-01	161
2016-04-02	123
2016-04-03	120
2016-04-04	131
2016-04-05	123
2016-04-06	114
2016-04-07	114
2016-04-08	144
2016-04-09	128
2016-04-10	144
2016-04-11	125
2016-04-12	160
2016-04-13	117
2016-04-14	123
2016-04-15	128
2016-04-16	109
2016-04-17	132
2016-04-18	135
2016-04-19	142
2016-04-20	101
2016-04-21	183
2016-04-22	196
2016-04-23	139
2016-04-24	114
2016-04-25	156
2016-04-26	156
2016-04-27	145
2016-04-28	125
2016-04-29	134
2016-04-30	173
2016-05-01	147
2016-05-02	172
2016-05-03	129
2016-05-04	148
2016-05-05	191
2016-05-06	177
2016-05-07	119
2016-05-08	136
2016-05-09	163
2016-05-10	263
2016-05-11	151
2016-05-12	142
2016-05-13	197
2016-05-14	143
2016-05-15	139
2016-05-16	130
2016-05-17	147
2016-05-18	137
2016-05-19	196
2016-05-20	135
2016-05-21	103
2016-05-22	158
2016-05-23	158
2016-05-24	163
2016-05-25	155
2016-05-26	153
2016-05-27	158
2016-05-28	127
2016-05-29	118
2016-05-30	164
2016-05-31	119
