date	freq
2015-06-01	16
2015-06-02	18
2015-06-03	13
2015-06-04	27
2015-06-05	21
2015-06-06	14
2015-06-07	17
2015-06-08	9
2015-06-09	9
2015-06-10	21
2015-06-11	16
2015-06-12	14
2015-06-13	17
2015-06-14	14
2015-06-15	16
2015-06-16	21
2015-06-17	24
2015-06-18	17
2015-06-19	17
2015-06-20	19
2015-06-21	10
2015-06-22	6
2015-06-23	11
2015-06-24	16
2015-06-25	17
2015-06-26	13
2015-06-27	17
2015-06-28	19
2015-06-29	16
2015-06-30	13
2015-07-01	12
2015-07-02	15
2015-07-03	10
2015-07-04	15
2015-07-05	9
2015-07-06	21
2015-07-07	12
2015-07-08	14
2015-07-09	16
2015-07-10	13
2015-07-11	9
2015-07-12	17
2015-07-13	6
2015-07-14	10
2015-07-15	10
2015-07-16	10
2015-07-17	16
2015-07-18	22
2015-07-19	17
2015-07-20	14
2015-07-21	15
2015-07-22	23
2015-07-23	43
2015-07-24	204
2015-07-25	21
2015-07-26	13
2015-07-27	12
2015-07-28	16
2015-07-29	14
2015-07-30	16
2015-07-31	16
2015-08-01	12
2015-08-02	20
2015-08-03	14
2015-08-04	11
2015-08-05	9
2015-08-06	18
2015-08-07	17
2015-08-08	18
2015-08-09	19
2015-08-10	13
2015-08-11	15
2015-08-12	17
2015-08-13	22
2015-08-14	7
2015-08-15	16
2015-08-16	13
2015-08-17	13
2015-08-18	18
2015-08-19	14
2015-08-20	14
2015-08-21	20
2015-08-22	40
2015-08-23	17
2015-08-24	12
2015-08-25	27
2015-08-26	15
2015-08-27	15
2015-08-28	17
2015-08-29	17
2015-08-30	16
2015-08-31	19
2015-09-01	8
2015-09-02	13
2015-09-03	8
2015-09-04	10
2015-09-05	21
2015-09-06	18
2015-09-07	12
2015-09-08	11
2015-09-09	21
2015-09-10	15
2015-09-11	9
2015-09-12	16
2015-09-13	20
2015-09-14	16
2015-09-15	11
2015-09-16	14
2015-09-17	15
2015-09-18	25
2015-09-19	21
2015-09-20	15
2015-09-21	14
2015-09-22	17
2015-09-23	13
2015-09-24	17
2015-09-25	38
2015-09-26	12
2015-09-27	16
2015-09-28	13
2015-09-29	13
2015-09-30	16
2015-10-01	12
2015-10-02	8
2015-10-03	10
2015-10-04	17
2015-10-05	17
2015-10-06	9
2015-10-07	11
2015-10-08	41
2015-10-09	319
2015-10-10	75
2015-10-11	44
2015-10-12	32
2015-10-13	38
2015-10-14	13
2015-10-15	11
2015-10-16	13
2015-10-17	20
2015-10-18	14
2015-10-19	12
2015-10-20	3
2015-10-21	18
2015-10-22	17
2015-10-23	12
2015-10-24	8
2015-10-25	21
2015-10-26	18
2015-10-27	12
2015-10-28	14
2015-10-29	18
2015-10-30	27
2015-10-31	17
2015-11-01	14
2015-11-02	22
2015-11-03	41
2015-11-04	22
2015-11-05	17
2015-11-06	17
2015-11-07	23
2015-11-08	22
2015-11-09	13
2015-11-10	11
2015-11-11	18
2015-11-12	17
2015-11-13	17
2015-11-14	11
2015-11-15	13
2015-11-16	18
2015-11-17	12
2015-11-18	22
2015-11-19	11
2015-11-20	22
2015-11-21	15
2015-11-22	16
2015-11-23	10
2015-11-24	16
2015-11-25	20
2015-11-26	13
2015-11-27	16
2015-11-28	15
2015-11-29	17
2015-11-30	15
2015-12-01	14
2015-12-02	15
2015-12-03	23
2015-12-04	14
2015-12-05	38
2015-12-06	16
2015-12-07	23
2015-12-08	14
2015-12-09	18
2015-12-10	14
2015-12-11	18
2015-12-12	17
2015-12-13	12
2015-12-14	11
2015-12-15	19
2015-12-16	16
2015-12-17	15
2015-12-18	19
2015-12-19	13
2015-12-20	28
