date	freq
2015-06-01	26
2015-06-02	25
2015-06-03	22
2015-06-04	18
2015-06-05	12
2015-06-06	22
2015-06-07	21
2015-06-08	14
2015-06-09	19
2015-06-10	17
2015-06-11	16
2015-06-12	16
2015-06-13	18
2015-06-14	15
2015-06-15	21
2015-06-16	16
2015-06-17	18
2015-06-18	21
2015-06-19	15
2015-06-20	15
2015-06-21	19
2015-06-22	17
2015-06-23	22
2015-06-24	20
2015-06-25	14
2015-06-26	13
2015-06-27	12
2015-06-28	20
2015-06-29	28
2015-06-30	22
2015-07-01	20
2015-07-02	10
2015-07-03	16
2015-07-04	12
2015-07-05	24
2015-07-06	8
2015-07-07	14
2015-07-08	17
2015-07-09	10
2015-07-10	13
2015-07-11	13
2015-07-12	9
2015-07-13	21
2015-07-14	15
2015-07-15	10
2015-07-16	13
2015-07-17	15
2015-07-18	19
2015-07-19	17
2015-07-20	16
2015-07-21	7
2015-07-22	16
2015-07-23	7
2015-07-24	14
2015-07-25	12
2015-07-26	19
2015-07-27	11
2015-07-28	19
2015-07-29	18
2015-07-30	12
2015-07-31	10
2015-08-01	11
2015-08-02	11
2015-08-03	9
2015-08-04	14
2015-08-05	29
2015-08-06	5
2015-08-07	17
2015-08-08	9
2015-08-09	7
2015-08-10	13
2015-08-11	19
2015-08-12	4
2015-08-13	12
2015-08-14	8
2015-08-15	8
2015-08-16	6
2015-08-17	13
2015-08-18	10
2015-08-19	8
2015-08-20	19
2015-08-21	19
2015-08-22	11
2015-08-23	20
2015-08-24	13
2015-08-25	22
2015-08-26	26
2015-08-27	10
2015-08-28	10
2015-08-29	23
2015-08-30	21
2015-08-31	17
2015-09-01	18
2015-09-02	25
2015-09-03	21
2015-09-04	18
2015-09-05	20
2015-09-06	11
2015-09-07	14
2015-09-08	18
2015-09-09	11
2015-09-10	26
2015-09-11	10
2015-09-12	8
2015-09-13	13
2015-09-14	17
2015-09-15	15
2015-09-16	18
2015-09-17	12
2015-09-18	14
2015-09-19	14
2015-09-20	14
2015-09-21	6
2015-09-22	15
2015-09-23	26
2015-09-24	12
2015-09-25	15
2015-09-26	14
2015-09-27	12
2015-09-28	15
2015-09-29	14
2015-09-30	14
2015-10-01	24
2015-10-02	18
2015-10-03	18
2015-10-04	17
2015-10-05	15
2015-10-06	22
2015-10-07	33
2015-10-08	19
2015-10-09	19
2015-10-10	28
2015-10-11	14
2015-10-12	20
2015-10-13	17
2015-10-14	32
2015-10-15	15
2015-10-16	14
2015-10-17	16
2015-10-18	16
2015-10-19	24
2015-10-20	30
2015-10-21	25
2015-10-22	30
2015-10-23	15
2015-10-24	14
2015-10-25	19
2015-10-26	17
2015-10-27	15
2015-10-28	24
2015-10-29	21
2015-10-30	24
2015-10-31	27
2015-11-01	15
2015-11-02	24
2015-11-03	21
2015-11-04	24
2015-11-05	20
2015-11-06	21
2015-11-07	31
2015-11-08	61
2015-11-09	42
2015-11-10	43
2015-11-11	34
2015-11-12	36
2015-11-13	42
2015-11-14	28
2015-11-15	32
2015-11-16	37
2015-11-17	28
2015-11-18	27
2015-11-19	29
2015-11-20	31
2015-11-21	19
2015-11-22	21
2015-11-23	25
2015-11-24	18
2015-11-25	23
2015-11-26	38
2015-11-27	17
2015-11-28	24
2015-11-29	24
2015-11-30	19
2015-12-01	24
2015-12-02	13
2015-12-03	23
2015-12-04	22
2015-12-05	29
2015-12-06	17
2015-12-07	28
2015-12-08	22
2015-12-09	16
2015-12-10	14
2015-12-11	23
2015-12-12	28
2015-12-13	35
2015-12-14	24
2015-12-15	33
2015-12-16	8
2015-12-17	25
2015-12-18	32
2015-12-19	26
2015-12-20	37
2015-12-21	36
2015-12-22	28
2015-12-23	33
2015-12-24	24
2015-12-25	33
2015-12-26	29
2015-12-27	23
2015-12-28	21
2015-12-29	35
2015-12-30	20
2015-12-31	22
2016-01-01	13
2016-01-02	12
2016-01-03	16
2016-01-04	22
2016-01-05	26
2016-01-06	23
2016-01-07	37
2016-01-08	29
2016-01-09	44
2016-01-10	50
2016-01-11	51
2016-01-12	25
2016-01-13	34
2016-01-14	36
2016-01-15	32
2016-01-16	22
2016-01-17	30
2016-01-18	39
2016-01-19	36
2016-01-20	26
2016-01-21	31
2016-01-22	29
2016-01-23	24
2016-01-24	32
2016-01-25	38
2016-01-26	23
2016-01-27	28
2016-01-28	24
2016-01-29	23
2016-01-30	40
2016-01-31	37
2016-02-01	28
2016-02-02	40
2016-02-03	38
2016-02-04	38
2016-02-05	16
2016-02-06	30
2016-02-07	22
2016-02-08	40
2016-02-09	34
2016-02-10	41
2016-02-11	43
2016-02-12	41
2016-02-13	43
2016-02-14	60
2016-02-15	28
2016-02-16	34
2016-02-17	40
2016-02-18	34
2016-02-19	28
2016-02-20	27
2016-02-21	35
2016-02-22	22
2016-02-23	25
2016-02-24	20
2016-02-25	13
2016-02-26	16
2016-02-27	20
2016-02-28	21
2016-02-29	24
2016-03-01	37
2016-03-02	24
2016-03-03	20
2016-03-04	18
2016-03-05	25
2016-03-06	31
2016-03-07	27
2016-03-08	29
2016-03-09	31
2016-03-10	27
2016-03-11	27
2016-03-12	29
2016-03-13	33
2016-03-14	32
2016-03-15	15
2016-03-16	27
2016-03-17	24
2016-03-18	28
2016-03-19	27
2016-03-20	23
2016-03-21	41
2016-03-22	31
2016-03-23	21
2016-03-24	35
2016-03-25	43
2016-03-26	34
2016-03-27	32
2016-03-28	27
2016-03-29	22
2016-03-30	31
2016-03-31	31
2016-04-01	31
2016-04-02	46
2016-04-03	29
2016-04-04	17
2016-04-05	15
2016-04-06	20
2016-04-07	29
2016-04-08	24
2016-04-09	24
2016-04-10	28
2016-04-11	22
2016-04-12	21
2016-04-13	26
2016-04-14	16
2016-04-15	7
2016-04-16	21
2016-04-17	20
2016-04-18	20
2016-04-19	9
2016-04-20	23
2016-04-21	20
2016-04-22	24
2016-04-23	24
2016-04-24	23
2016-04-25	23
2016-04-26	31
2016-04-27	20
2016-04-28	21
2016-04-29	18
2016-04-30	24
2016-05-01	15
2016-05-02	8
2016-05-03	14
2016-05-04	27
2016-05-05	14
2016-05-06	31
2016-05-07	13
2016-05-08	14
2016-05-09	27
2016-05-10	19
2016-05-11	16
2016-05-12	16
2016-05-13	10
2016-05-14	6
2016-05-15	22
2016-05-16	32
2016-05-17	19
2016-05-18	17
2016-05-19	15
2016-05-20	11
2016-05-21	12
2016-05-22	21
2016-05-23	17
2016-05-24	8
2016-05-25	17
2016-05-26	15
2016-05-27	10
2016-05-28	20
2016-05-29	13
2016-05-30	13
2016-05-31	19
