date	freq
2015-06-01	11
2015-06-02	11
2015-06-03	15
2015-06-04	12
2015-06-05	16
2015-06-06	11
2015-06-07	9
2015-06-08	12
2015-06-09	7
2015-06-10	8
2015-06-11	11
2015-06-12	9
2015-06-13	12
2015-06-14	10
2015-06-15	8
2015-06-16	10
2015-06-17	13
2015-06-18	10
2015-06-19	12
2015-06-20	10
2015-06-21	11
2015-06-22	6
2015-06-23	10
2015-06-24	6
2015-06-25	20
2015-06-26	6
2015-06-27	8
2015-06-28	13
2015-06-29	4
2015-06-30	10
2015-07-01	10
2015-07-02	9
2015-07-03	13
2015-07-04	12
2015-07-05	14
2015-07-06	8
2015-07-07	7
2015-07-08	8
2015-07-09	9
2015-07-10	7
2015-07-11	4
2015-07-12	9
2015-07-13	8
2015-07-14	14
2015-07-15	6
2015-07-16	9
2015-07-17	4
2015-07-18	8
2015-07-19	7
2015-07-20	6
2015-07-21	12
2015-07-22	7
2015-07-23	8
2015-07-24	7
2015-07-25	7
2015-07-26	9
2015-07-27	8
2015-07-28	12
2015-07-29	11
2015-07-30	11
2015-07-31	10
2015-08-01	10
2015-08-02	10
2015-08-03	6
2015-08-04	6
2015-08-05	8
2015-08-06	8
2015-08-07	5
2015-08-08	6
2015-08-09	9
2015-08-10	9
2015-08-11	6
2015-08-12	9
2015-08-13	5
2015-08-14	9
2015-08-15	4
2015-08-16	7
2015-08-17	9
2015-08-18	10
2015-08-19	11
2015-08-20	11
2015-08-21	10
2015-08-22	5
2015-08-23	0
2015-08-24	7
2015-08-25	12
2015-08-26	6
2015-08-27	6
2015-08-28	4
2015-08-29	8
2015-08-30	6
2015-08-31	7
2015-09-01	10
2015-09-02	9
2015-09-03	6
2015-09-04	5
2015-09-05	6
2015-09-06	12
2015-09-07	11
2015-09-08	9
2015-09-09	12
2015-09-10	5
2015-09-11	10
2015-09-12	11
2015-09-13	9
2015-09-14	8
2015-09-15	7
2015-09-16	10
2015-09-17	10
2015-09-18	11
2015-09-19	9
2015-09-20	12
2015-09-21	4
2015-09-22	9
2015-09-23	8
2015-09-24	10
2015-09-25	9
2015-09-26	9
2015-09-27	13
2015-09-28	13
2015-09-29	8
2015-09-30	15
2015-10-01	15
2015-10-02	13
2015-10-03	6
2015-10-04	16
2015-10-05	11
2015-10-06	9
2015-10-07	13
2015-10-08	8
2015-10-09	9
2015-10-10	10
2015-10-11	12
