date	freq
2015-06-01	1047
2015-06-02	1010
2015-06-03	1014
2015-06-04	1109
2015-06-05	1047
2015-06-06	970
2015-06-07	1052
2015-06-08	979
2015-06-09	955
2015-06-10	995
2015-06-11	1039
2015-06-12	1031
2015-06-13	982
2015-06-14	1002
2015-06-15	981
2015-06-16	961
2015-06-17	1023
2015-06-18	1079
2015-06-19	1026
2015-06-20	905
2015-06-21	985
2015-06-22	935
2015-06-23	955
2015-06-24	947
2015-06-25	981
2015-06-26	997
2015-06-27	913
2015-06-28	915
2015-06-29	974
2015-06-30	991
2015-07-01	996
2015-07-02	1002
2015-07-03	904
2015-07-04	924
2015-07-05	1018
2015-07-06	970
2015-07-07	949
2015-07-08	1007
2015-07-09	993
2015-07-10	963
2015-07-11	948
2015-07-12	938
2015-07-13	1107
2015-07-14	999
2015-07-15	967
2015-07-16	890
2015-07-17	951
2015-07-18	821
2015-07-19	849
2015-07-20	890
2015-07-21	848
2015-07-22	984
2015-07-23	959
2015-07-24	902
2015-07-25	840
2015-07-26	876
2015-07-27	840
2015-07-28	893
2015-07-29	855
2015-07-30	841
2015-07-31	789
2015-08-01	860
2015-08-02	835
2015-08-03	901
2015-08-04	930
2015-08-05	899
2015-08-06	832
2015-08-07	846
2015-08-08	954
2015-08-09	775
2015-08-10	828
2015-08-11	785
2015-08-12	843
2015-08-13	862
2015-08-14	857
2015-08-15	819
2015-08-16	997
2015-08-17	880
2015-08-18	848
2015-08-19	952
2015-08-20	936
2015-08-21	818
2015-08-22	769
2015-08-23	796
2015-08-24	924
2015-08-25	787
2015-08-26	787
2015-08-27	816
2015-08-28	811
2015-08-29	754
2015-08-30	876
2015-08-31	803
2015-09-01	910
2015-09-02	902
2015-09-03	777
2015-09-04	759
2015-09-05	772
2015-09-06	849
2015-09-07	780
2015-09-08	804
2015-09-09	789
2015-09-10	855
2015-09-11	765
2015-09-12	713
2015-09-13	791
2015-09-14	740
2015-09-15	789
2015-09-16	796
2015-09-17	804
2015-09-18	765
2015-09-19	822
2015-09-20	1032
2015-09-21	769
2015-09-22	991
2015-09-23	731
2015-09-24	794
2015-09-25	854
2015-09-26	796
2015-09-27	753
2015-09-28	713
2015-09-29	760
2015-09-30	730
2015-10-01	843
2015-10-02	724
2015-10-03	596
2015-10-04	730
2015-10-05	721
2015-10-06	707
2015-10-07	757
2015-10-08	953
2015-10-09	800
2015-10-10	926
2015-10-11	708
2015-10-12	709
2015-10-13	784
2015-10-14	741
2015-10-15	705
2015-10-16	818
2015-10-17	629
2015-10-18	686
2015-10-19	785
2015-10-20	726
2015-10-21	832
2015-10-22	1122
2015-10-23	737
2015-10-24	654
2015-10-25	853
2015-10-26	747
2015-10-27	747
2015-10-28	830
2015-10-29	809
2015-10-30	645
2015-10-31	732
2015-11-01	672
2015-11-02	692
2015-11-03	718
2015-11-04	768
2015-11-05	789
2015-11-06	798
2015-11-07	690
2015-11-08	832
2015-11-09	787
2015-11-10	812
2015-11-11	753
2015-11-12	792
2015-11-13	804
2015-11-14	706
2015-11-15	748
2015-11-16	683
2015-11-17	708
2015-11-18	779
2015-11-19	736
2015-11-20	618
2015-11-21	639
2015-11-22	643
2015-11-23	678
2015-11-24	653
2015-11-25	674
2015-11-26	716
2015-11-27	674
2015-11-28	624
2015-11-29	611
2015-11-30	689
2015-12-01	691
