date	freq
2015-06-01	65
2015-06-02	51
2015-06-03	70
2015-06-04	54
2015-06-05	57
2015-06-06	51
2015-06-07	52
2015-06-08	65
2015-06-09	71
2015-06-10	60
2015-06-11	60
2015-06-12	66
2015-06-13	52
2015-06-14	73
2015-06-15	79
2015-06-16	65
2015-06-17	74
2015-06-18	53
2015-06-19	58
2015-06-20	56
2015-06-21	44
2015-06-22	69
2015-06-23	61
2015-06-24	52
2015-06-25	57
2015-06-26	53
2015-06-27	50
2015-06-28	53
2015-06-29	56
2015-06-30	60
2015-07-01	59
2015-07-02	53
2015-07-03	70
2015-07-04	60
2015-07-05	75
2015-07-06	58
2015-07-07	61
2015-07-08	71
2015-07-09	57
2015-07-10	59
2015-07-11	54
2015-07-12	59
2015-07-13	58
2015-07-14	63
2015-07-15	51
2015-07-16	65
2015-07-17	52
2015-07-18	49
2015-07-19	48
2015-07-20	44
2015-07-21	39
2015-07-22	70
2015-07-23	76
2015-07-24	64
2015-07-25	62
2015-07-26	61
2015-07-27	58
2015-07-28	51
2015-07-29	60
2015-07-30	44
2015-07-31	65
2015-08-01	70
2015-08-02	59
2015-08-03	44
2015-08-04	50
2015-08-05	57
2015-08-06	45
2015-08-07	57
2015-08-08	49
2015-08-09	55
2015-08-10	44
2015-08-11	52
2015-08-12	49
2015-08-13	49
2015-08-14	52
2015-08-15	56
2015-08-16	57
2015-08-17	55
2015-08-18	62
2015-08-19	51
2015-08-20	62
2015-08-21	63
2015-08-22	41
2015-08-23	45
2015-08-24	56
2015-08-25	62
2015-08-26	61
2015-08-27	56
2015-08-28	49
2015-08-29	60
2015-08-30	57
2015-08-31	53
2015-09-01	58
2015-09-02	60
2015-09-03	58
2015-09-04	62
2015-09-05	60
2015-09-06	55
2015-09-07	63
2015-09-08	52
2015-09-09	43
2015-09-10	51
2015-09-11	50
2015-09-12	51
2015-09-13	49
2015-09-14	48
2015-09-15	50
2015-09-16	49
2015-09-17	56
2015-09-18	45
2015-09-19	32
2015-09-20	52
2015-09-21	54
2015-09-22	51
2015-09-23	50
2015-09-24	53
2015-09-25	33
2015-09-26	42
2015-09-27	46
2015-09-28	49
2015-09-29	44
2015-09-30	41
2015-10-01	42
2015-10-02	53
2015-10-03	45
2015-10-04	59
2015-10-05	52
2015-10-06	46
2015-10-07	50
2015-10-08	60
2015-10-09	43
2015-10-10	61
2015-10-11	38
2015-10-12	48
2015-10-13	41
2015-10-14	53
2015-10-15	59
2015-10-16	53
2015-10-17	51
2015-10-18	41
2015-10-19	57
2015-10-20	51
2015-10-21	40
2015-10-22	53
2015-10-23	52
2015-10-24	43
2015-10-25	52
2015-10-26	45
2015-10-27	38
2015-10-28	56
2015-10-29	43
2015-10-30	33
2015-10-31	45
2015-11-01	60
2015-11-02	34
2015-11-03	44
2015-11-04	47
2015-11-05	52
2015-11-06	47
2015-11-07	40
2015-11-08	47
2015-11-09	49
2015-11-10	40
2015-11-11	49
2015-11-12	38
2015-11-13	40
2015-11-14	52
2015-11-15	42
2015-11-16	31
2015-11-17	35
2015-11-18	38
2015-11-19	30
2015-11-20	38
2015-11-21	35
2015-11-22	35
2015-11-23	43
2015-11-24	49
2015-11-25	45
2015-11-26	46
2015-11-27	33
2015-11-28	44
2015-11-29	37
2015-11-30	37
2015-12-01	41
2015-12-02	38
2015-12-03	58
2015-12-04	44
2015-12-05	37
2015-12-06	47
2015-12-07	41
2015-12-08	41
2015-12-09	40
2015-12-10	43
2015-12-11	39
2015-12-12	32
2015-12-13	37
2015-12-14	30
2015-12-15	33
2015-12-16	45
2015-12-17	37
2015-12-18	40
2015-12-19	37
2015-12-20	36
2015-12-21	37
2015-12-22	42
2015-12-23	43
2015-12-24	29
2015-12-25	32
2015-12-26	34
2015-12-27	27
2015-12-28	36
2015-12-29	27
2015-12-30	33
2015-12-31	17
2016-01-01	17
2016-01-02	21
2016-01-03	32
2016-01-04	44
2016-01-05	36
2016-01-06	42
2016-01-07	33
2016-01-08	26
2016-01-09	40
2016-01-10	43
2016-01-11	46
2016-01-12	33
2016-01-13	23
2016-01-14	36
2016-01-15	41
2016-01-16	37
2016-01-17	42
2016-01-18	35
2016-01-19	38
2016-01-20	43
2016-01-21	43
2016-01-22	45
2016-01-23	47
2016-01-24	45
2016-01-25	39
2016-01-26	43
2016-01-27	39
2016-01-28	44
2016-01-29	44
2016-01-30	34
2016-01-31	44
2016-02-01	39
2016-02-02	51
2016-02-03	43
2016-02-04	42
2016-02-05	57
2016-02-06	58
2016-02-07	43
2016-02-08	61
2016-02-09	47
2016-02-10	61
2016-02-11	70
2016-02-12	92
2016-02-13	113
2016-02-14	189
2016-02-15	113
2016-02-16	75
2016-02-17	62
2016-02-18	54
2016-02-19	71
2016-02-20	40
2016-02-21	50
2016-02-22	55
2016-02-23	52
2016-02-24	39
2016-02-25	51
2016-02-26	45
2016-02-27	42
2016-02-28	38
2016-02-29	42
2016-03-01	36
2016-03-02	44
2016-03-03	47
2016-03-04	42
2016-03-05	40
2016-03-06	47
2016-03-07	42
2016-03-08	33
2016-03-09	43
2016-03-10	46
2016-03-11	50
2016-03-12	37
2016-03-13	30
2016-03-14	35
2016-03-15	46
2016-03-16	39
2016-03-17	35
2016-03-18	47
2016-03-19	40
2016-03-20	38
2016-03-21	38
2016-03-22	45
2016-03-23	41
2016-03-24	34
2016-03-25	30
2016-03-26	41
2016-03-27	37
2016-03-28	43
2016-03-29	39
2016-03-30	43
2016-03-31	36
2016-04-01	38
2016-04-02	38
2016-04-03	42
2016-04-04	46
2016-04-05	40
2016-04-06	47
2016-04-07	39
2016-04-08	46
2016-04-09	36
2016-04-10	35
2016-04-11	45
2016-04-12	45
2016-04-13	56
2016-04-14	49
2016-04-15	40
2016-04-16	38
2016-04-17	45
2016-04-18	37
2016-04-19	52
2016-04-20	51
2016-04-21	50
2016-04-22	47
2016-04-23	48
2016-04-24	64
2016-04-25	48
2016-04-26	42
2016-04-27	64
2016-04-28	72
2016-04-29	49
2016-04-30	43
2016-05-01	44
2016-05-02	57
2016-05-03	50
2016-05-04	40
2016-05-05	43
2016-05-06	40
2016-05-07	38
2016-05-08	43
2016-05-09	44
2016-05-10	43
2016-05-11	44
2016-05-12	58
2016-05-13	45
2016-05-14	56
2016-05-15	48
2016-05-16	54
2016-05-17	50
2016-05-18	41
2016-05-19	40
2016-05-20	44
2016-05-21	49
2016-05-22	52
2016-05-23	48
2016-05-24	48
2016-05-25	45
2016-05-26	55
2016-05-27	45
2016-05-28	60
2016-05-29	55
2016-05-30	47
2016-05-31	58
