date	freq
2015-06-01	64
2015-06-02	46
2015-06-03	44
2015-06-04	43
2015-06-05	48
2015-06-06	51
2015-06-07	52
2015-06-08	34
2015-06-09	43
2015-06-10	41
2015-06-11	68
2015-06-12	40
2015-06-13	65
2015-06-14	58
2015-06-15	51
2015-06-16	59
2015-06-17	94
2015-06-18	43
2015-06-19	45
2015-06-20	45
2015-06-21	54
2015-06-22	52
2015-06-23	54
2015-06-24	42
2015-06-25	40
2015-06-26	45
2015-06-27	44
2015-06-28	54
2015-06-29	52
2015-06-30	40
2015-07-01	37
2015-07-02	50
2015-07-03	38
2015-07-04	59
2015-07-05	37
2015-07-06	53
2015-07-07	39
2015-07-08	51
2015-07-09	55
2015-07-10	41
2015-07-11	39
2015-07-12	59
2015-07-13	46
2015-07-14	43
2015-07-15	37
2015-07-16	44
2015-07-17	58
2015-07-18	41
2015-07-19	32
2015-07-20	59
2015-07-21	42
2015-07-22	57
2015-07-23	43
2015-07-24	56
2015-07-25	37
2015-07-26	38
2015-07-27	57
2015-07-28	62
2015-07-29	54
2015-07-30	48
2015-07-31	70
2015-08-01	56
2015-08-02	53
2015-08-03	49
2015-08-04	41
2015-08-05	65
2015-08-06	99
2015-08-07	137
2015-08-08	51
2015-08-09	56
2015-08-10	72
2015-08-11	47
2015-08-12	60
2015-08-13	67
2015-08-14	47
2015-08-15	49
2015-08-16	47
2015-08-17	128
2015-08-18	72
2015-08-19	72
2015-08-20	170
2015-08-21	57
2015-08-22	55
2015-08-23	90
2015-08-24	83
2015-08-25	99
2015-08-26	63
2015-08-27	53
2015-08-28	65
2015-08-29	62
2015-08-30	46
2015-08-31	42
2015-09-01	35
2015-09-02	48
2015-09-03	40
2015-09-04	50
2015-09-05	58
2015-09-06	63
2015-09-07	65
2015-09-08	38
2015-09-09	42
2015-09-10	52
2015-09-11	49
2015-09-12	49
2015-09-13	50
2015-09-14	49
2015-09-15	42
2015-09-16	36
2015-09-17	36
2015-09-18	44
2015-09-19	45
2015-09-20	35
2015-09-21	45
2015-09-22	46
2015-09-23	35
2015-09-24	38
2015-09-25	33
2015-09-26	41
2015-09-27	41
2015-09-28	39
2015-09-29	33
2015-09-30	35
