date	freq
2015-06-01	17
2015-06-02	14
2015-06-03	23
2015-06-04	17
2015-06-05	16
2015-06-06	14
2015-06-07	26
2015-06-08	15
2015-06-09	15
2015-06-10	12
2015-06-11	14
2015-06-12	11
2015-06-13	12
2015-06-14	21
2015-06-15	17
2015-06-16	18
2015-06-17	11
2015-06-18	20
2015-06-19	16
2015-06-20	15
2015-06-21	17
2015-06-22	18
2015-06-23	21
2015-06-24	18
2015-06-25	8
2015-06-26	8
2015-06-27	9
2015-06-28	20
2015-06-29	18
2015-06-30	15
2015-07-01	14
2015-07-02	9
2015-07-03	16
2015-07-04	10
2015-07-05	18
2015-07-06	15
2015-07-07	10
2015-07-08	14
2015-07-09	10
2015-07-10	12
2015-07-11	15
2015-07-12	19
2015-07-13	6
2015-07-14	15
2015-07-15	9
2015-07-16	13
2015-07-17	9
2015-07-18	13
2015-07-19	14
2015-07-20	4
2015-07-21	12
2015-07-22	12
2015-07-23	9
2015-07-24	10
2015-07-25	12
2015-07-26	13
2015-07-27	19
2015-07-28	11
2015-07-29	14
2015-07-30	14
2015-07-31	15
2015-08-01	14
2015-08-02	14
2015-08-03	12
2015-08-04	13
2015-08-05	16
2015-08-06	20
2015-08-07	8
2015-08-08	12
2015-08-09	12
2015-08-10	15
2015-08-11	8
2015-08-12	12
2015-08-13	16
2015-08-14	12
2015-08-15	11
2015-08-16	11
2015-08-17	12
2015-08-18	8
2015-08-19	12
2015-08-20	21
2015-08-21	9
2015-08-22	9
2015-08-23	11
2015-08-24	10
2015-08-25	16
2015-08-26	15
2015-08-27	10
2015-08-28	9
2015-08-29	7
2015-08-30	22
2015-08-31	23
2015-09-01	17
2015-09-02	17
2015-09-03	19
2015-09-04	9
2015-09-05	18
2015-09-06	12
2015-09-07	17
2015-09-08	24
2015-09-09	14
2015-09-10	26
2015-09-11	21
2015-09-12	16
2015-09-13	17
2015-09-14	19
2015-09-15	15
2015-09-16	13
2015-09-17	31
2015-09-18	20
2015-09-19	21
2015-09-20	21
2015-09-21	13
2015-09-22	15
2015-09-23	14
2015-09-24	14
2015-09-25	27
