date	freq
2015-06-01	28
2015-06-02	43
2015-06-03	28
2015-06-04	34
2015-06-05	31
2015-06-06	28
2015-06-07	22
2015-06-08	30
2015-06-09	32
2015-06-10	39
2015-06-11	34
2015-06-12	37
2015-06-13	30
2015-06-14	22
2015-06-15	28
2015-06-16	26
2015-06-17	154
2015-06-18	559
2015-06-19	144
2015-06-20	96
2015-06-21	86
2015-06-22	48
2015-06-23	65
2015-06-24	69
2015-06-25	43
2015-06-26	52
2015-06-27	43
2015-06-28	39
2015-06-29	42
2015-06-30	33
2015-07-01	49
2015-07-02	38
2015-07-03	50
2015-07-04	51
2015-07-05	37
2015-07-06	43
2015-07-07	25
2015-07-08	38
2015-07-09	45
2015-07-10	34
2015-07-11	28
2015-07-12	28
2015-07-13	25
2015-07-14	29
2015-07-15	26
2015-07-16	43
2015-07-17	30
2015-07-18	24
2015-07-19	34
2015-07-20	22
2015-07-21	38
2015-07-22	23
2015-07-23	36
2015-07-24	43
2015-07-25	28
2015-07-26	27
2015-07-27	16
2015-07-28	38
2015-07-29	23
2015-07-30	38
2015-07-31	20
2015-08-01	25
2015-08-02	21
2015-08-03	22
2015-08-04	30
2015-08-05	25
2015-08-06	25
2015-08-07	40
2015-08-08	18
2015-08-09	22
2015-08-10	26
2015-08-11	16
2015-08-12	28
2015-08-13	28
2015-08-14	20
2015-08-15	25
2015-08-16	26
2015-08-17	25
2015-08-18	23
2015-08-19	28
2015-08-20	24
2015-08-21	22
2015-08-22	24
2015-08-23	21
2015-08-24	30
2015-08-25	25
2015-08-26	26
2015-08-27	29
2015-08-28	30
2015-08-29	32
2015-08-30	19
2015-08-31	23
2015-09-01	22
2015-09-02	37
2015-09-03	36
2015-09-04	33
2015-09-05	25
2015-09-06	34
2015-09-07	27
2015-09-08	41
2015-09-09	28
2015-09-10	38
2015-09-11	55
2015-09-12	35
2015-09-13	31
2015-09-14	41
2015-09-15	36
2015-09-16	30
2015-09-17	34
2015-09-18	33
2015-09-19	27
2015-09-20	30
2015-09-21	41
2015-09-22	29
2015-09-23	36
2015-09-24	41
2015-09-25	34
2015-09-26	33
2015-09-27	42
2015-09-28	32
2015-09-29	35
2015-09-30	34
2015-10-01	32
2015-10-02	29
2015-10-03	37
2015-10-04	31
2015-10-05	32
2015-10-06	33
2015-10-07	38
2015-10-08	31
2015-10-09	40
2015-10-10	25
2015-10-11	32
2015-10-12	29
2015-10-13	25
2015-10-14	33
2015-10-15	35
2015-10-16	24
2015-10-17	32
2015-10-18	34
2015-10-19	35
2015-10-20	21
2015-10-21	27
2015-10-22	25
2015-10-23	24
2015-10-24	28
2015-10-25	19
2015-10-26	35
2015-10-27	26
2015-10-28	28
2015-10-29	34
2015-10-30	32
2015-10-31	21
2015-11-01	25
2015-11-02	22
2015-11-03	26
2015-11-04	31
2015-11-05	35
2015-11-06	27
2015-11-07	31
2015-11-08	26
2015-11-09	43
2015-11-10	44
2015-11-11	21
2015-11-12	19
2015-11-13	31
2015-11-14	26
2015-11-15	25
2015-11-16	33
2015-11-17	26
2015-11-18	39
2015-11-19	30
2015-11-20	28
2015-11-21	24
2015-11-22	26
2015-11-23	23
2015-11-24	23
2015-11-25	36
2015-11-26	30
2015-11-27	29
2015-11-28	26
2015-11-29	17
2015-11-30	30
2015-12-01	24
2015-12-02	22
2015-12-03	31
2015-12-04	24
2015-12-05	15
2015-12-06	32
2015-12-07	29
2015-12-08	28
2015-12-09	33
2015-12-10	24
2015-12-11	33
2015-12-12	30
2015-12-13	28
2015-12-14	29
2015-12-15	30
2015-12-16	31
2015-12-17	20
2015-12-18	30
2015-12-19	24
2015-12-20	26
2015-12-21	14
2015-12-22	21
2015-12-23	31
2015-12-24	19
2015-12-25	23
2015-12-26	23
2015-12-27	16
2015-12-28	16
2015-12-29	22
2015-12-30	19
2015-12-31	13
2016-01-01	9
2016-01-02	13
2016-01-03	22
2016-01-04	16
2016-01-05	33
2016-01-06	27
2016-01-07	23
2016-01-08	15
2016-01-09	25
2016-01-10	22
2016-01-11	32
2016-01-12	31
2016-01-13	45
2016-01-14	20
2016-01-15	31
2016-01-16	17
2016-01-17	34
2016-01-18	25
2016-01-19	22
2016-01-20	33
2016-01-21	33
2016-01-22	19
2016-01-23	26
2016-01-24	35
2016-01-25	30
2016-01-26	27
2016-01-27	34
2016-01-28	31
2016-01-29	33
2016-01-30	29
2016-01-31	27
2016-02-01	25
2016-02-02	33
2016-02-03	26
2016-02-04	22
2016-02-05	22
2016-02-06	22
2016-02-07	34
2016-02-08	21
2016-02-09	24
2016-02-10	28
2016-02-11	19
2016-02-12	22
2016-02-13	35
2016-02-14	26
2016-02-15	25
2016-02-16	36
2016-02-17	24
2016-02-18	34
2016-02-19	29
2016-02-20	29
2016-02-21	30
2016-02-22	29
2016-02-23	28
2016-02-24	30
2016-02-25	28
2016-02-26	26
2016-02-27	31
2016-02-28	33
2016-02-29	23
2016-03-01	19
2016-03-02	19
2016-03-03	24
2016-03-04	27
2016-03-05	21
2016-03-06	24
2016-03-07	25
2016-03-08	18
2016-03-09	15
2016-03-10	47
2016-03-11	16
2016-03-12	24
2016-03-13	25
2016-03-14	31
2016-03-15	25
2016-03-16	19
2016-03-17	22
2016-03-18	22
2016-03-19	21
2016-03-20	24
2016-03-21	28
2016-03-22	21
2016-03-23	23
2016-03-24	15
2016-03-25	20
2016-03-26	24
2016-03-27	17
2016-03-28	31
2016-03-29	25
2016-03-30	19
2016-03-31	16
2016-04-01	19
2016-04-02	14
2016-04-03	17
2016-04-04	18
2016-04-05	31
2016-04-06	25
2016-04-07	28
2016-04-08	42
2016-04-09	15
2016-04-10	24
2016-04-11	28
2016-04-12	19
2016-04-13	24
2016-04-14	33
2016-04-15	29
2016-04-16	27
2016-04-17	14
2016-04-18	30
2016-04-19	35
2016-04-20	23
2016-04-21	19
2016-04-22	45
2016-04-23	58
2016-04-24	19
2016-04-25	14
2016-04-26	18
2016-04-27	26
2016-04-28	19
2016-04-29	23
2016-04-30	22
2016-05-01	25
2016-05-02	29
2016-05-03	21
2016-05-04	23
2016-05-05	17
2016-05-06	23
2016-05-07	31
2016-05-08	34
2016-05-09	19
2016-05-10	27
2016-05-11	19
2016-05-12	14
2016-05-13	33
2016-05-14	21
2016-05-15	27
2016-05-16	22
2016-05-17	25
2016-05-18	21
2016-05-19	21
2016-05-20	23
2016-05-21	31
2016-05-22	28
2016-05-23	19
2016-05-24	25
2016-05-25	27
2016-05-26	31
2016-05-27	23
2016-05-28	22
2016-05-29	16
2016-05-30	17
2016-05-31	23
