date	freq
2015-06-01	51
2015-06-02	70
2015-06-03	60
2015-06-04	66
2015-06-05	60
2015-06-06	94
2015-06-07	75
2015-06-08	56
2015-06-09	72
2015-06-10	52
2015-06-11	72
2015-06-12	58
2015-06-13	74
2015-06-14	65
2015-06-15	68
2015-06-16	64
2015-06-17	55
2015-06-18	61
2015-06-19	49
2015-06-20	41
2015-06-21	45
2015-06-22	196
2015-06-23	205
2015-06-24	59
2015-06-25	173
2015-06-26	56
2015-06-27	40
2015-06-28	215
2015-06-29	50
2015-06-30	59
2015-07-01	175
2015-07-02	61
2015-07-03	48
2015-07-04	32
2015-07-05	38
2015-07-06	139
2015-07-07	58
2015-07-08	46
2015-07-09	42
2015-07-10	42
2015-07-11	49
2015-07-12	44
2015-07-13	43
2015-07-14	47
2015-07-15	34
2015-07-16	41
2015-07-17	52
2015-07-18	45
2015-07-19	41
2015-07-20	46
2015-07-21	37
2015-07-22	43
2015-07-23	40
2015-07-24	96
2015-07-25	48
2015-07-26	38
2015-07-27	45
2015-07-28	40
2015-07-29	32
2015-07-30	56
2015-07-31	44
2015-08-01	48
2015-08-02	53
2015-08-03	50
2015-08-04	53
2015-08-05	50
2015-08-06	58
2015-08-07	166
2015-08-08	42
2015-08-09	39
2015-08-10	65
2015-08-11	48
2015-08-12	155
2015-08-13	39
2015-08-14	25
2015-08-15	36
2015-08-16	40
2015-08-17	50
2015-08-18	51
2015-08-19	60
2015-08-20	50
2015-08-21	48
2015-08-22	56
2015-08-23	51
2015-08-24	66
2015-08-25	79
2015-08-26	36
2015-08-27	122
2015-08-28	55
2015-08-29	44
2015-08-30	51
2015-08-31	57
2015-09-01	72
2015-09-02	63
2015-09-03	48
2015-09-04	47
2015-09-05	55
2015-09-06	123
2015-09-07	108
2015-09-08	54
2015-09-09	54
2015-09-10	48
2015-09-11	45
2015-09-12	54
2015-09-13	46
2015-09-14	124
2015-09-15	162
2015-09-16	90
2015-09-17	40
2015-09-18	38
2015-09-19	77
2015-09-20	55
2015-09-21	58
2015-09-22	39
2015-09-23	77
2015-09-24	50
2015-09-25	61
2015-09-26	80
2015-09-27	106
2015-09-28	58
2015-09-29	117
2015-09-30	51
2015-10-01	62
2015-10-02	47
2015-10-03	65
2015-10-04	60
2015-10-05	63
2015-10-06	48
2015-10-07	74
2015-10-08	51
2015-10-09	49
2015-10-10	57
2015-10-11	50
2015-10-12	45
2015-10-13	196
2015-10-14	29
2015-10-15	233
2015-10-16	204
2015-10-17	214
2015-10-18	46
2015-10-19	67
2015-10-20	195
2015-10-21	174
2015-10-22	202
2015-10-23	54
2015-10-24	48
2015-10-25	43
2015-10-26	60
2015-10-27	54
2015-10-28	46
2015-10-29	61
2015-10-30	54
2015-10-31	152
2015-11-01	45
2015-11-02	57
2015-11-03	56
2015-11-04	151
2015-11-05	50
2015-11-06	79
2015-11-07	61
2015-11-08	76
2015-11-09	65
2015-11-10	153
2015-11-11	120
2015-11-12	80
2015-11-13	69
2015-11-14	81
2015-11-15	58
2015-11-16	58
2015-11-17	73
2015-11-18	83
2015-11-19	71
2015-11-20	56
2015-11-21	45
2015-11-22	49
2015-11-23	45
2015-11-24	74
2015-11-25	57
2015-11-26	72
2015-11-27	67
2015-11-28	53
2015-11-29	58
2015-11-30	60
2015-12-01	57
2015-12-02	70
2015-12-03	50
2015-12-04	47
2015-12-05	72
2015-12-06	45
2015-12-07	44
2015-12-08	92
2015-12-09	47
2015-12-10	68
2015-12-11	49
2015-12-12	91
2015-12-13	74
2015-12-14	54
2015-12-15	45
2015-12-16	48
2015-12-17	47
2015-12-18	72
2015-12-19	41
2015-12-20	49
2015-12-21	45
2015-12-22	51
2015-12-23	27
2015-12-24	42
2015-12-25	42
2015-12-26	34
2015-12-27	37
2015-12-28	46
2015-12-29	46
2015-12-30	60
2015-12-31	41
2016-01-01	27
2016-01-02	46
2016-01-03	47
2016-01-04	35
2016-01-05	43
2016-01-06	58
2016-01-07	60
2016-01-08	38
2016-01-09	47
2016-01-10	58
2016-01-11	48
2016-01-12	65
2016-01-13	47
2016-01-14	48
2016-01-15	48
2016-01-16	80
2016-01-17	61
2016-01-18	72
2016-01-19	60
2016-01-20	48
2016-01-21	74
2016-01-22	60
2016-01-23	59
2016-01-24	48
2016-01-25	47
2016-01-26	61
2016-01-27	60
2016-01-28	68
2016-01-29	53
2016-01-30	53
2016-01-31	75
2016-02-01	54
2016-02-02	48
2016-02-03	38
2016-02-04	82
2016-02-05	52
2016-02-06	52
2016-02-07	50
2016-02-08	54
2016-02-09	53
2016-02-10	41
2016-02-11	57
2016-02-12	44
2016-02-13	55
2016-02-14	41
2016-02-15	54
2016-02-16	49
2016-02-17	58
2016-02-18	46
2016-02-19	43
2016-02-20	63
2016-02-21	39
2016-02-22	63
2016-02-23	49
2016-02-24	47
2016-02-25	49
2016-02-26	39
2016-02-27	44
2016-02-28	55
2016-02-29	48
2016-03-01	42
2016-03-02	48
2016-03-03	48
2016-03-04	56
2016-03-05	37
2016-03-06	40
2016-03-07	49
2016-03-08	57
2016-03-09	50
2016-03-10	39
2016-03-11	43
2016-03-12	59
2016-03-13	39
2016-03-14	47
2016-03-15	42
2016-03-16	50
2016-03-17	45
2016-03-18	41
2016-03-19	37
2016-03-20	51
2016-03-21	74
2016-03-22	65
2016-03-23	41
2016-03-24	35
2016-03-25	36
2016-03-26	54
2016-03-27	57
2016-03-28	56
2016-03-29	53
2016-03-30	57
2016-03-31	51
2016-04-01	54
2016-04-02	45
2016-04-03	43
2016-04-04	51
2016-04-05	43
2016-04-06	32
2016-04-07	49
2016-04-08	16
2016-04-09	56
2016-04-10	62
2016-04-11	62
2016-04-12	54
2016-04-13	44
2016-04-14	46
2016-04-15	42
2016-04-16	35
2016-04-17	53
2016-04-18	51
2016-04-19	44
2016-04-20	50
2016-04-21	81
2016-04-22	62
2016-04-23	48
2016-04-24	38
2016-04-25	50
2016-04-26	45
2016-04-27	36
2016-04-28	36
2016-04-29	32
2016-04-30	38
2016-05-01	42
2016-05-02	23
2016-05-03	317
2016-05-04	177
2016-05-05	116
2016-05-06	85
2016-05-07	71
2016-05-08	114
2016-05-09	61
2016-05-10	27
2016-05-11	28
2016-05-12	40
2016-05-13	60
2016-05-14	46
2016-05-15	50
2016-05-16	42
2016-05-17	51
2016-05-18	57
2016-05-19	41
2016-05-20	66
2016-05-21	83
2016-05-22	41
2016-05-23	41
2016-05-24	39
2016-05-25	58
2016-05-26	75
2016-05-27	93
2016-05-28	40
2016-05-29	36
2016-05-30	41
2016-05-31	45
