date	freq
2015-06-01	299
2015-06-02	220
2015-06-03	193
2015-06-04	148
2015-06-05	131
2015-06-06	126
2015-06-07	164
2015-06-08	142
2015-06-09	168
2015-06-10	165
2015-06-11	165
2015-06-12	167
2015-06-13	169
2015-06-14	165
2015-06-15	157
2015-06-16	173
2015-06-17	160
2015-06-18	184
2015-06-19	313
2015-06-20	266
2015-06-21	175
2015-06-22	294
2015-06-23	320
2015-06-24	390
2015-06-25	246
2015-06-26	165
2015-06-27	372
2015-06-28	182
2015-06-29	406
2015-06-30	179
2015-07-01	174
2015-07-02	205
2015-07-03	157
2015-07-04	228
2015-07-05	241
2015-07-06	180
2015-07-07	203
2015-07-08	200
2015-07-09	175
2015-07-10	165
2015-07-11	203
2015-07-12	147
2015-07-13	160
2015-07-14	304
2015-07-15	180
2015-07-16	197
2015-07-17	151
2015-07-18	165
2015-07-19	157
2015-07-20	163
2015-07-21	173
2015-07-22	221
2015-07-23	184
2015-07-24	161
2015-07-25	174
2015-07-26	170
2015-07-27	186
2015-07-28	199
2015-07-29	157
2015-07-30	159
2015-07-31	174
2015-08-01	137
2015-08-02	173
2015-08-03	274
2015-08-04	155
2015-08-05	293
2015-08-06	126
2015-08-07	178
2015-08-08	129
2015-08-09	122
2015-08-10	135
2015-08-11	162
2015-08-12	158
2015-08-13	203
2015-08-14	123
2015-08-15	128
2015-08-16	149
2015-08-17	145
2015-08-18	132
2015-08-19	139
2015-08-20	193
2015-08-21	134
2015-08-22	141
2015-08-23	149
2015-08-24	127
2015-08-25	144
2015-08-26	155
2015-08-27	170
2015-08-28	123
2015-08-29	129
2015-08-30	157
2015-08-31	210
2015-09-01	126
2015-09-02	129
2015-09-03	142
2015-09-04	109
2015-09-05	137
2015-09-06	170
2015-09-07	148
2015-09-08	157
2015-09-09	125
2015-09-10	120
2015-09-11	126
2015-09-12	124
2015-09-13	131
2015-09-14	113
2015-09-15	241
2015-09-16	106
2015-09-17	119
2015-09-18	147
2015-09-19	100
2015-09-20	148
2015-09-21	137
2015-09-22	130
2015-09-23	117
2015-09-24	136
2015-09-25	112
2015-09-26	272
2015-09-27	154
2015-09-28	167
2015-09-29	132
2015-09-30	156
2015-10-01	142
2015-10-02	120
2015-10-03	96
2015-10-04	106
2015-10-05	101
2015-10-06	125
2015-10-07	132
2015-10-08	116
2015-10-09	137
2015-10-10	110
2015-10-11	116
2015-10-12	119
2015-10-13	125
2015-10-14	110
2015-10-15	115
2015-10-16	126
2015-10-17	126
2015-10-18	239
2015-10-19	114
2015-10-20	121
2015-10-21	131
2015-10-22	257
2015-10-23	112
2015-10-24	119
2015-10-25	124
2015-10-26	129
2015-10-27	118
2015-10-28	142
2015-10-29	269
2015-10-30	149
2015-10-31	125
2015-11-01	116
2015-11-02	122
2015-11-03	244
2015-11-04	134
2015-11-05	132
2015-11-06	147
2015-11-07	263
2015-11-08	134
2015-11-09	310
2015-11-10	150
2015-11-11	152
2015-11-12	135
2015-11-13	112
2015-11-14	157
2015-11-15	120
2015-11-16	132
2015-11-17	148
2015-11-18	130
2015-11-19	143
2015-11-20	114
2015-11-21	126
2015-11-22	124
2015-11-23	84
2015-11-24	96
2015-11-25	121
2015-11-26	108
2015-11-27	99
2015-11-28	105
2015-11-29	110
2015-11-30	116
2015-12-01	103
2015-12-02	100
2015-12-03	115
2015-12-04	108
2015-12-05	120
2015-12-06	111
2015-12-07	105
2015-12-08	108
2015-12-09	97
2015-12-10	117
2015-12-11	104
2015-12-12	114
2015-12-13	143
2015-12-14	139
2015-12-15	92
2015-12-16	117
2015-12-17	109
2015-12-18	98
2015-12-19	97
2015-12-20	90
2015-12-21	117
2015-12-22	156
2015-12-23	133
2015-12-24	155
2015-12-25	155
2015-12-26	138
2015-12-27	124
2015-12-28	108
2015-12-29	95
2015-12-30	128
2015-12-31	87
2016-01-01	70
2016-01-02	77
2016-01-03	77
2016-01-04	90
2016-01-05	100
2016-01-06	121
2016-01-07	95
2016-01-08	96
2016-01-09	87
2016-01-10	93
2016-01-11	97
2016-01-12	122
2016-01-13	86
2016-01-14	99
2016-01-15	106
2016-01-16	98
2016-01-17	122
2016-01-18	102
2016-01-19	109
2016-01-20	108
2016-01-21	100
2016-01-22	113
2016-01-23	109
2016-01-24	99
2016-01-25	104
2016-01-26	105
2016-01-27	111
2016-01-28	100
2016-01-29	98
2016-01-30	100
2016-01-31	143
2016-02-01	127
2016-02-02	98
2016-02-03	113
2016-02-04	117
2016-02-05	121
2016-02-06	100
2016-02-07	113
2016-02-08	137
2016-02-09	149
2016-02-10	103
2016-02-11	107
2016-02-12	110
2016-02-13	109
2016-02-14	171
2016-02-15	167
2016-02-16	136
2016-02-17	130
2016-02-18	159
2016-02-19	121
2016-02-20	104
2016-02-21	133
2016-02-22	94
2016-02-23	110
2016-02-24	119
2016-02-25	119
2016-02-26	83
2016-02-27	116
2016-02-28	115
2016-02-29	151
2016-03-01	116
2016-03-02	141
2016-03-03	158
2016-03-04	140
2016-03-05	102
2016-03-06	131
2016-03-07	116
2016-03-08	123
2016-03-09	105
2016-03-10	131
2016-03-11	131
2016-03-12	97
2016-03-13	117
2016-03-14	121
2016-03-15	114
2016-03-16	97
2016-03-17	98
2016-03-18	94
2016-03-19	89
2016-03-20	101
2016-03-21	149
2016-03-22	115
2016-03-23	86
2016-03-24	90
2016-03-25	105
2016-03-26	100
2016-03-27	108
2016-03-28	96
2016-03-29	112
2016-03-30	108
2016-03-31	102
2016-04-01	106
2016-04-02	102
2016-04-03	101
2016-04-04	95
2016-04-05	118
2016-04-06	95
2016-04-07	97
2016-04-08	103
2016-04-09	120
2016-04-10	125
2016-04-11	116
2016-04-12	132
2016-04-13	108
2016-04-14	150
2016-04-15	121
2016-04-16	96
2016-04-17	125
2016-04-18	105
2016-04-19	118
2016-04-20	115
2016-04-21	120
2016-04-22	128
2016-04-23	106
2016-04-24	90
2016-04-25	100
2016-04-26	138
2016-04-27	124
2016-04-28	126
2016-04-29	122
2016-04-30	156
2016-05-01	115
2016-05-02	127
2016-05-03	91
2016-05-04	84
2016-05-05	85
2016-05-06	99
2016-05-07	128
2016-05-08	127
2016-05-09	134
2016-05-10	115
2016-05-11	117
2016-05-12	113
2016-05-13	133
2016-05-14	118
2016-05-15	106
2016-05-16	130
2016-05-17	171
2016-05-18	122
2016-05-19	133
2016-05-20	170
2016-05-21	144
2016-05-22	125
2016-05-23	127
2016-05-24	124
2016-05-25	128
2016-05-26	137
2016-05-27	146
2016-05-28	146
2016-05-29	99
2016-05-30	147
2016-05-31	123
