date	freq
2015-06-01	66
2015-06-02	76
2015-06-03	69
2015-06-04	73
2015-06-05	76
2015-06-06	69
2015-06-07	91
2015-06-08	41
2015-06-09	74
2015-06-10	37
2015-06-11	77
2015-06-12	80
2015-06-13	97
2015-06-14	98
2015-06-15	64
2015-06-16	72
2015-06-17	57
2015-06-18	93
2015-06-19	56
2015-06-20	80
2015-06-21	57
2015-06-22	64
2015-06-23	64
2015-06-24	76
2015-06-25	69
2015-06-26	71
2015-06-27	53
2015-06-28	72
2015-06-29	65
2015-06-30	45
2015-07-01	71
2015-07-02	51
2015-07-03	65
2015-07-04	67
2015-07-05	60
2015-07-06	75
2015-07-07	64
2015-07-08	81
2015-07-09	59
2015-07-10	54
2015-07-11	65
2015-07-12	79
2015-07-13	59
2015-07-14	142
2015-07-15	78
2015-07-16	70
2015-07-17	85
2015-07-18	62
2015-07-19	89
2015-07-20	61
2015-07-21	88
2015-07-22	100
2015-07-23	77
2015-07-24	79
2015-07-25	81
2015-07-26	78
2015-07-27	83
2015-07-28	74
2015-07-29	74
2015-07-30	83
2015-07-31	64
2015-08-01	96
2015-08-02	68
2015-08-03	84
2015-08-04	95
2015-08-05	80
2015-08-06	66
2015-08-07	70
2015-08-08	75
2015-08-09	79
2015-08-10	77
2015-08-11	75
2015-08-12	107
2015-08-13	83
2015-08-14	96
2015-08-15	71
2015-08-16	75
2015-08-17	78
2015-08-18	74
2015-08-19	75
2015-08-20	71
2015-08-21	89
2015-08-22	101
2015-08-23	72
2015-08-24	75
2015-08-25	82
2015-08-26	66
2015-08-27	79
2015-08-28	81
2015-08-29	76
2015-08-30	68
2015-08-31	99
2015-09-01	72
2015-09-02	81
2015-09-03	69
2015-09-04	67
2015-09-05	69
2015-09-06	65
2015-09-07	67
2015-09-08	78
2015-09-09	65
2015-09-10	70
2015-09-11	61
2015-09-12	81
2015-09-13	70
2015-09-14	69
2015-09-15	80
2015-09-16	86
2015-09-17	58
2015-09-18	58
2015-09-19	56
2015-09-20	62
2015-09-21	75
2015-09-22	65
2015-09-23	70
2015-09-24	46
2015-09-25	49
2015-09-26	45
2015-09-27	76
2015-09-28	62
2015-09-29	62
2015-09-30	47
2015-10-01	56
2015-10-02	61
2015-10-03	56
2015-10-04	66
2015-10-05	74
2015-10-06	129
2015-10-07	84
2015-10-08	58
2015-10-09	64
2015-10-10	53
2015-10-11	56
2015-10-12	45
2015-10-13	64
2015-10-14	66
2015-10-15	45
2015-10-16	46
2015-10-17	52
2015-10-18	57
2015-10-19	49
2015-10-20	57
2015-10-21	63
2015-10-22	54
2015-10-23	48
2015-10-24	62
2015-10-25	60
2015-10-26	52
2015-10-27	58
2015-10-28	56
2015-10-29	73
2015-10-30	75
2015-10-31	74
2015-11-01	69
2015-11-02	52
2015-11-03	63
2015-11-04	56
2015-11-05	37
2015-11-06	53
2015-11-07	55
2015-11-08	55
2015-11-09	54
