date	freq
2015-06-01	18
2015-06-02	19
2015-06-03	20
2015-06-04	25
2015-06-05	13
2015-06-06	13
2015-06-07	11
2015-06-08	19
2015-06-09	22
2015-06-10	15
2015-06-11	19
2015-06-12	19
2015-06-13	14
2015-06-14	12
2015-06-15	17
2015-06-16	14
2015-06-17	17
2015-06-18	22
2015-06-19	15
2015-06-20	14
2015-06-21	15
2015-06-22	19
2015-06-23	16
2015-06-24	15
2015-06-25	25
2015-06-26	25
2015-06-27	11
2015-06-28	15
2015-06-29	32
2015-06-30	19
2015-07-01	18
2015-07-02	16
2015-07-03	11
2015-07-04	19
2015-07-05	14
2015-07-06	19
2015-07-07	19
2015-07-08	26
2015-07-09	24
2015-07-10	16
2015-07-11	15
2015-07-12	16
2015-07-13	15
2015-07-14	14
2015-07-15	18
2015-07-16	26
2015-07-17	20
2015-07-18	23
2015-07-19	13
2015-07-20	17
2015-07-21	21
2015-07-22	16
2015-07-23	21
2015-07-24	16
2015-07-25	21
2015-07-26	22
2015-07-27	9
2015-07-28	19
2015-07-29	10
2015-07-30	18
2015-07-31	10
2015-08-01	16
2015-08-02	21
2015-08-03	18
2015-08-04	12
2015-08-05	9
2015-08-06	20
2015-08-07	13
2015-08-08	19
2015-08-09	11
2015-08-10	11
2015-08-11	16
2015-08-12	17
2015-08-13	22
2015-08-14	13
2015-08-15	12
2015-08-16	18
2015-08-17	20
2015-08-18	13
2015-08-19	19
2015-08-20	23
2015-08-21	24
2015-08-22	18
2015-08-23	21
2015-08-24	21
2015-08-25	24
2015-08-26	12
2015-08-27	19
2015-08-28	24
2015-08-29	12
2015-08-30	13
2015-08-31	18
2015-09-01	28
2015-09-02	23
2015-09-03	24
2015-09-04	24
2015-09-05	26
2015-09-06	28
2015-09-07	31
2015-09-08	20
2015-09-09	19
2015-09-10	21
2015-09-11	26
2015-09-12	20
2015-09-13	19
2015-09-14	22
2015-09-15	32
2015-09-16	20
2015-09-17	31
2015-09-18	23
2015-09-19	20
2015-09-20	25
2015-09-21	32
2015-09-22	14
2015-09-23	29
2015-09-24	21
2015-09-25	27
2015-09-26	31
2015-09-27	23
2015-09-28	26
2015-09-29	35
2015-09-30	24
2015-10-01	28
2015-10-02	22
2015-10-03	26
2015-10-04	18
2015-10-05	14
2015-10-06	17
2015-10-07	24
2015-10-08	16
2015-10-09	23
2015-10-10	21
2015-10-11	21
2015-10-12	35
2015-10-13	28
2015-10-14	19
2015-10-15	19
2015-10-16	29
2015-10-17	25
2015-10-18	14
2015-10-19	22
2015-10-20	14
2015-10-21	21
2015-10-22	22
2015-10-23	16
2015-10-24	23
2015-10-25	22
2015-10-26	18
2015-10-27	23
2015-10-28	31
2015-10-29	21
2015-10-30	13
2015-10-31	25
2015-11-01	13
2015-11-02	9
2015-11-03	15
2015-11-04	17
2015-11-05	19
2015-11-06	20
2015-11-07	22
2015-11-08	27
2015-11-09	15
2015-11-10	27
2015-11-11	19
2015-11-12	25
2015-11-13	20
2015-11-14	24
2015-11-15	26
2015-11-16	19
2015-11-17	24
2015-11-18	23
2015-11-19	24
2015-11-20	16
2015-11-21	20
2015-11-22	17
2015-11-23	24
2015-11-24	15
2015-11-25	16
2015-11-26	26
2015-11-27	26
2015-11-28	38
2015-11-29	25
2015-11-30	17
2015-12-01	25
2015-12-02	27
2015-12-03	22
2015-12-04	18
2015-12-05	16
2015-12-06	14
2015-12-07	23
2015-12-08	15
2015-12-09	23
2015-12-10	25
2015-12-11	14
2015-12-12	14
2015-12-13	21
2015-12-14	19
2015-12-15	20
2015-12-16	13
2015-12-17	31
2015-12-18	31
2015-12-19	32
2015-12-20	25
2015-12-21	15
2015-12-22	15
2015-12-23	25
2015-12-24	19
2015-12-25	12
2015-12-26	14
2015-12-27	24
2015-12-28	15
2015-12-29	22
2015-12-30	21
2015-12-31	20
2016-01-01	16
2016-01-02	9
2016-01-03	16
2016-01-04	8
2016-01-05	16
2016-01-06	12
2016-01-07	20
2016-01-08	13
2016-01-09	33
2016-01-10	24
2016-01-11	14
2016-01-12	9
2016-01-13	13
2016-01-14	20
