date	freq
2015-06-01	180
2015-06-02	194
2015-06-03	173
2015-06-04	215
2015-06-05	173
2015-06-06	150
2015-06-07	132
2015-06-08	178
2015-06-09	158
2015-06-10	182
2015-06-11	172
2015-06-12	176
2015-06-13	149
2015-06-14	167
2015-06-15	183
2015-06-16	162
2015-06-17	158
2015-06-18	151
2015-06-19	160
2015-06-20	153
2015-06-21	149
2015-06-22	185
2015-06-23	187
2015-06-24	205
2015-06-25	178
2015-06-26	171
2015-06-27	157
2015-06-28	148
2015-06-29	210
2015-06-30	242
2015-07-01	233
2015-07-02	255
2015-07-03	227
2015-07-04	211
2015-07-05	185
2015-07-06	219
2015-07-07	266
2015-07-08	258
2015-07-09	233
2015-07-10	280
2015-07-11	212
2015-07-12	196
2015-07-13	204
2015-07-14	184
2015-07-15	192
2015-07-16	200
2015-07-17	169
2015-07-18	166
2015-07-19	174
2015-07-20	170
2015-07-21	193
2015-07-22	213
2015-07-23	188
2015-07-24	217
2015-07-25	153
2015-07-26	182
2015-07-27	200
2015-07-28	192
2015-07-29	209
2015-07-30	209
2015-07-31	231
2015-08-01	162
2015-08-02	159
2015-08-03	166
2015-08-04	183
2015-08-05	215
2015-08-06	187
2015-08-07	221
2015-08-08	205
2015-08-09	163
2015-08-10	172
2015-08-11	202
2015-08-12	194
2015-08-13	178
2015-08-14	190
2015-08-15	170
2015-08-16	164
2015-08-17	186
2015-08-18	210
2015-08-19	194
2015-08-20	216
2015-08-21	202
2015-08-22	170
2015-08-23	165
2015-08-24	193
2015-08-25	217
2015-08-26	224
2015-08-27	201
2015-08-28	201
2015-08-29	167
2015-08-30	188
2015-08-31	201
2015-09-01	201
2015-09-02	222
2015-09-03	232
2015-09-04	226
2015-09-05	190
2015-09-06	197
2015-09-07	231
2015-09-08	215
2015-09-09	244
2015-09-10	192
2015-09-11	190
2015-09-12	154
2015-09-13	176
2015-09-14	206
2015-09-15	241
2015-09-16	230
2015-09-17	230
2015-09-18	223
2015-09-19	197
2015-09-20	167
2015-09-21	191
2015-09-22	199
2015-09-23	174
2015-09-24	179
2015-09-25	176
2015-09-26	153
2015-09-27	187
2015-09-28	175
2015-09-29	206
2015-09-30	194
2015-10-01	203
2015-10-02	174
2015-10-03	173
2015-10-04	168
2015-10-05	301
2015-10-06	221
2015-10-07	202
2015-10-08	201
2015-10-09	191
2015-10-10	151
2015-10-11	150
2015-10-12	156
2015-10-13	208
2015-10-14	189
2015-10-15	196
2015-10-16	210
2015-10-17	136
2015-10-18	170
2015-10-19	204
2015-10-20	186
2015-10-21	227
2015-10-22	225
2015-10-23	201
2015-10-24	203
2015-10-25	163
2015-10-26	191
2015-10-27	351
2015-10-28	655
2015-10-29	548
2015-10-30	408
2015-10-31	321
2015-11-01	331
2015-11-02	352
2015-11-03	338
2015-11-04	376
2015-11-05	361
2015-11-06	321
2015-11-07	357
2015-11-08	349
2015-11-09	358
2015-11-10	328
2015-11-11	351
2015-11-12	299
2015-11-13	263
2015-11-14	244
2015-11-15	274
2015-11-16	270
2015-11-17	300
2015-11-18	310
2015-11-19	282
2015-11-20	275
2015-11-21	224
2015-11-22	222
2015-11-23	209
2015-11-24	265
2015-11-25	250
2015-11-26	255
2015-11-27	285
2015-11-28	261
2015-11-29	192
2015-11-30	251
2015-12-01	276
2015-12-02	367
2015-12-03	288
2015-12-04	256
2015-12-05	240
2015-12-06	255
2015-12-07	256
2015-12-08	256
2015-12-09	264
2015-12-10	204
2015-12-11	214
2015-12-12	250
2015-12-13	248
2015-12-14	232
2015-12-15	219
2015-12-16	237
2015-12-17	233
2015-12-18	198
2015-12-19	194
2015-12-20	204
2015-12-21	211
2015-12-22	249
2015-12-23	187
2015-12-24	172
2015-12-25	154
2015-12-26	162
2015-12-27	182
2015-12-28	155
2015-12-29	153
2015-12-30	190
2015-12-31	136
2016-01-01	107
2016-01-02	128
2016-01-03	159
2016-01-04	148
2016-01-05	235
2016-01-06	234
2016-01-07	253
2016-01-08	280
2016-01-09	224
2016-01-10	210
2016-01-11	228
2016-01-12	244
2016-01-13	236
2016-01-14	218
2016-01-15	232
2016-01-16	194
2016-01-17	238
2016-01-18	286
2016-01-19	250
2016-01-20	223
2016-01-21	213
2016-01-22	254
2016-01-23	209
2016-01-24	213
2016-01-25	239
2016-01-26	219
2016-01-27	261
2016-01-28	241
2016-01-29	212
2016-01-30	237
2016-01-31	242
2016-02-01	246
2016-02-02	217
2016-02-03	229
2016-02-04	222
2016-02-05	218
2016-02-06	203
2016-02-07	197
2016-02-08	222
2016-02-09	206
2016-02-10	214
2016-02-11	178
2016-02-12	175
2016-02-13	166
2016-02-14	170
2016-02-15	176
2016-02-16	212
2016-02-17	182
2016-02-18	204
2016-02-19	188
2016-02-20	175
2016-02-21	158
2016-02-22	183
2016-02-23	178
2016-02-24	181
2016-02-25	196
2016-02-26	203
2016-02-27	178
2016-02-28	150
2016-02-29	186
2016-03-01	184
2016-03-02	175
2016-03-03	161
2016-03-04	203
2016-03-05	165
2016-03-06	150
2016-03-07	166
2016-03-08	208
2016-03-09	165
2016-03-10	153
2016-03-11	127
2016-03-12	143
2016-03-13	133
2016-03-14	118
2016-03-15	163
2016-03-16	140
2016-03-17	155
2016-03-18	138
2016-03-19	144
2016-03-20	115
2016-03-21	147
2016-03-22	176
2016-03-23	144
2016-03-24	148
2016-03-25	139
2016-03-26	132
2016-03-27	112
2016-03-28	147
2016-03-29	208
2016-03-30	205
2016-03-31	200
2016-04-01	147
2016-04-02	150
2016-04-03	164
2016-04-04	166
2016-04-05	176
2016-04-06	184
2016-04-07	210
2016-04-08	210
2016-04-09	223
2016-04-10	215
2016-04-11	221
2016-04-12	367
2016-04-13	321
2016-04-14	231
2016-04-15	220
2016-04-16	165
2016-04-17	200
2016-04-18	217
2016-04-19	197
2016-04-20	228
2016-04-21	186
2016-04-22	218
2016-04-23	205
2016-04-24	225
2016-04-25	255
2016-04-26	284
2016-04-27	267
2016-04-28	210
2016-04-29	176
2016-04-30	267
2016-05-01	171
2016-05-02	163
2016-05-03	149
2016-05-04	149
2016-05-05	168
2016-05-06	178
2016-05-07	172
2016-05-08	307
2016-05-09	180
2016-05-10	208
2016-05-11	239
2016-05-12	212
2016-05-13	190
2016-05-14	189
2016-05-15	187
2016-05-16	185
2016-05-17	183
2016-05-18	195
2016-05-19	216
2016-05-20	188
2016-05-21	183
2016-05-22	191
2016-05-23	156
2016-05-24	218
2016-05-25	211
2016-05-26	230
2016-05-27	157
2016-05-28	177
2016-05-29	221
2016-05-30	185
2016-05-31	204
