date	freq
2015-06-01	2914
2015-06-02	2628
2015-06-03	2762
2015-06-04	2738
2015-06-05	2840
2015-06-06	2875
2015-06-07	2967
2015-06-08	2870
2015-06-09	1461
2015-06-10	1374
2015-06-11	3663
2015-06-12	3172
2015-06-13	3240
2015-06-14	3228
2015-06-15	3052
2015-06-16	3445
2015-06-17	4792
2015-06-18	3580
2015-06-19	2984
2015-06-20	3683
2015-06-21	3057
2015-06-22	3042
2015-06-23	3222
2015-06-24	2975
2015-06-25	3426
2015-06-26	2940
2015-06-27	2954
2015-06-28	3209
2015-06-29	2936
2015-06-30	2888
2015-07-01	2791
2015-07-02	2754
2015-07-03	2747
2015-07-04	2779
2015-07-05	2886
2015-07-06	2836
2015-07-07	2993
2015-07-08	3200
2015-07-09	3178
2015-07-10	3052
2015-07-11	3002
2015-07-12	3360
2015-07-13	3162
2015-07-14	3056
2015-07-15	3023
2015-07-16	2795
2015-07-17	2660
2015-07-18	2916
2015-07-19	3450
2015-07-20	3107
2015-07-21	3087
2015-07-22	3243
2015-07-23	3738
2015-07-24	3736
2015-07-25	2975
2015-07-26	3022
2015-07-27	3548
2015-07-28	4079
2015-07-29	4163
2015-07-30	3468
2015-07-31	3633
2015-08-01	3809
2015-08-02	3205
2015-08-03	3161
2015-08-04	3199
2015-08-05	3590
2015-08-06	3204
2015-08-07	3137
2015-08-08	2914
2015-08-09	2942
2015-08-10	3068
2015-08-11	2860
2015-08-12	2971
2015-08-13	2829
2015-08-14	2784
2015-08-15	2766
2015-08-16	2886
2015-08-17	2614
2015-08-18	3203
2015-08-19	2878
2015-08-20	2820
2015-08-21	2862
2015-08-22	2735
2015-08-23	2513
2015-08-24	2569
2015-08-25	2549
2015-08-26	2930
2015-08-27	2603
2015-08-28	2699
2015-08-29	2628
2015-08-30	3168
2015-08-31	2622
2015-09-01	2521
2015-09-02	2606
2015-09-03	2321
2015-09-04	2149
2015-09-05	2126
2015-09-06	2219
2015-09-07	2480
2015-09-08	2394
2015-09-09	2315
2015-09-10	2335
2015-09-11	2801
2015-09-12	2268
2015-09-13	2237
2015-09-14	2389
2015-09-15	2145
2015-09-16	2045
2015-09-17	2209
2015-09-18	1933
2015-09-19	2079
2015-09-20	1976
2015-09-21	2141
2015-09-22	2227
2015-09-23	2125
2015-09-24	1892
2015-09-25	1900
2015-09-26	2269
2015-09-27	2385
2015-09-28	1985
2015-09-29	1871
2015-09-30	1818
2015-10-01	1788
2015-10-02	1668
2015-10-03	2073
2015-10-04	2013
2015-10-05	1824
2015-10-06	2134
2015-10-07	1966
2015-10-08	1851
2015-10-09	2490
2015-10-10	2125
2015-10-11	2171
2015-10-12	2143
2015-10-13	1814
2015-10-14	1848
2015-10-15	1967
2015-10-16	1715
2015-10-17	1788
2015-10-18	1868
2015-10-19	1861
2015-10-20	1962
2015-10-21	1904
2015-10-22	1827
2015-10-23	1886
2015-10-24	2487
2015-10-25	2319
2015-10-26	1949
2015-10-27	2307
2015-10-28	3515
2015-10-29	2066
2015-10-30	1856
2015-10-31	2033
2015-11-01	1862
2015-11-02	2015
2015-11-03	1895
2015-11-04	2035
2015-11-05	2039
2015-11-06	1833
2015-11-07	2118
2015-11-08	1953
2015-11-09	1888
2015-11-10	1912
2015-11-11	1940
2015-11-12	1936
2015-11-13	1668
2015-11-14	1736
2015-11-15	1755
2015-11-16	1881
2015-11-17	1744
2015-11-18	2651
2015-11-19	1696
2015-11-20	1852
2015-11-21	1647
2015-11-22	2343
2015-11-23	2390
2015-11-24	1821
2015-11-25	1864
2015-11-26	1787
2015-11-27	1845
2015-11-28	1961
2015-11-29	1985
2015-11-30	1807
2015-12-01	1757
2015-12-02	1798
2015-12-03	1745
2015-12-04	1644
2015-12-05	1858
2015-12-06	1917
2015-12-07	1772
2015-12-08	1900
2015-12-09	2054
2015-12-10	1724
2015-12-11	1774
2015-12-12	1912
2015-12-13	1715
2015-12-14	1904
2015-12-15	1814
2015-12-16	1636
2015-12-17	1538
2015-12-18	1954
2015-12-19	1788
2015-12-20	1830
2015-12-21	1708
2015-12-22	1753
2015-12-23	1790
2015-12-24	1794
2015-12-25	1824
2015-12-26	1713
2015-12-27	1715
2015-12-28	1617
2015-12-29	1729
2015-12-30	1646
2015-12-31	1794
2016-01-01	1287
2016-01-02	1430
2016-01-03	1538
2016-01-04	1615
2016-01-05	1643
2016-01-06	1753
2016-01-07	1670
2016-01-08	1712
2016-01-09	1731
2016-01-10	1644
2016-01-11	1607
2016-01-12	1671
2016-01-13	1606
2016-01-14	1649
2016-01-15	1606
2016-01-16	1731
2016-01-17	1804
2016-01-18	1664
2016-01-19	1422
2016-01-20	1482
2016-01-21	1791
2016-01-22	1572
2016-01-23	1788
2016-01-24	1964
2016-01-25	1680
2016-01-26	1740
2016-01-27	1931
2016-01-28	1908
2016-01-29	2375
2016-01-30	2043
2016-01-31	2061
2016-02-01	1681
2016-02-02	1715
2016-02-03	1619
2016-02-04	1720
2016-02-05	1536
2016-02-06	1790
2016-02-07	1798
2016-02-08	1881
2016-02-09	1851
2016-02-10	1977
2016-02-11	2817
2016-02-12	2326
2016-02-13	2185
2016-02-14	2074
2016-02-15	1738
2016-02-16	1707
2016-02-17	1823
2016-02-18	1623
2016-02-19	1784
2016-02-20	1823
2016-02-21	2087
2016-02-22	1671
2016-02-23	1950
2016-02-24	1733
2016-02-25	1807
2016-02-26	1718
2016-02-27	1864
2016-02-28	2033
2016-02-29	1762
2016-03-01	1745
2016-03-02	1765
2016-03-03	1758
2016-03-04	1763
2016-03-05	1833
2016-03-06	1978
2016-03-07	1854
2016-03-08	1919
2016-03-09	1886
2016-03-10	1901
2016-03-11	1864
2016-03-12	1880
2016-03-13	2073
2016-03-14	1951
2016-03-15	1804
2016-03-16	1733
2016-03-17	2032
2016-03-18	2258
2016-03-19	2885
2016-03-20	2270
2016-03-21	2125
2016-03-22	1972
2016-03-23	2002
2016-03-24	2034
2016-03-25	1841
2016-03-26	2596
2016-03-27	2278
2016-03-28	1917
2016-03-29	1992
2016-03-30	2124
